left_population	right_population	pair_class	gene_set	n_genes	n_left_libraries	n_right_libraries	spearman_similarity	nested_bootstrap_95ci_low	nested_bootstrap_95ci_high	upstream_similarity	downstream_minus_upstream_similarity
Cerebellar granule	Dentate granule, mature	target granule pair	all curated modules	89	121	29	-0.4192883895131087	-0.5837729063166234	-0.2245006932654639	-0.3291359096830221	
Cerebellar granule	Dentate granule, mature	target granule pair	upstream fate/niche	48	121	29	-0.3291359096830221	-0.618173436320894	0.0006316878279402	-0.3291359096830221	
Cerebellar granule	Dentate granule, mature	target granule pair	downstream assembly	41	121	29	-0.3790940766550523	-0.6006681531988367	-0.0577013227265361	-0.3291359096830221	-0.0499581669720302
Cerebellar granule	Dentate granule, mature	target granule pair	Tier 1 candidates	6	121	29	-0.4285714285714286	-0.92	1.0	-0.3291359096830221	
Cerebellar granule	Dentate granule, mature	target granule pair	Tier 1+2 candidates	15	121	29	-0.2392857142857142	-0.7278216779048048	0.3516726943942131	-0.3291359096830221	
Cerebellar granule	Dentate granule, immature	target/immature bridge	all curated modules	89	121	12	-0.228668709567586	-0.4395933341951237	-0.0195015933755319	-0.2213417281806339	
Cerebellar granule	Dentate granule, immature	target/immature bridge	upstream fate/niche	48	121	12	-0.2213417281806339	-0.5101456759254225	0.0970107961576527	-0.2213417281806339	
Cerebellar granule	Dentate granule, immature	target/immature bridge	downstream assembly	41	121	12	-0.2712543554006969	-0.5547223662334262	0.0583905912472648	-0.2213417281806339	-0.0499126272200629
Cerebellar granule	Dentate granule, immature	target/immature bridge	Tier 1 candidates	6	121	12	0.8285714285714287	-0.0909090909090909	1.0	-0.2213417281806339	
Cerebellar granule	Dentate granule, immature	target/immature bridge	Tier 1+2 candidates	15	121	12	0.0607142857142857	-0.5653008504888325	0.6564635870458653	-0.2213417281806339	
Cerebellar granule	Purkinje	cerebellar comparator	all curated modules	89	121	63	-0.3905345590738849	-0.5483987772451105	-0.1956073570601837	-0.1977854971775944	
Cerebellar granule	Purkinje	cerebellar comparator	upstream fate/niche	48	121	63	-0.1977854971775944	-0.4880630072976257	0.164599844775353	-0.1977854971775944	
Cerebellar granule	Purkinje	cerebellar comparator	downstream assembly	41	121	63	-0.6160278745644601	-0.7666073231546873	-0.3888477724219575	-0.1977854971775944	-0.4182423773868656
Cerebellar granule	Purkinje	cerebellar comparator	Tier 1 candidates	6	121	63	0.1428571428571428	-1.0	0.9355816226783964	-0.1977854971775944	
Cerebellar granule	Purkinje	cerebellar comparator	Tier 1+2 candidates	15	121	63	-0.0214285714285714	-0.6311197211142374	0.4456521739130435	-0.1977854971775944	
Dentate granule, mature	CA1/ProS pyramidal	hippocampal comparator	all curated modules	89	29	49	0.4051753489955738	0.1686302926276706	0.6171335871589533	0.5113981762917933	
Dentate granule, mature	CA1/ProS pyramidal	hippocampal comparator	upstream fate/niche	48	29	49	0.5113981762917933	0.19835562220343	0.7632379471729358	0.5113981762917933	
Dentate granule, mature	CA1/ProS pyramidal	hippocampal comparator	downstream assembly	41	29	49	0.2609756097560976	-0.114525113455887	0.6352934481230247	0.5113981762917933	-0.2504225665356956
Dentate granule, mature	CA1/ProS pyramidal	hippocampal comparator	Tier 1 candidates	6	29	49	0.0857142857142857	-1.0	0.92	0.5113981762917933	
Dentate granule, mature	CA1/ProS pyramidal	hippocampal comparator	Tier 1+2 candidates	15	29	49	0.4178571428571427	-0.1372808517354306	0.807807411319426	0.5113981762917933	
Dentate granule, mature	CA3 pyramidal	hippocampal comparator	all curated modules	89	29	20	0.4074055158324822	0.1737361691910482	0.6068170751271138	0.3999131567520625	
Dentate granule, mature	CA3 pyramidal	hippocampal comparator	upstream fate/niche	48	29	20	0.3999131567520625	0.0872655679227571	0.66841062847154	0.3999131567520625	
Dentate granule, mature	CA3 pyramidal	hippocampal comparator	downstream assembly	41	29	20	0.2979094076655053	-0.0385332174234923	0.5852317857213594	0.3999131567520625	-0.1020037490865572
Dentate granule, mature	CA3 pyramidal	hippocampal comparator	Tier 1 candidates	6	29	20	-0.3142857142857143	-1.0	0.92	0.3999131567520625	
Dentate granule, mature	CA3 pyramidal	hippocampal comparator	Tier 1+2 candidates	15	29	20	0.2214285714285713	-0.4068566224303928	0.7647113696224759	0.3999131567520625	
Cerebellar granule	Cortical L4/5 IT excitatory	compact excitatory comparator	all curated modules	89	121	98	-0.4866870956758598	-0.6299665525990736	-0.310282192160885	-0.641337386018237	
Cerebellar granule	Cortical L4/5 IT excitatory	compact excitatory comparator	upstream fate/niche	48	121	98	-0.641337386018237	-0.7929603766315582	-0.4074667966340057	-0.641337386018237	
Cerebellar granule	Cortical L4/5 IT excitatory	compact excitatory comparator	downstream assembly	41	121	98	-0.3608013937282231	-0.568836536759072	-0.1090385622055488	-0.641337386018237	0.2805359922900138
Cerebellar granule	Cortical L4/5 IT excitatory	compact excitatory comparator	Tier 1 candidates	6	121	98	-0.8857142857142858	-1.0	0.0	-0.641337386018237	
