canonical_gene	manuscript_tier	screen	branch_tested	held_out_dataset	n_datasets_remaining	median_dataset_rank_delta	positive_dataset_fraction	robust_directional_support
CACNA2D1	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	none	6	0.5	0.8333333333333334	True
CACNA2D1	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE104323	5	0.5	0.8	True
CACNA2D1	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE214309	5	0.5	0.8	True
CACNA2D1	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE268609	5	0.5	1.0	True
CACNA2D1	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE292261	5	0.5	0.8	True
CACNA2D1	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE325391	5	0.5	0.8	True
CACNA2D1	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE95752	5	0.5	0.8	True
GABRA2	Tier 1 core convergent program	selected	dentate	none	6	0.5	1.0	True
GABRA2	Tier 1 core convergent program	selected	dentate	GSE104323	5	0.5	1.0	True
GABRA2	Tier 1 core convergent program	selected	dentate	GSE214309	5	0.5	1.0	True
GABRA2	Tier 1 core convergent program	selected	dentate	GSE268609	5	0.5	1.0	True
GABRA2	Tier 1 core convergent program	selected	dentate	GSE292261	5	0.5	1.0	True
GABRA2	Tier 1 core convergent program	selected	dentate	GSE325391	5	0.5	1.0	True
GABRA2	Tier 1 core convergent program	selected	dentate	GSE95752	5	0.5	1.0	True
GABRB3	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	none	6	0.5	0.8333333333333334	True
GABRB3	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE104323	5	0.5	0.8	True
GABRB3	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE214309	5	0.5	0.8	True
GABRB3	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE268609	5	0.5	1.0	True
GABRB3	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE292261	5	0.5	0.8	True
GABRB3	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE325391	5	0.5	0.8	True
GABRB3	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE95752	5	0.5	0.8	True
GPM6A	Tier 1 core convergent program	selected	dentate	none	6	0.5	1.0	True
GPM6A	Tier 1 core convergent program	selected	dentate	GSE104323	5	0.5	1.0	True
GPM6A	Tier 1 core convergent program	selected	dentate	GSE214309	5	0.5	1.0	True
GPM6A	Tier 1 core convergent program	selected	dentate	GSE268609	5	0.5	1.0	True
GPM6A	Tier 1 core convergent program	selected	dentate	GSE292261	5	0.5	1.0	True
GPM6A	Tier 1 core convergent program	selected	dentate	GSE325391	5	0.5	1.0	True
GPM6A	Tier 1 core convergent program	selected	dentate	GSE95752	5	0.5	1.0	True
GRIN2B	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	none	6	0.5	0.8333333333333334	True
GRIN2B	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE104323	5	0.5	0.8	True
GRIN2B	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE214309	5	0.5	0.8	True
GRIN2B	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE268609	5	0.5	1.0	True
GRIN2B	Tier 2 high-confidence wiring/synaptic executor	selected	dentate	GSE292261	5	0.5	0.8	True
