mouse_symbol	gene	manuscript_tier	mechanism_class	gene_symbol	value_scale	cerebellar_granule_minus_purkinje	cerebellar_bootstrap_95ci_low	cerebellar_bootstrap_95ci_high	dentate_granule_minus_mean_ca1_ca3	dentate_bootstrap_95ci_low	dentate_bootstrap_95ci_high	dentate_granule_minus_ca1	dentate_ca1_bootstrap_95ci_low	dentate_ca1_bootstrap_95ci_high	dentate_positive_vs_ca1	dentate_granule_minus_ca3	dentate_ca3_bootstrap_95ci_low	dentate_ca3_bootstrap_95ci_high	dentate_positive_vs_ca3	positive_against_both_hippocampal_comparators	shared_minimum_local_delta	shared_minimum_bootstrap_95ci_low	shared_minimum_bootstrap_95ci_high	bootstrap_fraction_both_positive	both_local_deltas_positive	n_cb_granule_libraries	n_purkinje_libraries	n_dg_granule_libraries	n_ca1_libraries	n_ca3_libraries	minimum_target_mean_log2	maximum_comparator_mean_log2	target_min_minus_comparator_max	strict_target_pair_specific	mean_log2_cerebellar_granule	mean_log2_dentate_granule_mature	mean_log2_dentate_granule_immature	mean_log2_purkinje	mean_log2_ca1_pros_pyramidal	mean_log2_ca3_pyramidal	mean_log2_cortical_l4_5_it_excitatory	mean_log2_olfactory_bulb_gaba_mature_proxy	mean_log2_olfactory_bulb_gaba_immature_proxy
Gpm6a	GPM6A	Tier 1 core convergent program	cytoskeleton_morphogenesis	Gpm6a	mean Allen log2 expression	2.6357143970872476	2.196390152005046	3.054896845836115	0.1374078468255941	0.0380757731664249	0.2376947361805385	-0.0844945402505246	-0.1895232011349671	0.0236021166435719	False	0.3593102339017147	0.2413285935383295	0.4787548812324407	True	False	0.1374078468255941	0.0380757731664249	0.2376947361805385	0.998	True	121	63	29	49	20	8.047762212989552	9.369680865002296	-1.3219186520127444	False	8.047762212989552	9.285186324751772	8.299664475588516	5.412047815902302	9.369680865002296	8.925876090850057	8.925863114143382	8.132477919724986	7.84802536951693
Nfib	NFIB	Tier 1 core convergent program	regulatory_morphogenesis_candidate	Nfib	mean Allen log2 expression	8.346780194969707	8.248560394229282	8.445913840234851	0.373627520890226	0.273007219900278	0.4679918299417751	0.6103951408886648	0.4741445093207792	0.7433468071807604	True	0.1368599008917872	0.0053927469764164	0.2515392098229724	True	True	0.373627520890226	0.273007219900278	0.4679918299417751	1.0	True	121	63	29	49	20	8.362100848005447	11.55591947350508	-3.193818625499633	False	8.362100848005447	9.379668035714252	11.55591947350508	0.0153206530357406	8.769272894825589	9.242808134822466	4.650260223851731	2.8694313602340973	9.747082202968144
Kcnk1	KCNK1	Tier 1 core convergent program	synaptic_wiring	Kcnk1	mean Allen log2 expression	2.083013523638979	1.8123116644400157	2.37622178738941	1.438468811225639	1.0223940966049443	1.843310742069496	1.905422928422341	1.5082346622451577	2.2871895692116064	True	0.9715146940289364	0.4347447746059367	1.4778713271158808	True	True	1.438468811225639	1.0223940966049443	1.8324899624187605	1.0	True	121	63	29	49	20	4.202782984842765	5.3106246405960285	-1.1078416557532638	False	4.202782984842765	4.789749997962011	5.3106246405960285	2.119769461203786	2.884327069539671	3.818235303933077	3.0468825140410773	1.9199059376169991	0.4390413418565017
Rfx3	RFX3	Tier 1 core convergent program	regulatory_morphogenesis_candidate	Rfx3	mean Allen log2 expression	1.3281431151920438	1.1849621480317774	1.4643501953928602	4.783705853095224	4.482608892098129	5.069533881157645	3.824937723355448	3.651710259372744	3.993306628042366	True	5.742473982835	5.180746615125535	6.24006439583332	True	True	1.3281431151920438	1.1849621480317774	1.4643501953928602	1.0	True	121	63	29	49	20	3.420892627842519	8.383150974083073	-4.962258346240553	False	3.420892627842519	10.562645964511187	8.383150974083073	2.092749512650476	6.737708241155739	4.820171981676187	5.826096185504113	5.429374436636305	6.5903176484464625
Gabra2	GABRA2	Tier 1 core convergent program	synaptic_wiring	Gabra2	mean Allen log2 expression	-0.0373074308434008	-0.0640433786932399	-0.015321671010625	-0.0269787091667623	-0.3155122049400087	0.2521174638621861	-0.0233483655274362	-0.37069093337665	0.3077970437257295	False	-0.0306090528060902	-0.3299635758773713	0.2531776653105949	False	False	-0.0373074308434008	-0.3155122049400087	-0.0192545017604502	0.0	False	121	63	29	49	20	0.0028201686945614	8.903857424423714	-8.901037255729152	False	0.0028201686945614	8.873248371617624	6.092843571448454	0.0401275995379623	8.89659673714506	8.903857424423714	6.669022275881922	7.050216005092616	4.231904616588191
Nfia	NFIA	Tier 1 core convergent program	regulatory_morphogenesis_candidate	Nfia	mean Allen log2 expression	7.458894325363329	7.257411886968252	7.6409299861286355	2.8378588795113107	2.5193363448634334	3.1579928843643796	2.789186341090735	2.281203579443206	3.3136470314462816	True	2.886531417931886	2.546707142277872	3.206056483897058	True	True	2.8378588795113107	2.5193363448634334	3.1579928843643796	1.0	True	121	63	29	49	20	8.098672660143063	10.83423343265232	-2.735560772509256	False	8.098672660143063	8.650257619393363	10.83423343265232	0.6397783347797332	5.861071278302628	5.763726201461476	1.38499211747496	0.6176823467650074	4.309510851629877
Robo2	ROBO2	Tier 2 high-confidence wiring/synaptic executor	curated_shared_structural_executor	Robo2	mean Allen log2 expression	-7.991067969906087	-8.17662158674334	-7.7970921470019805	0.3378322569487615	0.1001266317541512	0.5965120455039113	0.8237462469737338	0.473920445798703	1.1954514766918565	True	-0.1480817330762089	-0.4127191309451258	0.1500112143199383	False	False	-7.991067969906087	-8.17662158674334	-7.7970921470019805	0.0	False	121	63	29	49	20	0.0383077153936143	11.003625609150811	-10.9653178937572	False	0.0383077153936143	8.94671024631015	1.709859619802898	8.029375685299703	8.122963999336417	9.094791979386358	8.796294501333007	8.185719851885379	11.003625609150811
Gabrb3	GABRB3	Tier 2 high-confidence wiring/synaptic executor	synaptic_wiring	Gabrb3	mean Allen log2 expression	1.4385238761962196	1.2922972092572451	1.582761669051295	-0.0378790192763798	-0.0961199613478113	0.0124091067154444	-0.0118060156844528	-0.0814656525102706	0.0546047076689556	False	-0.0639520228683068	-0.1203193719788327	-0.0118723535450513	False	False	-0.0378790192763798	-0.0961199613478113	0.0124091067154444	0.073	False	121	63	29	49	20	7.750551783428804	10.439978253802014	-2.68942647037321	False	7.750551783428804	10.376026230933707	8.272883167207022	6.312027907232585	10.38783224661816	10.439978253802014	9.599155766370036	10.108141351910144	7.8559769333985665
Kcnd2	KCND2	Tier 2 high-confidence wiring/synaptic executor	synaptic_wiring	Kcnd2	mean Allen log2 expression	5.050646665337515	4.808040334004759	5.310190657860709	0.6169243582021782	0.4746464585925244	0.7723767256349134	0.1982279128422632	-0.017337396169219	0.4155281861285518	True	1.0356208035620913	0.8499876524512946	1.2475277926825843	True	True	0.6169243582021782	0.4746464585925244	0.7723767256349134	1.0	True	121	63	29	49	20	11.607263755686928	11.409035842844665	0.1982279128422632	True	13.660756461368852	11.607263755686928	4.363805828559984	8.610109796031335	11.409035842844665	10.571642952124837	10.780393028410929	11.218812954239594	5.885439872753786
Ppp3ca	PPP3CA	Tier 2 high-confidence wiring/synaptic executor	synaptic_wiring	Ppp3ca	mean Allen log2 expression	0.8356309388263501	0.6967074126482082	0.9704683349966778	0.6173282719138875	0.4546119889075709	0.7738326896566744	0.6635139924966005	0.4601474565015038	0.8834699709932612	True	0.5711425513311728	0.4060646354193897	0.7491035820468709	True	True	0.6173282719138875	0.4546119889075709	0.7715905121810321	1.0	True	121	63	29	49	20	10.298852369410204	11.04630260008506	-0.7474502306748558	False	10.298852369410204	11.617445151416234	9.652888913285937	9.463221430583854	10.953931158919628	11.04630260008506	10.457012470822166	8.361784706403647	6.539966082313226
