cluster_id	cluster_id_label	supertype_label	subclass_label	class_label	neighborhood	anatomical_annotation	CCF_acronym.freq	nt_type_label	comparator_population	n_unique_markers	combined_markers
66	0066 L4/5 IT CTX Glut_1	L4/5 IT CTX Glut_1	L4/5 IT CTX Glut	IT-ET Glut	Pallium-Glut	RSP-ACA	RSPagl2/3:0.15,ACAd5:0.1,MOs2/3:0.08,ACAv5:0.07,ACAd2/3:0.07,VISam2/3:0.07,ACAv2/3:0.05,MOs5:0.05,VISpm2/3:0.05,VISpl2/3:0.03,VISam4:0.03,RSPagl5:0.02,RSPd2/3:0.02,RSPd5:0.02,TEa5:0.02	Glut	Cortical L4 excitatory proxy	15	ADCYAP1,CBLN1,CD34,EGR2,GPR88,KLHL13,MET,NFATC2,OVOL2,PTGER3,RREB1,ST8SIA2,STAT5B,SUSD5,TOX2
67	0067 L4/5 IT CTX Glut_1	L4/5 IT CTX Glut_1	L4/5 IT CTX Glut	IT-ET Glut	Pallium-Glut	VIS-SS	SSs4:0.14,AUDp4:0.14,AUDv4:0.06,SSp-bfd4:0.05,VISl2/3:0.04,TEa4:0.03,VISli2/3:0.03,ORBl2/3:0.03,VISl4:0.03,SSp-m4:0.03,AUDd4:0.02,VISpor2/3:0.02,VISrl4:0.02,VISC4:0.02,VISpor4:0.02,VISal2/3:0.02,ORBl5:0.02,VISpl2/3:0.02,AUDp2/3:0.02,TEa2/3:0.02,AUDp5:0.02,AUDpo4:0.01	Glut	Cortical L4 excitatory proxy	19	ANKFN1,BARX2,BC006965,CCDC3,CCDC80,COL8A1,COX6A2,ENDOU,FEZF2,GM36251,GPX3,IL1RAPL2,NR2F2,PTGER3,RORB,SATB2,SLC17A7,SLC30A3,ZFPM2
68	0068 L4/5 IT CTX Glut_1	L4/5 IT CTX Glut_1	L4/5 IT CTX Glut	IT-ET Glut	Pallium-Glut	VIS	VISp4:0.36,VISp2/3:0.19,VISl4:0.03,RSPd1:0.03,VISpl1:0.03,VISl2/3:0.03,SSp-m4:0.02,RSPd2/3:0.02,VISpl2/3:0.02,RSPagl2/3:0.02,AUDp4:0.02,VISpm2/3:0.02	Glut	Cortical L4 excitatory proxy	18	BARX2,BC006965,CBLN2,CCDC3,CCDC80,COL15A1,COL8A1,CUX2,DKKL1,FEZF2,IL1RAPL2,RORB,RXFP1,SATB2,SCNN1A,TCERG1L,TOX2,VWC2L
69	0069 L4/5 IT CTX Glut_1	L4/5 IT CTX Glut_1	L4/5 IT CTX Glut	IT-ET Glut	Pallium-Glut	MO	MOs2/3:0.23,MOp2/3:0.21,SSp-tr2/3:0.06,RSPagl2/3:0.06,VISa2/3:0.05,VISam2/3:0.05,SSp-ll4:0.04,VISa4:0.03,SSp-ll2/3:0.03,AUDd4:0.02,VISpm2/3:0.02,SSp-tr4:0.02	Glut	Cortical L4 excitatory proxy	18	A830036E02RIK,ADRA1B,CNTN5,CUX2,DKKL1,FEZF2,LYPD1,MET,NEUROD6,OVOL2,RORB,RSPO1,S100B,SNTG2,SOX5,TAFA2,TCAP,ZFPM2
70	0070 L4/5 IT CTX Glut_1	L4/5 IT CTX Glut_1	L4/5 IT CTX Glut	IT-ET Glut	Pallium-Glut	MO	MOs2/3:0.27,MOp2/3:0.26,SSp-bfd4:0.04,SSp-ul4:0.04,SSp-m4:0.03,SSs4:0.03,ACAd2/3:0.03,SSp-ll4:0.03,SSp-un4:0.02,ACAd5:0.02,VISa4:0.01,ORBl2/3:0.01,AUDd4:0.01	Glut	Cortical L4 excitatory proxy	22	A830036E02RIK,ADRA1B,ALDH1L1,BMPR1B,DKKL1,FEZF2,GM2694,GPR88,HTR7,KCNH5,LHX2,MARCKSL1,MET,POU6F2,PPARG,RAVER2,SATB2,SHROOM3,SLC17A6,TOX,TRBC2,ZFPM2
71	0071 L4/5 IT CTX Glut_1	L4/5 IT CTX Glut_1	L4/5 IT CTX Glut	IT-ET Glut	Pallium-Glut	SSp	SSp-bfd4:0.25,SSs4:0.2,SSp-m4:0.16,SSp-ul4:0.09,SSp-n4:0.08,SSp-un4:0.03	Glut	Cortical L4 excitatory proxy	15	ASCL1,BARX2,BCL11A,CCDC3,COL8A1,GM20752,KCNH1,OVOL2,RORB,SATB2,SCN7A,SHISA6,SOX5,TMEM125,TSHZ2
72	0072 L4/5 IT CTX Glut_1	L4/5 IT CTX Glut_1	L4/5 IT CTX Glut	IT-ET Glut	Pallium-Glut	ORB	ORBl2/3:0.17,AId2/3:0.1,ORBm2/3:0.1,ORBvl2/3:0.08,ORBl5:0.05,MOs2/3:0.05,AId5:0.05,AIv2/3:0.05,ORBvl5:0.04,MOp2/3:0.03,ACAv2/3:0.03,AIv5:0.02,PL2/3:0.02,ACAd2/3:0.02	Glut	Cortical L4 excitatory proxy	17	A830036E02RIK,BARX2,DKKL1,FEZF2,FIGN,GFRA1,OVOL2,RORB,SATB2,SCN7A,SLC17A7,SLC30A3,TNS1,TSHZ2,WHRN,ZAR1L,ZFHX4
73	0073 L4/5 IT CTX Glut_1	L4/5 IT CTX Glut_1	L4/5 IT CTX Glut	IT-ET Glut	Pallium-Glut	VIS	VISp4:0.28,VISp2/3:0.23,VISl2/3:0.11,VISpl1:0.03,VISl4:0.03,VISli2/3:0.03,VISrl2/3:0.03,AUDp4:0.03,VISpm2/3:0.03,VISal2/3:0.02	Glut	Cortical L4 excitatory proxy	22	BARX2,BC006965,CCDC3,CDH13,CNTN5,EGR2,ENDOU,GRIK1,HSD11B1,IGFN1,MAFB,PPARG,RORB,SATB2,SCNN1A,SHISA3,SHISA6,TACR3,TAFA2,TOX,TOX3,WHRN
74	0074 L4/5 IT CTX Glut_1	L4/5 IT CTX Glut_1	L4/5 IT CTX Glut	IT-ET Glut	Pallium-Glut	SSs-AUD-TEa-VISpor	SSs4:0.18,VISpor2/3:0.12,AUDv4:0.1,TEa4:0.08,TEa2/3:0.08,VISpl2/3:0.04,VISli2/3:0.04,AUDd4:0.03,AUDp4:0.03,SSs2/3:0.03,VISC4:0.03,AUDv2/3:0.03,VISl2/3:0.03	Glut	Cortical L4 excitatory proxy	16	B130024G19RIK,BARX2,BC006965,CCDC3,CUX2,ENDOU,FEZF2,MET,NR2F2,PTGER3,RMST,RORB,SATB2,SCN7A,SLC17A7,UST
75	0075 L4/5 IT CTX Glut_2	L4/5 IT CTX Glut_2	L4/5 IT CTX Glut	IT-ET Glut	Pallium-Glut	ORB	ORBl2/3:0.39,ORBvl2/3:0.33,ORBl5:0.12	Glut	Cortical L4 excitatory proxy	20	A830036E02RIK,CALB1,CUX2,DKKL1,GM20752,GM34567,GRIK1,HS3ST2,MAF,OVOL2,PLD5,RSPO1,S1PR3,SEMA3E,SHISA6,SMOC2,TOX,TRABD2B,TSHZ2,ZFHX4
76	0076 L4/5 IT CTX Glut_2	L4/5 IT CTX Glut_2	L4/5 IT CTX Glut	IT-ET Glut	Pallium-Glut	ORB	ORBl2/3:0.59,ORBvl2/3:0.13,VISp2/3:0.08,ORBl5:0.03	Glut	Cortical L4 excitatory proxy	12	CARTPT,CD34,DDIT4L,MAF,MATN4,NPNT,OVOL2,SATB2,SMOC2,TOX,TSHZ2,ZFHX4
