comparator_population	n_clusters	module_id	module_label	module_family	module_size	n_module_genes_seen_as_markers	module_gene_coverage	fraction_clusters_with_module_marker	mean_fraction_of_cluster_markers_in_module	marker_overlap_genes	evidence_scope
Cortical L4 excitatory proxy	39	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	0	0.0	0.0	0.0		adult_Allen_taxonomy_marker_annotation_not_expression_matrix
Cortical L4 excitatory proxy	39	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	5	0.29411764705882354	0.28205128205128205	0.02008663101780511	BCL11B,C1QL3,CALB1,GLIS3,LHX2	adult_Allen_taxonomy_marker_annotation_not_expression_matrix
Cortical L4 excitatory proxy	39	downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	21	1	0.047619047619047616	0.05128205128205128	0.00259000259000259	CNTN5	adult_Allen_taxonomy_marker_annotation_not_expression_matrix
Cortical L4 excitatory proxy	39	downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	20	2	0.1	0.1794871794871795	0.010447277996099144	SLC17A6,SLC17A7	adult_Allen_taxonomy_marker_annotation_not_expression_matrix
Cortical L4 excitatory proxy	39	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	1	0.047619047619047616	0.02564102564102564	0.0017094017094017094	ASCL1	adult_Allen_taxonomy_marker_annotation_not_expression_matrix
Hippocampal pyramidal comparator	57	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	0	0.0	0.0	0.0		adult_Allen_taxonomy_marker_annotation_not_expression_matrix
Hippocampal pyramidal comparator	57	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	6	0.35294117647058826	0.42105263157894735	0.040010899260125264	BCL11B,CALB1,EMX2,LHX2,NEUROD2,TBR1	adult_Allen_taxonomy_marker_annotation_not_expression_matrix
Hippocampal pyramidal comparator	57	downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	21	1	0.047619047619047616	0.017543859649122806	0.0012531328320802004	DCC	adult_Allen_taxonomy_marker_annotation_not_expression_matrix
Hippocampal pyramidal comparator	57	downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	20	2	0.1	0.05263157894736842	0.0038116123642439434	SLC17A6,SLC17A7	adult_Allen_taxonomy_marker_annotation_not_expression_matrix
Hippocampal pyramidal comparator	57	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	1	0.047619047619047616	0.017543859649122806	0.0013495276653171392	ID2	adult_Allen_taxonomy_marker_annotation_not_expression_matrix
Dentate granule	9	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	0	0.0	0.0	0.0		adult_Allen_taxonomy_marker_annotation_not_expression_matrix
Dentate granule	9	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	3	0.17647058823529413	1.0	0.19986812388773173	GLIS3,NEUROD2,PROX1	adult_Allen_taxonomy_marker_annotation_not_expression_matrix
Dentate granule	9	downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	21	0	0.0	0.0	0.0		adult_Allen_taxonomy_marker_annotation_not_expression_matrix
Dentate granule	9	downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	20	0	0.0	0.0	0.0		adult_Allen_taxonomy_marker_annotation_not_expression_matrix
Dentate granule	9	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	21	0	0.0	0.0	0.0		adult_Allen_taxonomy_marker_annotation_not_expression_matrix
Olfactory-bulb granule-layer GABA proxy	29	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	5	0.38461538461538464	0.7241379310344828	0.0665340406719717	MEIS1,MYCN,PAX6,ZIC1,ZIC3	adult_Allen_taxonomy_marker_annotation_not_expression_matrix
Olfactory-bulb granule-layer GABA proxy	29	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	2	0.11764705882352941	0.27586206896551724	0.020108627005178726	BCL11B,PROX1	adult_Allen_taxonomy_marker_annotation_not_expression_matrix
Olfactory-bulb granule-layer GABA proxy	29	downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	21	0	0.0	0.0	0.0		adult_Allen_taxonomy_marker_annotation_not_expression_matrix
Olfactory-bulb granule-layer GABA proxy	29	downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	20	0	0.0	0.0	0.0		adult_Allen_taxonomy_marker_annotation_not_expression_matrix
