gene_symbol	value_scale	cerebellar_granule_minus_purkinje	cerebellar_bootstrap_95ci_low	cerebellar_bootstrap_95ci_high	dentate_granule_minus_mean_ca1_ca3	dentate_bootstrap_95ci_low	dentate_bootstrap_95ci_high	dentate_granule_minus_ca1	dentate_ca1_bootstrap_95ci_low	dentate_ca1_bootstrap_95ci_high	dentate_positive_vs_ca1	dentate_granule_minus_ca3	dentate_ca3_bootstrap_95ci_low	dentate_ca3_bootstrap_95ci_high	dentate_positive_vs_ca3	positive_against_both_hippocampal_comparators	shared_minimum_local_delta	shared_minimum_bootstrap_95ci_low	shared_minimum_bootstrap_95ci_high	bootstrap_fraction_both_positive	both_local_deltas_positive	n_cb_granule_libraries	n_purkinje_libraries	n_dg_granule_libraries	n_ca1_libraries	n_ca3_libraries
Atoh1	mean Allen log2 expression	-0.008285581409885664	-0.014395637004833253	-0.003207071311102685	-0.00028347502676212446	-0.0008504250802863735	0.0	-0.0005669500535242489	-0.001700850160572747	0.0	False	0.0	0.0	0.0	False	False	-0.008285581409885664	-0.014395637004833253	-0.003207071311102685	0.0	False	121	63	29	49	20
Barhl1	mean Allen log2 expression	0.09399506843950466	0.08150863109681857	0.10624581540391295	-0.0008704989775166014	-0.003955043667384363	0.0019990336101984086	-0.0006018878124739576	-0.00526615470254737	0.0030899654378172985	False	-0.0011391101425592453	-0.005506891952180551	0.0025018049389180157	False	False	-0.0008704989775166014	-0.003955043667384363	0.0019990336101984086	0.2865	False	121	63	29	49	20
Pax6	mean Allen log2 expression	3.571571869050054	3.495589004250659	3.644619918769155	0.005937299012188108	-0.005088755787966446	0.017581603724675186	0.0005789024728816913	-0.012817060072453416	0.013927844948251701	True	0.011295695551494527	-0.00015473757865899415	0.023462832017537613	True	True	0.005937299012188108	-0.005088755787966446	0.017581603724675186	0.851	True	121	63	29	49	20
Zic1	mean Allen log2 expression	5.692454087156033	5.600241971038305	5.78197409484028	-0.005884614989232312	-0.011941190922218382	-0.0005031527089725869	-0.009559561395778892	-0.020402995520572398	-0.0014945957452525383	False	-0.002209668582685734	-0.0078059367103683	0.0029444967260367863	False	False	-0.005884614989232312	-0.011941190922218382	-0.0005031527089725869	0.0155	False	121	63	29	49	20
Zic2	mean Allen log2 expression	2.358869470387515	2.2848629912283855	2.433486025890519	0.0005945322285630158	-0.005732848110838498	0.00806517941252033	0.003317728613711923	-0.0030974458454607915	0.010963865438214229	True	-0.0021286641565858924	-0.00965027108992224	0.006334259170773195	False	False	0.0005945322285630158	-0.005732848110838498	0.00806517941252033	0.5385	True	121	63	29	49	20
Zic3	mean Allen log2 expression	0.059184718947127644	0.049852167144299527	0.06725095111162391	-0.001096695510617406	-0.002983718710522446	0.0007743752311070183	-0.0023055441716252163	-0.005364125463527176	0.00038008004648577793	False	0.00011215315039040416	-0.0015035086666777624	0.0017365995928306675	True	False	-0.001096695510617406	-0.002983718710522446	0.0007743752311070183	0.1155	False	121	63	29	49	20
Mycn	mean Allen log2 expression	-0.5421573831539007	-0.5946773831293787	-0.489609079621564	-0.052713588025684155	-0.0920730799105993	-0.014590425899521404	-0.01930489569923613	-0.07916348057609912	0.03304800290334322	False	-0.08612228035213215	-0.13016616904303235	-0.04634152013150133	False	False	-0.5421573831539007	-0.5946773831293787	-0.489609079621564	0.0	False	121	63	29	49	20
Ptch1	mean Allen log2 expression	-1.0284729445027088	-1.1696130608576918	-0.8945025496033012	0.6515694713732982	0.5201356115137225	0.7839566140511929	0.6415604517394833	0.47977149059537794	0.8009657789129359	True	0.6615784910071132	0.48320848059206023	0.8459168860340891	True	True	-1.0284729445027088	-1.1696130608576918	-0.8945025496033012	0.0	False	121	63	29	49	20
Gli1	mean Allen log2 expression	-0.0008596879824965932	-0.0027370394144714946	0.00043276972623371564	-0.0016228148678068832	-0.004039320185153784	0.0006834022034185622	-0.0005294398921455656	-0.0033061874472802536	0.0020658341786181224	False	-0.0027161898434682006	-0.0060023339735906685	0.0004028765612069023	False	False	-0.0016228148678068832	-0.0041275367219655995	-0.00025912402263346054	0.0105	False	121	63	29	49	20
Gli2	mean Allen log2 expression	-0.006389671754031628	-0.011881539098149466	-0.001510617363366494	0.0038840850722613868	-0.0043219885388100805	0.012415719166303952	0.0031102466475910907	-0.006053826399313333	0.012016672785507694	True	0.004657923496931681	-0.004973358937994941	0.013866351411560767	True	True	-0.006389671754031628	-0.011881539098149466	-0.0017229762740315654	0.001	False	121	63	29	49	20
