left_population	right_population	pair_class	gene_set	n_genes	n_left_libraries	n_right_libraries	spearman_similarity	nested_bootstrap_95ci_low	nested_bootstrap_95ci_high	upstream_similarity	downstream_minus_upstream_similarity
Cerebellar granule	Dentate granule, mature	target granule pair	all curated modules	89	121	29	-0.4192883895131087	-0.5837729063166234	-0.22450069326546396	-0.32913590968302214	
Cerebellar granule	Dentate granule, mature	target granule pair	upstream fate/niche	48	121	29	-0.32913590968302214	-0.618173436320894	0.000631687827940231	-0.32913590968302214	
Cerebellar granule	Dentate granule, mature	target granule pair	downstream assembly	41	121	29	-0.37909407665505235	-0.6006681531988367	-0.05770132272653616	-0.32913590968302214	-0.049958166972030205
Cerebellar granule	Dentate granule, mature	target granule pair	Tier 1 candidates	6	121	29	-0.4285714285714286	-0.92	1.0	-0.32913590968302214	
Cerebellar granule	Dentate granule, mature	target granule pair	Tier 1+2 candidates	15	121	29	-0.23928571428571427	-0.7278216779048048	0.35167269439421317	-0.32913590968302214	
Cerebellar granule	Dentate granule, immature	target/immature bridge	all curated modules	89	121	12	-0.22866870956758603	-0.4395933341951237	-0.01950159337553197	-0.22134172818063397	
Cerebellar granule	Dentate granule, immature	target/immature bridge	upstream fate/niche	48	121	12	-0.22134172818063397	-0.5101456759254225	0.09701079615765272	-0.22134172818063397	
Cerebellar granule	Dentate granule, immature	target/immature bridge	downstream assembly	41	121	12	-0.2712543554006969	-0.5547223662334262	0.058390591247264895	-0.22134172818063397	-0.049912627220062955
Cerebellar granule	Dentate granule, immature	target/immature bridge	Tier 1 candidates	6	121	12	0.8285714285714287	-0.0909090909090909	1.0	-0.22134172818063397	
Cerebellar granule	Dentate granule, immature	target/immature bridge	Tier 1+2 candidates	15	121	12	0.06071428571428571	-0.5653008504888325	0.6564635870458653	-0.22134172818063397	
Cerebellar granule	Purkinje	cerebellar comparator	all curated modules	89	121	63	-0.39053455907388496	-0.5483987772451105	-0.19560735706018376	-0.19778549717759444	
Cerebellar granule	Purkinje	cerebellar comparator	upstream fate/niche	48	121	63	-0.19778549717759444	-0.48806300729762575	0.16459984477535305	-0.19778549717759444	
Cerebellar granule	Purkinje	cerebellar comparator	downstream assembly	41	121	63	-0.6160278745644601	-0.7666073231546873	-0.3888477724219575	-0.19778549717759444	-0.41824237738686565
Cerebellar granule	Purkinje	cerebellar comparator	Tier 1 candidates	6	121	63	0.14285714285714288	-1.0	0.9355816226783965	-0.19778549717759444	
