matrix	population	library	n_cells
CB	Cerebellar granule	pBICCNsMMrCBAN1iF002d190304b	4699
CB	Cerebellar granule	pBICCNsMMrCBAN1iF002d190304c	4214
CB	Cerebellar granule	pBICCNsMMrCBAN1iM002d190312a	2012
CB	Cerebellar granule	pBICCNsMMrCBAN1iM002d190312b	2135
CB	Cerebellar granule	pBICCNsMMrCBAN1iM002d190312c	3757
CB	Cerebellar granule	pBICCNsMMrCBAN1iM006d190124	1802
CB	Cerebellar granule	pBICCNsMMrCBAN1iM006d190321a	2121
CB	Cerebellar granule	pBICCNsMMrCBAN1iM006d190321b	1903
CB	Cerebellar granule	pBICCNsMMrCBAN2iF002d190304a	2541
CB	Cerebellar granule	pBICCNsMMrCBAN2iF002d190304b	4182
CB	Cerebellar granule	pBICCNsMMrCBAN2iF002d190304c	6039
CB	Cerebellar granule	pBICCNsMMrCBAN2iM002d190312a	3991
CB	Cerebellar granule	pBICCNsMMrCBAN2iM002d190312b	3848
CB	Cerebellar granule	pBICCNsMMrCBAN2iM002d190312c	4176
CB	Cerebellar granule	pBICCNsMMrCBAN2iM006d190124	844
CB	Cerebellar granule	pBICCNsMMrCBAN2iM006d190321a	1398
CB	Cerebellar granule	pBICCNsMMrCBAN2iM006d190321b	3999
CB	Cerebellar granule	pBICCNsMMrCBAN2iM006d190321c	4780
CB	Cerebellar granule	pBICCNsMMrCBAN2iM006d190321d	3266
CB	Cerebellar granule	pBICCNsMMrCBAN2iM006d190321e	3808
CB	Cerebellar granule	pBICCNsMMrCBCOPiF002d190304a	2226
CB	Cerebellar granule	pBICCNsMMrCBCOPiF002d190304b	3206
CB	Cerebellar granule	pBICCNsMMrCBCOPiM002d190312a	1232
CB	Cerebellar granule	pBICCNsMMrCBCOPiM002d190312b	1333
CB	Cerebellar granule	pBICCNsMMrCBCOPiM002d190312c	1288
CB	Cerebellar granule	pBICCNsMMrCBCOPiM002d190312d	1300
CB	Cerebellar granule	pBICCNsMMrCBCOPiM006d190313	783
CB	Cerebellar granule	pBICCNsMMrCBCULiM006d190313b	5563
CB	Cerebellar granule	pBICCNsMMrCBDECiF002d190304a	8673
CB	Cerebellar granule	pBICCNsMMrCBDECiF002d190304b	5699
CB	Cerebellar granule	pBICCNsMMrCBDECiF002d190304c	1575
CB	Cerebellar granule	pBICCNsMMrCBDECiM006d190313a	2878
CB	Cerebellar granule	pBICCNsMMrCBDECiM006d190313b	2961
CB	Cerebellar granule	pBICCNsMMrCBDECiM006d190313c	3061
CB	Cerebellar granule	pBICCNsMMrCBFiF001d190115	2921
CB	Cerebellar granule	pBICCNsMMrCBFiM006d190124	2397
CB	Cerebellar granule	pBICCNsMMrCBFiM006d190313a	2980
CB	Cerebellar granule	pBICCNsMMrCBFiM006d190313c	3523
CB	Cerebellar granule	pBICCNsMMrCBIIIiF001d190115a	5106
CB	Cerebellar granule	pBICCNsMMrCBIIIiF001d190115b	4972
CB	Cerebellar granule	pBICCNsMMrCBIIiF001d190115a	5055
CB	Cerebellar granule	pBICCNsMMrCBIIiF001d190115b	4752
CB	Cerebellar granule	pBICCNsMMrCBIIiM001d190108a	3868
CB	Cerebellar granule	pBICCNsMMrCBIIiM001d190108b	4068
CB	Cerebellar granule	pBICCNsMMrCBIIiM006d190313	1783
CB	Cerebellar granule	pBICCNsMMrCBIViM006d190124	766
CB	Cerebellar granule	pBICCNsMMrCBIXiF002d190304a	3784
CB	Cerebellar granule	pBICCNsMMrCBIXiF002d190304b	3411
CB	Cerebellar granule	pBICCNsMMrCBIXiF002d190304c	6027
CB	Cerebellar granule	pBICCNsMMrCBIXiM006d190313a	1734
CB	Cerebellar granule	pBICCNsMMrCBIXiM006d190313b	1963
CB	Cerebellar granule	pBICCNsMMrCBIXiM006d190313c	1764
CB	Cerebellar granule	pBICCNsMMrCBIXiM006d190313d	2043
CB	Cerebellar granule	pBICCNsMMrCBIiF001d190115	176
CB	Cerebellar granule	pBICCNsMMrCBIiM001d190108a	5053
CB	Cerebellar granule	pBICCNsMMrCBIiM001d190108b	5195
CB	Cerebellar granule	pBICCNsMMrCBIiM006d190313	2629
CB	Cerebellar granule	pBICCNsMMrCBPFiF002d190304a	6004
CB	Cerebellar granule	pBICCNsMMrCBPFiF002d190304c	6351
CB	Cerebellar granule	pBICCNsMMrCBPFiM001d190107a	2630
CB	Cerebellar granule	pBICCNsMMrCBPFiM001d190107b	3987
CB	Cerebellar granule	pBICCNsMMrCBPFiM001d190107c	3095
CB	Cerebellar granule	pBICCNsMMrCBPFiM001d190107d	3002
CB	Cerebellar granule	pBICCNsMMrCBPFiM006d190124	1664
CB	Cerebellar granule	pBICCNsMMrCBPFiM006d190313a	2360
CB	Cerebellar granule	pBICCNsMMrCBPFiM006d190313b	2249
CB	Cerebellar granule	pBICCNsMMrCBPRMiF002d190304a	2478
CB	Cerebellar granule	pBICCNsMMrCBPRMiF002d190304b	2352
CB	Cerebellar granule	pBICCNsMMrCBPRMiF002d190304c	2423
CB	Cerebellar granule	pBICCNsMMrCBPRMiM002d190312a	4330
CB	Cerebellar granule	pBICCNsMMrCBPRMiM002d190312b	3692
CB	Cerebellar granule	pBICCNsMMrCBPRMiM002d190312c	2523
CB	Cerebellar granule	pBICCNsMMrCBPRMiM002d190312d	2254
CB	Cerebellar granule	pBICCNsMMrCBPRMiM002d190312e	2353
CB	Cerebellar granule	pBICCNsMMrCBPRMiM006d190321a	4703
CB	Cerebellar granule	pBICCNsMMrCBPRMiM006d190321b	3987
CB	Cerebellar granule	pBICCNsMMrCBPRMiM006d190321c	4355
CB	Cerebellar granule	pBICCNsMMrCBPRMiM006d190321d	3819
CB	Cerebellar granule	pBICCNsMMrCBPRMiM006d190321e	3295
CB	Cerebellar granule	pBICCNsMMrCBPRMiM006d190321f	5164
CB	Cerebellar granule	pBICCNsMMrCBSIMiF001d190115	1090
CB	Cerebellar granule	pBICCNsMMrCBSIMiM002d190312a	4373
CB	Cerebellar granule	pBICCNsMMrCBSIMiM002d190312b	4136
CB	Cerebellar granule	pBICCNsMMrCBSIMiM002d190312c	4057
CB	Cerebellar granule	pBICCNsMMrCBSIMiM002d190312d	4466
CB	Cerebellar granule	pBICCNsMMrCBSIMiM006d190313a	3347
CB	Cerebellar granule	pBICCNsMMrCBSIMiM006d190313b	3590
CB	Cerebellar granule	pBICCNsMMrCBSIMiM006d190313c	3425
CB	Cerebellar granule	pBICCNsMMrCBVIIIiF002d190304a	2787
CB	Cerebellar granule	pBICCNsMMrCBVIIIiF002d190304b	2894
CB	Cerebellar granule	pBICCNsMMrCBVIIIiF002d190304c	3189
CB	Cerebellar granule	pBICCNsMMrCBVIIIiF002d190304d	4200
CB	Cerebellar granule	pBICCNsMMrCBVIIIiM001d190108a	2028
CB	Cerebellar granule	pBICCNsMMrCBVIIIiM001d190108b	3230
CB	Cerebellar granule	pBICCNsMMrCBVIIIiM006d190313	2011
CB	Cerebellar granule	pBICCNsMMrCBVIIiF002d190304a	2171
CB	Cerebellar granule	pBICCNsMMrCBVIIiF002d190304b	2103
CB	Cerebellar granule	pBICCNsMMrCBVIIiM002d190312a	2707
CB	Cerebellar granule	pBICCNsMMrCBVIIiM002d190312b	2618
CB	Cerebellar granule	pBICCNsMMrCBVIIiM002d190312c	2710
CB	Cerebellar granule	pBICCNsMMrCBVIIiM002d190312d	3128
CB	Cerebellar granule	pBICCNsMMrCBVIIiM006d190313a	4430
CB	Cerebellar granule	pBICCNsMMrCBVIIiM006d190313b	5493
CB	Cerebellar granule	pBICCNsMMrCBVIiF001d190116	281
CB	Cerebellar granule	pBICCNsMMrCBVIiM002d190312a	3783
CB	Cerebellar granule	pBICCNsMMrCBVIiM002d190312b	3674
CB	Cerebellar granule	pBICCNsMMrCBVIiM002d190312c	3558
CB	Cerebellar granule	pBICCNsMMrCBVIiM002d190312d	4326
CB	Cerebellar granule	pBICCNsMMrCBVIiM002d190312e	3479
CB	Cerebellar granule	pBICCNsMMrCBVIiM006d190321a	3699
CB	Cerebellar granule	pBICCNsMMrCBVIiM006d190321b	3171
CB	Cerebellar granule	pBICCNsMMrCBVIiM006d190321c	3484
CB	Cerebellar granule	pBICCNsMMrCBViM002d190312a	3372
CB	Cerebellar granule	pBICCNsMMrCBViM002d190312b	3678
CB	Cerebellar granule	pBICCNsMMrCBViM002d190312c	3842
CB	Cerebellar granule	pBICCNsMMrCBViM002d190312d	3472
CB	Cerebellar granule	pBICCNsMMrCBVliM006d190124	376
CB	Cerebellar granule	pBICCNsMMrCBXiF001d190115a	3932
CB	Cerebellar granule	pBICCNsMMrCBXiF001d190115b	4040
CB	Cerebellar granule	pBICCNsMMrCBXiM006d190313a	619
CB	Cortical L4/5 IT excitatory	pBICCNsMMrCBAN1iM006d190124	1
CB	Purkinje	pBICCNsMMrCBAN1iF002d190304b	260
CB	Purkinje	pBICCNsMMrCBAN1iF002d190304c	207
CB	Purkinje	pBICCNsMMrCBAN1iM002d190312a	105
CB	Purkinje	pBICCNsMMrCBAN1iM002d190312b	90
CB	Purkinje	pBICCNsMMrCBAN1iM002d190312c	179
CB	Purkinje	pBICCNsMMrCBAN1iM006d190321a	126
CB	Purkinje	pBICCNsMMrCBAN1iM006d190321b	150
CB	Purkinje	pBICCNsMMrCBAN2iF002d190304a	77
CB	Purkinje	pBICCNsMMrCBAN2iF002d190304b	92
CB	Purkinje	pBICCNsMMrCBAN2iF002d190304c	126
CB	Purkinje	pBICCNsMMrCBAN2iM002d190312a	187
CB	Purkinje	pBICCNsMMrCBAN2iM002d190312b	158
CB	Purkinje	pBICCNsMMrCBAN2iM002d190312c	221
CB	Purkinje	pBICCNsMMrCBAN2iM006d190124	1
CB	Purkinje	pBICCNsMMrCBAN2iM006d190321a	128
CB	Purkinje	pBICCNsMMrCBAN2iM006d190321b	96
CB	Purkinje	pBICCNsMMrCBAN2iM006d190321c	94
CB	Purkinje	pBICCNsMMrCBAN2iM006d190321d	106
CB	Purkinje	pBICCNsMMrCBAN2iM006d190321e	84
CB	Purkinje	pBICCNsMMrCBCOPiF002d190304a	20
CB	Purkinje	pBICCNsMMrCBCOPiF002d190304b	20
CB	Purkinje	pBICCNsMMrCBCULiM006d190313b	120
CB	Purkinje	pBICCNsMMrCBDECiF002d190304a	114
CB	Purkinje	pBICCNsMMrCBDECiF002d190304b	99
CB	Purkinje	pBICCNsMMrCBDECiF002d190304c	41
CB	Purkinje	pBICCNsMMrCBFiF001d190115	97
CB	Purkinje	pBICCNsMMrCBFiM006d190124	2
CB	Purkinje	pBICCNsMMrCBFiM006d190313a	44
CB	Purkinje	pBICCNsMMrCBFiM006d190313c	64
CB	Purkinje	pBICCNsMMrCBIIIiF001d190115a	139
CB	Purkinje	pBICCNsMMrCBIIIiF001d190115b	139
CB	Purkinje	pBICCNsMMrCBIIiF001d190115a	93
CB	Purkinje	pBICCNsMMrCBIIiF001d190115b	75
CB	Purkinje	pBICCNsMMrCBIIiM001d190108a	198
CB	Purkinje	pBICCNsMMrCBIIiM001d190108b	184
CB	Purkinje	pBICCNsMMrCBIViM006d190124	75
CB	Purkinje	pBICCNsMMrCBIiM001d190108a	198
CB	Purkinje	pBICCNsMMrCBIiM001d190108b	178
CB	Purkinje	pBICCNsMMrCBIiM006d190313	26
CB	Purkinje	pBICCNsMMrCBPFiF002d190304a	118
CB	Purkinje	pBICCNsMMrCBPFiF002d190304c	163
CB	Purkinje	pBICCNsMMrCBPFiM001d190107a	103
CB	Purkinje	pBICCNsMMrCBPFiM001d190107b	109
CB	Purkinje	pBICCNsMMrCBPFiM001d190107c	288
CB	Purkinje	pBICCNsMMrCBPFiM001d190107d	289
CB	Purkinje	pBICCNsMMrCBPFiM006d190124	1
CB	Purkinje	pBICCNsMMrCBPRMiM002d190312a	60
CB	Purkinje	pBICCNsMMrCBPRMiM002d190312b	58
CB	Purkinje	pBICCNsMMrCBPRMiM002d190312c	1
CB	Purkinje	pBICCNsMMrCBPRMiM002d190312e	20
CB	Purkinje	pBICCNsMMrCBPRMiM006d190321a	42
CB	Purkinje	pBICCNsMMrCBPRMiM006d190321b	61
CB	Purkinje	pBICCNsMMrCBPRMiM006d190321c	51
CB	Purkinje	pBICCNsMMrCBPRMiM006d190321d	22
CB	Purkinje	pBICCNsMMrCBPRMiM006d190321e	34
CB	Purkinje	pBICCNsMMrCBPRMiM006d190321f	70
CB	Purkinje	pBICCNsMMrCBSIMiF001d190115	448
CB	Purkinje	pBICCNsMMrCBSIMiM002d190312a	154
CB	Purkinje	pBICCNsMMrCBSIMiM002d190312b	101
CB	Purkinje	pBICCNsMMrCBSIMiM002d190312c	161
CB	Purkinje	pBICCNsMMrCBSIMiM002d190312d	177
CB	Purkinje	pBICCNsMMrCBVIIIiF002d190304a	12
CB	Purkinje	pBICCNsMMrCBVIIIiF002d190304b	12
CB	Purkinje	pBICCNsMMrCBVIIIiF002d190304c	19
CB	Purkinje	pBICCNsMMrCBVIIIiF002d190304d	24
CB	Purkinje	pBICCNsMMrCBVIIIiM001d190108a	48
CB	Purkinje	pBICCNsMMrCBVIIIiM001d190108b	95
CB	Purkinje	pBICCNsMMrCBVIIiF002d190304a	1
CB	Purkinje	pBICCNsMMrCBVIIiF002d190304b	2
CB	Purkinje	pBICCNsMMrCBVIIiM002d190312a	32
CB	Purkinje	pBICCNsMMrCBVIIiM002d190312b	30
CB	Purkinje	pBICCNsMMrCBVIIiM002d190312c	31
CB	Purkinje	pBICCNsMMrCBVIIiM002d190312d	25
CB	Purkinje	pBICCNsMMrCBVIIiM006d190313a	71
CB	Purkinje	pBICCNsMMrCBVIIiM006d190313b	62
CB	Purkinje	pBICCNsMMrCBVIiF001d190116	258
CB	Purkinje	pBICCNsMMrCBVIiM002d190312a	115
CB	Purkinje	pBICCNsMMrCBVIiM002d190312b	95
CB	Purkinje	pBICCNsMMrCBVIiM002d190312c	94
CB	Purkinje	pBICCNsMMrCBVIiM002d190312d	124
CB	Purkinje	pBICCNsMMrCBVIiM002d190312e	84
CB	Purkinje	pBICCNsMMrCBVIiM006d190321a	89
CB	Purkinje	pBICCNsMMrCBVIiM006d190321b	109
CB	Purkinje	pBICCNsMMrCBVIiM006d190321c	91
CB	Purkinje	pBICCNsMMrCBViM002d190312b	63
CB	Purkinje	pBICCNsMMrCBViM002d190312c	68
CB	Purkinje	pBICCNsMMrCBViM002d190312d	70
CB	Purkinje	pBICCNsMMrCBXiF001d190115a	41
CB	Purkinje	pBICCNsMMrCBXiF001d190115b	43
CB	Purkinje	pBICCNsMMrCBXiM006d190313a	2
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiF015d201201A1	103
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiF015d201201A2	93
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiF015d201201A3	104
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiF015d201201B1	241
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiF015d201201B2	270
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiF015d201201B3	305
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiF016d210119A1	19
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiF016d210119A2	30
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiF016d210119A3	29
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiM015d201201A1	241
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiM015d201201A2	185
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiM015d201201A3	150
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiM015d201201B1	23
HPF	CA1/ProS pyramidal	pBICCNsMMrENTiM015d201201B2	466
