population	gene_symbol	n_libraries	mean_log2_expression	median_log2_expression	mean_detection_fraction
CA1/ProS pyramidal	Ascl1	49	0.0819827721392074	0.0688387448274636	0.012676827904136814
CA1/ProS pyramidal	Atoh1	49	0.0005669500535242489	0.0	8.468117537471224e-05
CA1/ProS pyramidal	Barhl1	49	0.0039285625080369025	0.0	0.0006188715979309183
CA1/ProS pyramidal	Basp1	49	8.648872939632419	8.65508804321289	0.9795620868154782
CA1/ProS pyramidal	Bcl11b	49	6.783611104650693	7.140475078295636	0.8416916743893474
CA1/ProS pyramidal	Bmp4	49	0.004405197358561976	0.0	0.0007045059705028672
CA1/ProS pyramidal	Bmpr1a	49	4.633119275121733	4.7253906633946805	0.6546859505460263
CA1/ProS pyramidal	C1ql3	49	5.733853471620365	5.9244483652569	0.7343837026814333
CA1/ProS pyramidal	Cacna2d1	49	9.513712436147818	9.541435375548245	0.9964615320568474
CA1/ProS pyramidal	Cadm3	49	3.8358441400765138	3.974650977438341	0.5564715613625254
CA1/ProS pyramidal	Calb1	49	3.7017639220359544	3.823935357423929	0.5043252098375588
CA1/ProS pyramidal	Calm1	49	9.645186589303506	9.682700420947786	0.9968387389048553
CA1/ProS pyramidal	Calm2	49	10.051493917523317	10.03015027999878	0.999114250944908
CA1/ProS pyramidal	Camk2a	49	9.768452502983392	9.98606810530996	0.9967913449338971
CA1/ProS pyramidal	Camk2b	49	7.436964410452453	7.380788878789024	0.9156095579130106
CA1/ProS pyramidal	Cfl1	49	5.701494003197953	5.930554752764494	0.7741586879347491
CA1/ProS pyramidal	Cntn5	49	3.7152914479110617	4.129077314519558	0.46837319037613245
CA1/ProS pyramidal	Dcc	49	9.667838060045781	9.817578663545495	0.9544518139476097
CA1/ProS pyramidal	Dcx	49	1.4218018234545136	1.5175515771881352	0.21171300659214556
CA1/ProS pyramidal	Dkk3	49	5.560407023204645	6.1210653896791385	0.7237293990206443
CA1/ProS pyramidal	Dll1	49	0.18955786495043836	0.1895326531451681	0.029825801910872914
CA1/ProS pyramidal	Dpysl2	49	6.6545057032599555	6.748332797170559	0.868567448564139
CA1/ProS pyramidal	Dpysl3	49	2.052165163144158	2.224549009444866	0.3052149252154245
CA1/ProS pyramidal	Emx2	49	0.31262755630714617	0.3113000455987516	0.048150651343347936
CA1/ProS pyramidal	En1	49	0.0	0.0	0.0
CA1/ProS pyramidal	En2	49	0.0005183529866410469	0.0	7.882313159508368e-05
CA1/ProS pyramidal	Eomes	49	0.0011506086847450755	0.0	0.0001784909598113837
CA1/ProS pyramidal	Gabra2	49	8.89659673714506	8.89837362091174	0.9751474894111417
CA1/ProS pyramidal	Gabrb3	49	10.38783224661816	10.397950177551598	0.9994895833165633
CA1/ProS pyramidal	Gap43	49	5.665060646746413	6.047018830672554	0.7322893533135616
CA1/ProS pyramidal	Gfap	49	0.023689483715626635	0.0	0.0037022796495375042
CA1/ProS pyramidal	Gli1	49	0.0018330862220228448	0.0	0.0003068912688788469
CA1/ProS pyramidal	Gli2	49	0.014804919001154156	0.0	0.0022895188027297264
CA1/ProS pyramidal	Glis3	49	0.13438951927142972	0.1170831495715725	0.02046750240841825
CA1/ProS pyramidal	Gpm6a	49	9.369680865002296	9.363648947849068	0.9958481034855088
CA1/ProS pyramidal	Grin2b	49	11.434925001322691	11.45380621625666	1.0
CA1/ProS pyramidal	Hes1	49	1.590702444496682	1.2141165284297926	0.22890465468516188
CA1/ProS pyramidal	Hes5	49	0.026778082130923545	0.0	0.004194423907375173
CA1/ProS pyramidal	Id1	49	0.021694949158214856	0.0	0.0032441308101625083
CA1/ProS pyramidal	Id2	49	1.0803559402944711	0.7453855896553798	0.16346992366757518
CA1/ProS pyramidal	Jag1	49	0.08314621236193727	0.0413751320760758	0.013309484376008669
CA1/ProS pyramidal	Kcnd2	49	11.409035842844665	11.582020386155827	0.999625508009324
CA1/ProS pyramidal	Kcnj3	49	8.812181918955655	8.755321522727739	0.981934641610752
CA1/ProS pyramidal	Kcnj6	49	8.201217948390056	8.355520223316393	0.9598502683470763
CA1/ProS pyramidal	Kcnk1	49	2.884327069539671	2.92089093182538	0.428442788406947
CA1/ProS pyramidal	L1cam	49	2.5156517934056857	2.597852019225659	0.37757013207206164
CA1/ProS pyramidal	Lef1	49	0.023040970722018644	0.0033052121770792	0.0033429029445918796
CA1/ProS pyramidal	Lhx2	49	1.369539663406596	1.2187744634836792	0.2057263947883441
CA1/ProS pyramidal	Map1b	49	8.622400883134578	8.653800733203639	0.9801343390144324
CA1/ProS pyramidal	Meis1	49	0.06867170961312476	0.056424796062967	0.010668282225094684
CA1/ProS pyramidal	Mycn	49	0.18990624155882238	0.1056992781789679	0.030072353002737723
CA1/ProS pyramidal	Ncam1	49	8.647196519694154	8.787004265733945	0.9754825349290963
CA1/ProS pyramidal	Nes	49	0.0035027345051487388	0.0	0.0005228615956987408
CA1/ProS pyramidal	Neurod1	49	0.8675831490520489	0.8890244483947753	0.13363805626998998
CA1/ProS pyramidal	Neurod2	49	3.7231318726013667	3.6003663507226396	0.5409456964423163
CA1/ProS pyramidal	Nfia	49	5.861071278302628	6.409012749878286	0.7398007215291967
CA1/ProS pyramidal	Nfib	49	8.769272894825589	8.77940865909352	0.9767330688108086
CA1/ProS pyramidal	Notch1	49	0.023060214727275097	0.0151086031344898	0.003580428373894457
CA1/ProS pyramidal	Notch2	49	0.44707912158408164	0.328728146749	0.06780207635976404
CA1/ProS pyramidal	Nrp1	49	6.8132944788486425	7.011928585987739	0.8522378767423794
CA1/ProS pyramidal	Nrxn1	49	11.479519298494266	11.458655017045524	0.9999913304319179
CA1/ProS pyramidal	Pax6	49	0.02188954336863567	0.0	0.0035787538277299654
CA1/ProS pyramidal	Plxna2	49	5.491079152501398	5.571054273438685	0.7466788003629101
CA1/ProS pyramidal	Plxna4	49	9.053363246878751	9.067834892066005	0.9854855927012787
CA1/ProS pyramidal	Ppp3ca	49	10.953931158919628	10.93365414268092	0.9998478506463491
CA1/ProS pyramidal	Prox1	49	0.06381795334728675	0.0409471543629964	0.009825297045498936
CA1/ProS pyramidal	Ptch1	49	1.1750845208546712	1.0869037255708751	0.17993242981106752
CA1/ProS pyramidal	Rfx3	49	6.737708241155739	6.669266089195628	0.8646241714184526
CA1/ProS pyramidal	Robo2	49	8.122963999336417	8.71011026826485	0.909237316331426
CA1/ProS pyramidal	Rtn1	49	9.912697831336104	9.954970741271971	0.9980976625611007
CA1/ProS pyramidal	Rtn3	49	9.318354567842068	9.338096217105264	0.9953532404086691
CA1/ProS pyramidal	Slc17a6	49	0.17243736788407654	0.1269470788900134	0.02635419651692505
CA1/ProS pyramidal	Slc17a7	49	7.7510649172562465	7.775720004911547	0.9490669465163226
CA1/ProS pyramidal	Snap25	49	9.574327167861272	9.321255015678146	0.9938013408112651
CA1/ProS pyramidal	Sox2	49	0.05248282163595474	0.0241130735816025	0.008193657744822527
CA1/ProS pyramidal	Stmn2	49	7.140426309289103	7.009732956464128	0.8892059744467877
CA1/ProS pyramidal	Stmn3	49	8.209215634278248	8.295306396484374	0.9667253693554443
CA1/ProS pyramidal	Stxbp1	49	5.582968452700435	5.675744357290148	0.7650075061465018
CA1/ProS pyramidal	Stxbp5l	49	9.42913652406018	9.402294210369668	0.9921094574363756
CA1/ProS pyramidal	Synpr	49	0.5818405574213846	0.5828342206082363	0.08537871272880021
CA1/ProS pyramidal	Syt1	49	11.49939424053618	11.46761938241812	0.9999440872239306
CA1/ProS pyramidal	Tbr1	49	0.33158687614534427	0.3177447902455049	0.0519907260088859
CA1/ProS pyramidal	Tcf7l2	49	0.059150527491714504	0.0319567175724046	0.008970669080663867
CA1/ProS pyramidal	Tubb3	49	3.7224883558059725	3.8494621297364593	0.534349292948261
CA1/ProS pyramidal	Vim	49	0.01686073267973455	0.0	0.0026503310501189534
CA1/ProS pyramidal	Wnt3a	49	0.019950686867792722	0.0147537669013528	0.0031267990708064367
CA1/ProS pyramidal	Wnt5a	49	0.1918891257566106	0.1606547459062323	0.03013525938762097
