gene_symbol	feature_role	present_in_all_four_matrices	selection_seed
Ascl1	reserved	True	205921
Atoh1	reserved	True	205921
Barhl1	reserved	True	205921
Basp1	reserved	True	205921
Bcl11b	reserved	True	205921
Bmp4	reserved	True	205921
Bmpr1a	reserved	True	205921
C1ql3	reserved	True	205921
Cacna2d1	reserved	True	205921
Cadm3	reserved	True	205921
Calb1	reserved	True	205921
Calm1	reserved	True	205921
Calm2	reserved	True	205921
Camk2a	reserved	True	205921
Camk2b	reserved	True	205921
Cfl1	reserved	True	205921
Cntn5	reserved	True	205921
Dcc	reserved	True	205921
Dcx	reserved	True	205921
Dkk3	reserved	True	205921
Dll1	reserved	True	205921
Dpysl2	reserved	True	205921
Dpysl3	reserved	True	205921
Emx2	reserved	True	205921
En1	reserved	True	205921
En2	reserved	True	205921
Eomes	reserved	True	205921
Gabra2	reserved	True	205921
Gabrb3	reserved	True	205921
Gap43	reserved	True	205921
Gfap	reserved	True	205921
Gli1	reserved	True	205921
Gli2	reserved	True	205921
Glis3	reserved	True	205921
Gpm6a	reserved	True	205921
Grin2b	reserved	True	205921
Hes1	reserved	True	205921
Hes5	reserved	True	205921
Id1	reserved	True	205921
Id2	reserved	True	205921
Jag1	reserved	True	205921
Kcnd2	reserved	True	205921
Kcnj3	reserved	True	205921
Kcnj6	reserved	True	205921
Kcnk1	reserved	True	205921
L1cam	reserved	True	205921
Lef1	reserved	True	205921
Lhx2	reserved	True	205921
Map1b	reserved	True	205921
Meis1	reserved	True	205921
Mycn	reserved	True	205921
Ncam1	reserved	True	205921
Nes	reserved	True	205921
Neurod1	reserved	True	205921
Neurod2	reserved	True	205921
Nfia	reserved	True	205921
Nfib	reserved	True	205921
Notch1	reserved	True	205921
Notch2	reserved	True	205921
Nrp1	reserved	True	205921
Nrxn1	reserved	True	205921
Pax6	reserved	True	205921
Plxna2	reserved	True	205921
Plxna4	reserved	True	205921
Ppp3ca	reserved	True	205921
Prox1	reserved	True	205921
Ptch1	reserved	True	205921
Rfx3	reserved	True	205921
Robo2	reserved	True	205921
Rtn1	reserved	True	205921
Rtn3	reserved	True	205921
Slc17a6	reserved	True	205921
Slc17a7	reserved	True	205921
Snap25	reserved	True	205921
Sox2	reserved	True	205921
Stmn2	reserved	True	205921
Stmn3	reserved	True	205921
Stxbp1	reserved	True	205921
Stxbp5l	reserved	True	205921
Synpr	reserved	True	205921
Syt1	reserved	True	205921
Tbr1	reserved	True	205921
Tcf7l2	reserved	True	205921
Tubb3	reserved	True	205921
Vim	reserved	True	205921
Wnt3a	reserved	True	205921
Wnt5a	reserved	True	205921
Wnt7a	reserved	True	205921
Zbtb20	reserved	True	205921
Zic1	reserved	True	205921
Zic2	reserved	True	205921
Zic3	reserved	True	205921
1500009C09Rik	background_pool	True	205921
1600012H06Rik	background_pool	True	205921
1700001L19Rik	background_pool	True	205921
1700001O22Rik	background_pool	True	205921
1700012B09Rik	background_pool	True	205921
1700012P22Rik	background_pool	True	205921
1700016D06Rik	background_pool	True	205921
1700020N15Rik	background_pool	True	205921
1700024G13Rik	background_pool	True	205921
1700025G04Rik	background_pool	True	205921
1700029F12Rik	background_pool	True	205921
1700029I15Rik	background_pool	True	205921
1700030K09Rik	background_pool	True	205921
1700034I23Rik	background_pool	True	205921
1700066M21Rik	background_pool	True	205921
1700069L16Rik	background_pool	True	205921
1700088E04Rik	background_pool	True	205921
1700093K21Rik	background_pool	True	205921
1700123K08Rik	background_pool	True	205921
1810009J06Rik	background_pool	True	205921
1810020O05Rik	background_pool	True	205921
1810065E05Rik	background_pool	True	205921
2010109A12Rik	background_pool	True	205921
2300002M23Rik	background_pool	True	205921
2410004P03Rik	background_pool	True	205921
2510002D24Rik	background_pool	True	205921
2610042L04Rik	background_pool	True	205921
2610301B20Rik	background_pool	True	205921
2810459M11Rik	background_pool	True	205921
4833420G17Rik	background_pool	True	205921
4833439L19Rik	background_pool	True	205921
4921524L21Rik	background_pool	True	205921
4930404N11Rik	background_pool	True	205921
4930433I11Rik	background_pool	True	205921
4930444G20Rik	background_pool	True	205921
4930451I11Rik	background_pool	True	205921
4930469K13Rik	background_pool	True	205921
4930563E22Rik	background_pool	True	205921
4930578G10Rik	background_pool	True	205921
4930595D18Rik	background_pool	True	205921
4931400O07Rik	background_pool	True	205921
4931406C07Rik	background_pool	True	205921
4932438A13Rik	background_pool	True	205921
4932438H23Rik	background_pool	True	205921
4933402N03Rik	background_pool	True	205921
4933427D14Rik	background_pool	True	205921
5730455P16Rik	background_pool	True	205921
6330409D20Rik	background_pool	True	205921
6820408C15Rik	background_pool	True	205921
9030025P20Rik	background_pool	True	205921
9130008F23Rik	background_pool	True	205921
9230102O04Rik	background_pool	True	205921
9830107B12Rik	background_pool	True	205921
A030014E15Rik	background_pool	True	205921
A2m	background_pool	True	205921
A430033K04Rik	background_pool	True	205921
A4galt	background_pool	True	205921
A730009L09Rik	background_pool	True	205921
A730071L15Rik	background_pool	True	205921
AB124611	background_pool	True	205921
AC124606.2	background_pool	True	205921
AC133103.1	background_pool	True	205921
AC140325.1	background_pool	True	205921
AF366264	background_pool	True	205921
AI429214	background_pool	True	205921
AI661453	background_pool	True	205921
AK157302	background_pool	True	205921
AU018091	background_pool	True	205921
AU041133	background_pool	True	205921
Aadacl4	background_pool	True	205921
Aak1	background_pool	True	205921
Abca14	background_pool	True	205921
Abca6	background_pool	True	205921
Abcb11	background_pool	True	205921
Abcb6	background_pool	True	205921
Abcc4	background_pool	True	205921
Abcf3	background_pool	True	205921
Abcg3	background_pool	True	205921
