gene_symbol	cerebellar_granule_minus_purkinje	dentate_granule_minus_mean_ca1_ca3	same_direction	both_positive	member_tier1	member_tier1_tier2	member_downstream_all	member_neurite_morphology	member_synaptic_excitability	member_all_curated
Ascl1	-0.11667259285920795	0.07826748862910284	False	False	False	False	False	False	False	True
Atoh1	-0.008197165331965205	0.0	False	False	False	False	False	False	False	True
Barhl1	0.1073271265432296	-0.0008247428829464593	False	False	False	False	False	False	False	True
Basp1	-0.46331114057245004	-0.7743030656981813	True	False	False	False	True	True	False	True
Bcl11b	-0.1884523884450013	2.643725963714731	False	False	False	False	False	False	False	True
Bmp4	-0.0006047097930187	0.003940056971292981	False	False	False	False	False	False	False	True
Bmpr1a	-2.674609306792416	0.02684974121963101	False	False	False	False	False	False	False	True
C1ql3	-0.0011601027624516412	6.551895932444598	False	False	False	False	False	False	False	True
Cacna2d1	7.7211892668173885	0.3562050892335275	True	True	False	True	True	False	True	True
Cadm3	4.840762201463945	-1.8000468436822317	False	False	False	False	True	True	False	True
Calb1	-10.385424436163996	4.507032970604967	False	False	False	False	False	False	False	True
Calm1	-4.3398022137749495	0.2236878346618808	False	False	False	False	True	False	True	True
Calm2	-5.665598798151368	-0.378683885544949	True	False	False	False	True	False	True	True
Camk2a	-7.7358759275974736	0.1861379742888992	False	False	False	False	True	False	True	True
Camk2b	-3.1419048622388708	0.6456584936519091	False	False	False	False	True	False	True	True
Cfl1	-1.908368691153206	-1.172333719921262	True	False	False	False	True	True	False	True
Cntn5	-4.252830482258138	8.061439805013498	False	False	False	False	True	True	False	True
Dcc	0.42499225520498374	-2.337573248782887	False	False	False	False	True	True	False	True
Dcx	0.003889825950376841	-0.8674440954667733	False	False	False	False	False	False	False	True
Dkk3	0.01039508966971806	-6.415612244582239	False	False	False	False	False	False	False	True
Dll1	-0.06196907594906891	0.0020083774113943465	False	False	False	False	False	False	False	True
Dpysl2	-3.156751067116093	-1.3345335561244132	True	False	False	False	True	True	False	True
Dpysl3	0.005628575847103397	-1.7586667143662473	False	False	False	False	True	True	False	True
Emx2	5.577735616794603e-05	0.04932162251004103	True	True	False	False	False	False	False	True
En1	-0.02400702187233223	-0.00019171258398130588	True	False	False	False	False	False	False	True
En2	0.9290710169920743	0.0005729298889583352	True	True	False	False	False	False	False	True
Eomes	0.2098164865462239	-0.0006974843666714618	False	False	False	False	False	False	False	True
Gabra2	-0.037984739505168626	-0.0718607100780698	True	False	True	True	True	False	True	True
Gabrb3	1.5236749026037737	-0.011065146665069539	False	False	False	True	True	False	True	True
Gap43	4.642361151377185	-3.8957611298655586	False	False	False	False	True	True	False	True
Gfap	0.0017446962407564335	0.008226191924345379	True	True	False	False	False	False	False	True
Gli1	-0.0007476927339861889	-0.001451104036951003	True	False	False	False	False	False	False	True
Gli2	-0.005952707578994485	0.009950371937752134	False	False	False	False	False	False	False	True
Glis3	-0.01623362799816914	8.48919864720559	False	False	False	False	False	False	False	True
Gpm6a	2.660011187532146	0.05949361261007791	True	True	True	True	True	True	False	True
Grin2b	0.0034609672860939837	-0.21207831741284788	False	False	False	True	True	False	True	True
Hes1	-0.035370068596005944	-1.7653604257299111	True	False	False	False	False	False	False	True
Hes5	0.00613187158837127	-0.00624225617147208	False	False	False	False	False	False	False	True
Id1	-0.11349124749567313	-0.002957639824251203	True	False	False	False	False	False	False	True
Id2	-8.493371750025435	0.3242372415945686	False	False	False	False	False	False	False	True
Jag1	-0.00551865366280652	0.39347108522733326	False	False	False	False	False	False	False	True
Kcnd2	5.2015270098137405	0.566575607403089	True	True	False	True	True	False	True	True
Kcnj3	0.583877776615599	1.0500962679782972	True	True	False	True	True	False	True	True
Kcnj6	4.860741783772471	0.769939170641382	True	True	False	True	True	False	True	True
Kcnk1	1.9693532328937329	1.7520431821534275	True	True	True	True	True	False	True	True
L1cam	0.7165385612886385	-1.6183471382292227	False	False	False	False	True	True	False	True
Lef1	-0.010296216810654006	-0.034861083845362295	True	False	False	False	False	False	False	True
Lhx2	-0.0003419903030445191	-0.21828533157521401	True	False	False	False	False	False	False	True
Map1b	-1.3669401729082062	1.099395687927822	False	False	False	False	True	True	False	True
Meis1	6.059107170704167	-0.019553655261695585	False	False	False	False	False	False	False	True
Mycn	-0.5421552873181141	-0.021360342505842563	True	False	False	False	False	False	False	True
Ncam1	-0.8664400309840293	0.7762200170015937	False	False	False	False	True	True	False	True
Nes	-0.0017083810452443095	-0.0019409149164353262	True	False	False	False	False	False	False	True
Neurod1	2.646462475078987	0.7276382288353321	True	True	False	False	False	False	False	True
Neurod2	1.0686257408109563	-0.26305466479120715	False	False	False	False	False	False	False	True
Nfia	7.410610443060664	2.178812173018708	True	True	True	True	False	False	False	False
Nfib	8.388410789507924	0.21674196315536137	True	True	True	True	False	False	False	False
Notch1	-0.01215959794013514	0.08714393266333878	False	False	False	False	False	False	False	True
Notch2	-0.0442791686892052	0.9455743141784138	False	False	False	False	False	False	False	True
Nrp1	-0.5434971527180873	-0.3641655610889844	True	False	False	False	True	True	False	True
Nrxn1	5.74390565173321	-0.8021730296427892	False	False	False	False	True	True	False	True
Pax6	3.5030406121618536	0.004429126548250109	True	True	False	False	False	False	False	True
Plxna2	2.034774862399275	-0.8227189615819261	False	False	False	False	True	True	False	True
Plxna4	-6.233696136415934	0.9540143858174893	False	False	False	False	True	True	False	True
Ppp3ca	0.9401624278533035	0.61174259004652	True	True	False	True	True	False	True	True
Prox1	1.430349289069629	7.286883075465036	True	True	False	False	False	False	False	True
Ptch1	-1.0583056850692225	0.7135419855744773	False	False	False	False	False	False	False	True
Rfx3	1.3671388884403994	4.750980490275275	True	True	True	True	False	False	False	False
Robo2	-7.986799850019571	0.4015708416409091	False	False	False	True	True	True	False	True
Rtn1	-2.4001045846033437	0.12276487392364142	False	False	False	False	True	True	False	True
Rtn3	6.606854063077249	-0.4839922335678099	False	False	False	False	True	True	False	True
Slc17a6	0.0004397957531881015	-0.11373399163743692	False	False	False	False	True	False	True	True
Slc17a7	3.1355331291823996	-1.2456629649547495	False	False	False	False	True	False	True	True
Snap25	2.0476342309372693	-0.36954136326214787	False	False	False	False	True	False	True	True
Sox2	-0.011516693440332989	-0.006969124697004802	True	False	False	False	False	False	False	True
Stmn2	1.6306268417769698	-6.068013078892491	False	False	False	False	True	True	False	True
Stmn3	-4.669628445930354	-1.4943721452550227	True	False	False	False	True	True	False	True
Stxbp1	1.2434457918907686	-1.4432714645799432	False	False	False	False	True	False	True	True
Stxbp5l	6.99770124549977	-0.1690663100231602	False	False	False	True	True	False	True	True
Synpr	3.538706636763893	6.149260920131331	True	True	False	False	True	False	True	True
Syt1	10.165505907723505	-0.4455242354158914	False	False	False	False	True	False	True	True
Tbr1	-0.020803973101028786	-0.05175339381251694	True	False	False	False	False	False	False	True
Tcf7l2	-0.013789372856748944	-0.06638996590085097	True	False	False	False	False	False	False	True
Tubb3	-1.7941041524409738	-2.402473846550083	True	False	False	False	False	False	False	True
Vim	0.0010411028263249001	-0.0052314417739660855	False	False	False	False	False	False	False	True
Wnt3a	-0.017395608221353324	-0.011678932573809638	True	False	False	False	False	False	False	True
Wnt5a	-0.0946189616032705	-0.0011837299358871557	True	False	False	False	False	False	False	True
Wnt7a	0.8007387028019065	-0.08801387539231048	False	False	False	False	False	False	False	True
Zbtb20	3.8493936222284875	0.361391023720008	True	True	False	False	False	False	False	True
Zic1	5.5627212031909705	-0.01036134292771669	False	False	False	False	False	False	False	True
Zic2	2.2169500559891007	0.003138647751470715	True	True	False	False	False	False	False	True
Zic3	0.06210623189434155	-0.0034397251541978357	False	False	False	False	False	False	False	True
