dentate_state	feature_set	feature_set_label	direction	n_features	n_train_libraries	n_test_libraries	roc_auc	balanced_accuracy_at_training_threshold	mean_paired_margin	median_paired_margin	bootstrap_95ci_low_median_margin	bootstrap_95ci_high_median_margin	fraction_positive_paired_margins	paired_sign_p_greater	paired_wilcoxon_p_greater	training_label_permutation_p	training_label_permutation_q_bh
mature	tier1	Tier 1 candidates	dentate_to_cerebellum	6	17	63	1.0	0.5079365079365079	12.99318170711863	13.175038751083338	12.630416564781752	13.388769698001617	1.0	1.0842021724855044e-19	2.5841974068161294e-12	0.296351824087956	0.889055472263868
mature	tier1	Tier 1 candidates	cerebellum_to_dentate	6	63	17	0.9013840830449827	0.5	6.525352000213056	6.15499755234233	4.893770935511128	8.272336373040439	1.0	7.62939453125e-06	7.62939453125e-06	0.09345327336331834	0.889055472263868
mature	tier1_tier2	Tier 1+2 candidates	dentate_to_cerebellum	15	17	63	1.0	1.0	30.701825820412974	30.95159475562948	30.371232155617484	31.61072792399404	1.0	1.0842021724855044e-19	2.5841974068161294e-12	0.23388305847076463	0.889055472263868
mature	tier1_tier2	Tier 1+2 candidates	cerebellum_to_dentate	15	63	17	0.7837370242214533	0.5	3.080818020940454	3.4574871174925175	1.980189314758647	3.9749157482052846	1.0	7.62939453125e-06	7.62939453125e-06	0.18940529735132433	0.889055472263868
mature	downstream_all	All downstream genes	dentate_to_cerebellum	41	17	63	0.0	0.5	-18.152181783195825	-17.921566755375288	-18.21429681425009	-17.518563480005064	0.0	1.0	0.9999999999974158	1.0	1.0
mature	downstream_all	All downstream genes	cerebellum_to_dentate	41	63	17	0.0	0.5	-5.570360257195335	-5.728574536972207	-6.494817618293629	-4.777749345298205	0.0	1.0	1.0	1.0	1.0
mature	neurite_morphology	Neurite/morphology genes	dentate_to_cerebellum	21	17	63	0.0	0.0	-20.72049858963839	-20.286999807434096	-20.861547600104263	-19.6401969359764	0.0	1.0	0.9999999999974158	1.0	1.0
mature	neurite_morphology	Neurite/morphology genes	cerebellum_to_dentate	21	63	17	0.0	0.08823529411764706	-9.369495647491881	-9.334770606415448	-9.831094679704371	-8.854050186330106	0.0	1.0	1.0	1.0	1.0
mature	synaptic_excitability	Synaptic/excitability genes	dentate_to_cerebellum	20	17	63	0.013857394809775799	0.5	-5.886805906295716	-6.096311413631639	-6.431054972717636	-5.4427695636766344	0.0	1.0	0.9999999999974158	0.6586706646676662	1.0
mature	synaptic_excitability	Synaptic/excitability genes	cerebellum_to_dentate	20	63	17	0.5121107266435986	0.5	-1.546148850871336	-2.12261999494545	-2.971284362088501	1.2003015194321205	0.29411764705882354	0.9754791259765625	0.9883880615234375	0.45977011494252873	0.9795102448775612
mature	all_curated	All curated module genes	dentate_to_cerebellum	89	17	63	0.45175107079868987	0.5	-0.4910389231364012	-0.6440112671923508	-1.2625355747071048	0.3273210071288126	0.4603174603174603	0.7750187318548887	0.9285485819581198	0.4897551224387806	0.9795102448775612
mature	all_curated	All curated module genes	cerebellum_to_dentate	89	63	17	0.010380622837370245	0.14705882352941177	-44.775527308907556	-48.01195052434887	-53.187963556036806	-44.24388203292256	0.0	1.0	1.0	0.9235382308845578	1.0
