canonical_gene	manuscript_tier	mechanism_class	species	screen	dentate_n_datasets	cerebellar_n_datasets	dentate_median_delta	cerebellar_median_delta	shared_minimum_median_delta	both_branches_descriptively_positive	inference_note
CACNA2D1	Tier 2 high-confidence wiring/synaptic executor	synaptic_wiring	mouse	selected	4	2	0.5	0.5	0.5	True	replicated_within_species
GABRA2	Tier 1 core convergent program	synaptic_wiring	mouse	selected	4	2	0.5	0.5	0.5	True	replicated_within_species
GABRB3	Tier 2 high-confidence wiring/synaptic executor	synaptic_wiring	mouse	selected	4	2	0.5	0.5	0.5	True	replicated_within_species
GPM6A	Tier 1 core convergent program	cytoskeleton_morphogenesis	mouse	selected	4	2	0.5	0.5	0.5	True	replicated_within_species
GRIN2B	Tier 2 high-confidence wiring/synaptic executor	synaptic_wiring	mouse	selected	4	2	0.5	0.5	0.5	True	replicated_within_species
KCND2	Tier 2 high-confidence wiring/synaptic executor	synaptic_wiring	mouse	selected	4	2	0.5	0.5	0.5	True	replicated_within_species
KCNJ3	Tier 2 high-confidence wiring/synaptic executor	synaptic_wiring	mouse	selected	4	2	0.5	0.5	0.5	True	replicated_within_species
KCNJ6	Tier 2 high-confidence wiring/synaptic executor	synaptic_wiring	mouse	selected	4	2	0.5	0.5	0.5	True	replicated_within_species
KCNK1	Tier 1 core convergent program	synaptic_wiring	mouse	selected	4	2	0.5	0.5	0.5	True	replicated_within_species
NFIA	Tier 1 core convergent program	regulatory_morphogenesis_candidate	mouse	selected	4	2	0.5	0.5	0.5	True	replicated_within_species
NFIB	Tier 1 core convergent program	regulatory_morphogenesis_candidate	mouse	selected	4	2	0.5	0.5	0.5	True	replicated_within_species
PPP3CA	Tier 2 high-confidence wiring/synaptic executor	synaptic_wiring	mouse	selected	4	2	0.5	0.5	0.5	True	replicated_within_species
RFX3	Tier 1 core convergent program	regulatory_morphogenesis_candidate	mouse	selected	4	2	0.5	0.5	0.5	True	replicated_within_species
ROBO2	Tier 2 high-confidence wiring/synaptic executor	curated_shared_structural_executor	mouse	selected	4	2	0.5	0.375	0.375	True	replicated_within_species
STXBP5L	Tier 2 high-confidence wiring/synaptic executor	synaptic_wiring	mouse	selected	4	2	0.5	0.5	0.5	True	replicated_within_species
CACNA2D1	Tier 2 high-confidence wiring/synaptic executor	synaptic_wiring	human	selected	2	1	0.25	0.5	0.25	True	descriptive_single_dataset_cerebellar_arm
GABRA2	Tier 1 core convergent program	synaptic_wiring	human	selected	2	1	0.5	0.5	0.5	True	descriptive_single_dataset_cerebellar_arm
