accession	region	species	data_type	local_path	status	priority	notes
GSE292261	dentate_gyrus	Mus musculus	scRNA_seq_SS2	External_Data/GEO/GSE292261	downloaded	high	Processed counts, loom, sample metadata; hippocampal granule-cell synaptic development.
GSE292260	dentate_gyrus	Mus musculus	sn_multiome	External_Data/GEO/GSE292260	manifest_only	high	2.5 GB RDS not downloaded; high priority for later regulatory integration.
GSE214905	dentate_gyrus	Mus musculus	patch_RNA_seq	External_Data/GEO/GSE214905	downloaded	high	Commissural vs non-commissural dentate granule cells.
GSE214309	dentate_gyrus	Mus musculus	snRNA_seq	External_Data/GEO/GSE214309	downloaded	high	Immature vs mature active/inactive dentate granule cells.
GSE242688	hippocampus_dentate_gyrus	Mus musculus	spatial_transcriptomics_proteomics	External_Data/Proteomics/GSE242688	downloaded	high	GEO package includes Visium matrices; study integrates MALDI/LC-MS/MS spatial proteomics.
GSE312658	cerebellum	Mus musculus	scRNA_seq_regulatory_perturbation	External_Data/GEO/GSE312658	downloaded	high	TOX3/Atoh1 cerebellar development Ctrl/cKO 10x matrices.
GSE312741	cerebellum	Mus musculus	chromatin_occupancy	External_Data/GEO/GSE312741	manifest_only	medium	RAW and bigWig files large; download if chromatin occupancy becomes core.
GSE150153	cerebellum	Homo sapiens	iPSC_organoid_scRNA_seq	External_Data/GEO/GSE150153	downloaded	medium	Human iPSC-derived cerebellar organoid processed matrices and RDS files.
GSE310490	cerebellum	Homo sapiens	iPSC_cerebellar_differentiation	External_Data/GEO/GSE310490	manifest_only	medium	20 GB raw archive; defer unless human PTEN disease angle becomes central.
Allen_WMB_taxonomy	whole_brain	Mus musculus	taxonomy_metadata	External_Data/Allen_Institute	downloaded	high	Contains DG Glut, DG-PIR Ex IMN, and CB Granule Glut extraction IDs.
GSE165657	cerebellum	Homo sapiens	scRNA_spatial_epigenomics	External_Data/GEO/GSE165657	existing	high	Primary human cerebellar development anchor.
GSE122357	cerebellum	Mus musculus	scRNA_seq	External_Data/GEO/GSE122357	existing	high	Primary mouse cerebellar development anchor.
