term_symbol	term	interpretive_domain	observed_term_score	evidence_weight	H1_shared_granule_fate_coefficient	H1_shared_granule_fate_weighted_alignment	H1_shared_granule_fate_weighted_relevance	H2_identity_coupled_assembly_coefficient	H2_identity_coupled_assembly_weighted_alignment	H2_identity_coupled_assembly_weighted_relevance	H3_niche_circuit_constraint_coefficient	H3_niche_circuit_constraint_weighted_alignment	H3_niche_circuit_constraint_weighted_relevance	H2_H3_integrated_model_coefficient	H2_H3_integrated_model_weighted_alignment	H2_H3_integrated_model_weighted_relevance
Y	GranuleDesign	direct_transcriptomic_configuration	0.4001322751322752	1.0	0.5	0.2000661375661376	0.5	1.0	0.4001322751322752	1.0	0.3	0.12003968253968254	0.3	1.0	0.4001322751322752	1.0
F	FatePolarity	direct_transcriptomic_configuration	0.3968253968253968	0.9	-1.0	-0.35714285714285715	0.9	1.0	0.35714285714285715	0.9	0.3	0.10714285714285714	0.27	1.0	0.35714285714285715	0.9
C	ConstructionBalance	direct_transcriptomic_configuration	0.0853174603174603	0.9	0.5	0.03839285714285714	0.45	1.0	0.07678571428571428	0.9	0.2	0.015357142857142856	0.18000000000000002	1.0	0.07678571428571428	0.9
I	ConfigurationCoupling	direct_transcriptomic_configuration	0.5238095238095241	0.8	-1.0	-0.4190476190476193	0.8	1.0	0.4190476190476193	0.8	0.2	0.08380952380952386	0.16000000000000003	1.0	0.4190476190476193	0.8
T	Stage/Pseudotime	stage_niche_regulatory	0.4514805555555555	0.65	-0.5	-0.14673118055555553	0.325	0.6	0.17607741666666663	0.39	1.0	0.29346236111111107	0.65	1.0	0.29346236111111107	0.65
N	NicheSignal	stage_niche_regulatory	0.2765488270869408	0.75	-0.5	-0.1037058101576028	0.375	0.4	0.08296464812608224	0.30000000000000004	1.0	0.2074116203152056	0.75	1.0	0.2074116203152056	0.75
E	EpigenomicCompatibility	stage_niche_regulatory	0.3283388346332508	0.45	0.3	0.04432574267548886	0.135	0.7	0.103426732909474	0.315	0.3	0.04432574267548886	0.135	0.7	0.103426732909474	0.315
M	MorphologySparseSampling	external_morphology_activity_circuit	0.7565548899636176	0.6	0.0	0.0	0.0	0.2	0.09078658679563412	0.12	1.0	0.4539329339781706	0.6	0.7	0.3177530537847194	0.42
A	ActivitySparsity	external_morphology_activity_circuit	0.7752043194234429	0.55	0.0	0.0	0.0	0.2	0.08527247513657873	0.11000000000000001	1.0	0.42636237568289365	0.55	0.7	0.29845366297802556	0.385
R	CircuitResourceConstraint	external_morphology_activity_circuit	0.84	0.6	0.0	0.0	0.0	0.2	0.1008	0.12	1.0	0.504	0.6	0.8	0.4032	0.48
