dataset	sample	source_group	specificity_role	mechanism_axis	mechanism_axis_label	n_present_axis_genes	n_cells	median_axis_score	mean_axis_score	within_sample_axis_rank
GSE104323	10X_all_cells	RGL	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	199	0.4540076900497065	0.45896521198280904	0.4583333333333333
GSE104323	10X_all_cells	Astro-adult	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	1232	0.35498666425542863	0.35984818210599495	0.3125
GSE104323	10X_all_cells	Astro-juv	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	821	0.39608410317711157	0.3996595651550239	0.4166666666666667
GSE104323	10X_all_cells	Immature-Astro	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	651	0.6578814551411558	0.6638089302414417	0.75
GSE104323	10X_all_cells	RGL_young	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	686	0.7099733285108573	0.7283903565754265	0.7916666666666666
GSE104323	10X_all_cells	Ependymal	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	182	0.589516260398698	0.6065382617876961	0.625
GSE104323	10X_all_cells	PVM	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	79	0.09902102579427789	0.14819571313383323	0.0625
GSE104323	10X_all_cells	MiCajal-Retziusoglia	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	428	0.09902102579427789	0.15036917210700299	0.0625
GSE104323	10X_all_cells	Endothelial	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	543	0.2559656384611507	0.31552566959054973	0.14583333333333334
GSE104323	10X_all_cells	VLMC	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	160	0.29706307738283366	0.3368299810454565	0.22916666666666666
GSE104323	10X_all_cells	MOL	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	704	0.29706307738283366	0.3318117331800892	0.22916666666666666
GSE104323	10X_all_cells	NFOL	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	232	0.2559656384611507	0.28792364592722663	0.14583333333333334
GSE104323	10X_all_cells	OPC	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	794	0.36599742710023275	0.4038744519634744	0.375
GSE104323	10X_all_cells	nIPC-perin	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	468	0.8801610285585417	0.8931170327985966	0.9166666666666666
GSE104323	10X_all_cells	nIPC	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	353	1.0510794572729074	1.0394657899199373	1.0
GSE104323	10X_all_cells	Neuroblast	dentate_granule	developmental_regulatory_control	Developmental regulatory	7	1381	0.9853864204469479	0.9805552976783622	0.9583333333333334
GSE104323	10X_all_cells	Immature-GC	dentate_granule	developmental_regulatory_control	Developmental regulatory	7	2419	0.8628935301824877	0.8572660473910192	0.875
GSE104323	10X_all_cells	Immature-Pyr	pyramidal_comparator	developmental_regulatory_control	Developmental regulatory	7	4520	0.8310158799947435	0.835171160641136	0.8333333333333334
GSE104323	10X_all_cells	Cajal-Retzius	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	535	0.6109523027165793	0.6255221422402695	0.7083333333333334
GSE104323	10X_all_cells	Immature-GABA	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	1024	0.5119312769223014	0.5534288286581672	0.5625
GSE104323	10X_all_cells	GABA	other_local_cell_type	developmental_regulatory_control	Developmental regulatory	7	209	0.46544236257449745	0.49758609292567124	0.5
GSE104323	10X_all_cells	CA3-Pyr	pyramidal_comparator	developmental_regulatory_control	Developmental regulatory	7	532	0.5895162603986981	0.5831453205661112	0.6666666666666666
GSE104323	10X_all_cells	GC-juv	dentate_granule	developmental_regulatory_control	Developmental regulatory	7	3420	0.5119312769223014	0.5438212626765532	0.5625
GSE104323	10X_all_cells	GC-adult	dentate_granule	developmental_regulatory_control	Developmental regulatory	7	2613	0.35498666425542863	0.3656933765090227	0.3125
GSE104323	10X_all_cells	RGL	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	199	0.3977295380798579	0.43043830366303154	0.08333333333333333
GSE104323	10X_all_cells	Astro-adult	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	1232	0.3941510753387122	0.4010657140213906	0.041666666666666664
GSE104323	10X_all_cells	Astro-juv	other_local_cell_type	neurite_cytoskeleton_morphogenesis	Neurite/cytoskeleton	13	821	0.5134277993703404	0.5281357197225223	0.2916666666666667
