summary_level	n_contrasts	n_configuration_positive	n_both_components_positive	n_fate_driven_positive	n_construction_driven_positive	n_configuration_not_positive	n_positive_delta_downstream_construction_balance	n_tested_delta_downstream_construction_balance	median_delta_downstream_construction_balance	sign_p_delta_downstream_construction_balance	wilcoxon_p_delta_downstream_construction_balance	n_positive_delta_regional_fate_balance	n_tested_delta_regional_fate_balance	median_delta_regional_fate_balance	sign_p_delta_regional_fate_balance	wilcoxon_p_delta_regional_fate_balance	n_positive_delta_configuration_score	n_tested_delta_configuration_score	median_delta_configuration_score	sign_p_delta_configuration_score	wilcoxon_p_delta_configuration_score	audit_scope	expression_layer	branch_kind	module_score	module_label	n_positive_delta	median_delta_candidate_minus_background	sign_p_delta_positive	wilcoxon_p_delta_positive
all	67	56.0	28.0	27.0	1.0	11.0	29.0	67.0	0.0	0.8892256351775945	0.09855767824058231	63.0	67.0	0.4166666666666667	5.5339305186918875e-15	4.051138022519286e-12	56.0	67.0	0.4166666666666667	1.0728980157916847e-08	1.2513594675948971e-08									
by_audit_scope	63	52.0	26.0	26.0	0.0	11.0	26.0	63.0	0.0	0.9350410384887238	0.08378718507675498	60.0	63.0	0.4166666666666667	4.524158825347513e-15	1.6266433281419512e-11	52.0	63.0	0.4166666666666667	8.367495593630815e-08	4.798510577553412e-08	primary_core_candidate_background								
by_audit_scope	4	4.0	2.0	1.0	1.0	0.0	3.0	4.0	0.13541666666666666	0.3125	0.4375	3.0	4.0	0.46875	0.3125	0.125	4.0	4.0	0.4166666666666667	0.0625	0.0625	local_named_comparator								
by_primary_expression_layer	8	8.0	8.0	0.0	0.0	0.0	8.0	8.0	0.9166666666666667	0.00390625	0.00390625	8.0	8.0	0.6666666666666667	0.00390625	0.00390625	8.0	8.0	1.5	0.00390625	0.00390625	primary_core_candidate_background	full_mgi_ortholog_matrix							
by_primary_expression_layer	55	44.0	18.0	26.0	0.0	11.0	18.0	55.0	0.0	0.9967720984450217	0.6797467847046591	52.0	55.0	0.3333333333333333	7.709388682997087e-13	4.6373564414865096e-10	44.0	55.0	0.3333333333333333	4.349685852389484e-06	2.896195120196983e-06	primary_core_candidate_background	selected_feature_matrix							
by_primary_expression_layer	4	4.0	2.0	1.0	1.0	0.0	3.0	4.0	0.13541666666666666	0.3125	0.4375	3.0	4.0	0.46875	0.3125	0.125	4.0	4.0	0.4166666666666667	0.0625	0.0625	local_named_comparator	local_named_comparator_modules							
by_primary_branch	12	12.0	10.0	2.0	0.0	0.0	10.0	12.0	0.5	0.019287109375	0.0009765625	12.0	12.0	0.5000000000000001	0.000244140625	0.000244140625	12.0	12.0	1.0	0.000244140625	0.000244140625	primary_core_candidate_background		cerebellar						
by_primary_branch	51	40.0	16.0	24.0	0.0	11.0	16.0	51.0	0.0	0.9976993451441167	0.684822058292873	48.0	51.0	0.3333333333333333	9.837464176598587e-12	2.5630454365302806e-09	40.0	51.0	0.25	2.851905818701539e-05	2.1340835248283395e-05	primary_core_candidate_background		dentate						
by_primary_branch	1	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.1145833333333333	0.5		0.0	1.0	-0.0833333333333333	1.0		1.0	1.0	0.1145833333333334	0.5		local_named_comparator		dentate						
by_primary_branch	3	3.0	2.0	1.0	0.0	0.0	2.0	3.0	0.15625	0.5	0.625	3.0	3.0	0.5625	0.125	0.125	3.0	3.0	0.71875	0.125	0.125	local_named_comparator		cerebellar						
