audit_scope	contrast_id	expression_layer	dataset	core_branch	branch_kind	sample	source_layer	expression_scope	target_class	background_classes	candidate_median_downstream_construction_balance	background_median_downstream_construction_balance	delta_downstream_construction_balance	candidate_median_regional_fate_balance	background_median_regional_fate_balance	delta_regional_fate_balance	candidate_median_configuration_score	background_median_configuration_score	delta_configuration_score	configuration_positive	driver_class	construction_positive	fate_positive	driver_notes
primary_core_candidate_background	primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464549_P0|cerebellar_candidate	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464549_P0	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.6666666666666667	-0.1666666666666666	0.8333333333333334	0.3333333333333333	-0.3333333333333333	0.6666666666666667	1.0	-0.5	1.5	True	both_components_positive	True	True	construction and regional fate both support the configuration
primary_core_candidate_background	primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464550_P8a|cerebellar_candidate	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464550_P8a	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.6666666666666667	-0.3333333333333333	1.0	0.3333333333333333	-0.3333333333333333	0.6666666666666667	1.0	-0.6666666666666666	1.6666666666666663	True	both_components_positive	True	True	construction and regional fate both support the configuration
primary_core_candidate_background	primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464551_P8b|cerebellar_candidate	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464551_P8b	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.6666666666666667	-0.3333333333333333	1.0	0.3333333333333333	-0.3333333333333333	0.6666666666666667	1.0	-0.6666666666666666	1.6666666666666663	True	both_components_positive	True	True	construction and regional fate both support the configuration
primary_core_candidate_background	primary_core_candidate_background|full_mgi_ortholog_matrix|GSE165657|Cerebellum_aggr|cerebellar_candidate	full_mgi_ortholog_matrix	GSE165657	cerebellum	cerebellar	Cerebellum_aggr	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.6666666666666667	-0.3333333333333333	1.0	0.3333333333333333	-0.1666666666666666	0.5	1.0	-0.5	1.5	True	both_components_positive	True	True	construction and regional fate both support the configuration
primary_core_candidate_background	primary_core_candidate_background|full_mgi_ortholog_matrix|GSE312658|Ctrl|cerebellar_candidate	full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	Ctrl	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.3333333333333333	-0.1666666666666666	0.5	0.3333333333333333	-0.1666666666666666	0.5	0.6666666666666667	-0.3333333333333333	1.0	True	both_components_positive	True	True	construction and regional fate both support the configuration
primary_core_candidate_background	primary_core_candidate_background|full_mgi_ortholog_matrix|GSE312658|cKO|cerebellar_candidate	full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	cKO	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.4999999999999999	-0.25	0.75	0.3333333333333333	-0.25	0.5833333333333334	0.8333333333333333	-0.5	1.3333333333333333	True	both_components_positive	True	True	construction and regional fate both support the configuration
primary_core_candidate_background	primary_core_candidate_background|full_mgi_ortholog_matrix|GSE104323|10X_all_cells|dentate_candidate	full_mgi_ortholog_matrix	GSE104323	mouse_dentate	dentate	10X_all_cells	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	dentate_candidate	non_dentate_background	0.25	-0.25	0.5	0.5	-0.5	1.0	0.75	-0.75	1.5	True	both_components_positive	True	True	construction and regional fate both support the configuration
primary_core_candidate_background	primary_core_candidate_background|full_mgi_ortholog_matrix|GSE95752|C1_all_cells|dentate_candidate	full_mgi_ortholog_matrix	GSE95752	mouse_dentate	dentate	C1_all_cells	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	dentate_candidate	other_or_ambiguous	0.6666666666666667	-0.6666666666666667	1.3333333333333337	0.6666666666666667	-0.6666666666666667	1.3333333333333337	1.3333333333333337	-1.3333333333333337	2.666666666666667	True	both_components_positive	True	True	construction and regional fate both support the configuration
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE122357|GSM3464549_P0|cerebellar_candidate	selected_feature_matrix	GSE122357	cerebellum	cerebellar	GSM3464549_P0	full_raw_matrix	full_matrix_candidate_genes	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.3333333333333333	-0.1666666666666666	0.5	0.3333333333333333	-0.1666666666666667	0.5000000000000001	0.6666666666666667	-0.3333333333333333	1.0	True	both_components_positive	True	True	construction and regional fate both support the configuration
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE122357|GSM3464550_P8a|cerebellar_candidate	selected_feature_matrix	GSE122357	cerebellum	cerebellar	GSM3464550_P8a	full_raw_matrix	full_matrix_candidate_genes	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.0	0.0	0.0	0.3333333333333333	-0.1666666666666667	0.5000000000000001	0.3333333333333333	-0.1666666666666667	0.5000000000000001	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE122357|GSM3464551_P8b|cerebellar_candidate	selected_feature_matrix	GSE122357	cerebellum	cerebellar	GSM3464551_P8b	full_raw_matrix	full_matrix_candidate_genes	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.1666666666666667	-0.0833333333333333	0.25	0.3333333333333333	-0.1666666666666667	0.5000000000000001	0.5000000000000001	-0.25	0.7500000000000001	True	both_components_positive	True	True	construction and regional fate both support the configuration
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE165657|Cerebellum_aggr|cerebellar_candidate	selected_feature_matrix	GSE165657	cerebellum	cerebellar	Cerebellum_aggr	full_raw_matrix	full_matrix_candidate_genes	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.0	0.0	0.0	0.3333333333333333	-0.1666666666666667	0.5000000000000001	0.3333333333333333	-0.1666666666666667	0.5000000000000001	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE312658|Ctrl|cerebellar_candidate	selected_feature_matrix	GSE312658	cerebellum	cerebellar	Ctrl	full_raw_matrix	full_matrix_candidate_genes	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.1666666666666667	-0.0833333333333333	0.25	0.3333333333333333	-0.1666666666666666	0.5	0.5000000000000001	-0.25	0.7500000000000001	True	both_components_positive	True	True	construction and regional fate both support the configuration
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE312658|cKO|cerebellar_candidate	selected_feature_matrix	GSE312658	cerebellum	cerebellar	cKO	full_raw_matrix	full_matrix_candidate_genes	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.1666666666666666	0.0	0.1666666666666666	0.3333333333333333	-0.0833333333333333	0.4166666666666667	0.5	-0.0833333333333333	0.5833333333333334	True	both_components_positive	True	True	construction and regional fate both support the configuration
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE104323|10X_all_cells|dentate_candidate	selected_feature_matrix	GSE104323	mouse_dentate	dentate	10X_all_cells	full_raw_matrix	full_matrix_candidate_genes	dentate_candidate	non_dentate_background	0.25	-0.25	0.5	0.5	-0.5	1.0	0.75	-0.75	1.5	True	both_components_positive	True	True	construction and regional fate both support the configuration
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|1|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	1	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	other_or_ambiguous	-0.1666666666666666	0.0	-0.1666666666666666	0.1666666666666667	-0.3333333333333333	0.5	1.1102230246251563e-16	-0.3333333333333333	0.3333333333333334	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|2|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	2	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.3333333333333333	0.1666666666666666	-0.5	0.0	-0.1249999999999999	0.1249999999999999	-0.3333333333333333	0.0416666666666667	-0.3750000000000001	False	configuration_not_positive	False	True	combined configuration is not positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|3|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	3	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.0833333333333333	0.0416666666666666	-0.125	0.0	-0.1249999999999999	0.1249999999999999	-0.0833333333333333	-0.0833333333333332	-8.326672684688674e-17	False	configuration_not_positive	False	True	combined configuration is not positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|4|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	4	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.1666666666666666	0.0833333333333333	-0.25	0.0	-0.1666666666666666	0.1666666666666666	-0.1666666666666666	-0.0833333333333332	-0.0833333333333333	False	configuration_not_positive	False	True	combined configuration is not positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|5|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	5	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.1666666666666666	0.0833333333333333	-0.25	0.1666666666666667	-0.0833333333333333	0.2500000000000001	1.1102230246251563e-16	2.7755575615628914e-17	8.326672684688674e-17	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|6|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	6	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.1666666666666666	2.7755575615628914e-17	-0.1666666666666666	0.1666666666666667	-0.0416666666666666	0.2083333333333334	1.1102230246251563e-16	-0.0416666666666666	0.0416666666666667	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|7|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	7	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.3333333333333333	0.1666666666666666	-0.5	0.0	-0.0416666666666666	0.0416666666666666	-0.3333333333333333	0.125	-0.4583333333333333	False	configuration_not_positive	False	True	combined configuration is not positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|8|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	8	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.1666666666666666	2.7755575615628914e-17	-0.1666666666666666	0.1666666666666667	-0.0833333333333333	0.2500000000000001	1.1102230246251563e-16	-0.0833333333333333	0.0833333333333334	True	fate_driven_positive	False	True	configuration is positive mainly because regional fate polarity is positive
primary_core_candidate_background	primary_core_candidate_background|selected_feature_matrix|GSE268609|9|dentate_candidate	selected_feature_matrix	GSE268609	human_dentate_hippocampus	dentate	9	selected_gene_bridge	selected_bridge_candidate_genes	dentate_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.3333333333333333	0.1666666666666666	-0.5	0.1666666666666667	-0.1249999999999999	0.2916666666666667	-0.1666666666666666	0.0416666666666667	-0.2083333333333333	False	configuration_not_positive	False	True	combined configuration is not positive
