summary_level	n_contrasts	n_positive	fraction_positive	median_delta	mean_delta	sign_test_p	wilcoxon_p	branch_kind	expression_layer	pathway_id	pair_id
all	285	139	0.48771929824561405	0.0	0.0614035087719298	0.6821683729800702	0.010565365962299038				
by_branch	147	44	0.29931972789115646	-0.16666666666666669	-0.0634920634920635	0.9999997402355129	0.9981743602892384	cerebellar			
by_branch	138	95	0.6884057971014492	0.16666666666666663	0.19444444444444445	5.649801737873108e-06	5.300033908040626e-08	dentate			
by_expression_layer	175	46	0.26285714285714284	-0.16666666666666669	-0.08571428571428573	0.9999999999541199	0.9998881331045129		full_mgi_ortholog_matrix		
by_expression_layer	110	93	0.8454545454545455	0.41666666666666663	0.29545454545454547	3.618613564738099e-14	7.0186696873317294e-15		selected_feature_matrix		
by_id	8	3	0.375	0.0	0.125	0.85546875	0.21875			tgf_beta_smad	LR001
by_id	8	0	0.0	-0.16666666666666669	-0.22916666666666669	1.0	1.0			tgf_beta_smad	LR002
by_id	7	0	0.0	-0.49999999999999994	-0.4285714285714285	1.0	1.0			tgf_beta_smad	LR003
by_id	63	54	0.8571428571428571	0.5	0.32275132275132273	3.0541397258443403e-09	3.3084280453459867e-10			bdnf_trkb_mapk	LR004
by_id	7	3	0.42857142857142855	-0.16666666666666669	-0.04761904761904764	0.7734375	0.8046875			shh_granule_expansion	LR005
by_id	7	2	0.2857142857142857	-0.16666666666666669	-0.07142857142857142	0.9375	0.703125			shh_granule_expansion	LR006
by_id	8	1	0.125	-0.16666666666666669	-0.14583333333333334	0.99609375	0.9921875			wnt_beta_catenin	LR008
by_id	8	0	0.0	-0.16666666666666669	-0.16666666666666669	1.0	1.0			wnt_beta_catenin	LR009
by_id	7	0	0.0	-0.16666666666666669	-0.19047619047619047	1.0	1.0			fgf_mapk	LR010
by_id	7	3	0.42857142857142855	-0.16666666666666669	-0.04761904761904764	0.7734375	0.8046875			fgf_mapk	LR011
by_id	8	0	0.0	-0.16666666666666669	-0.125	1.0	1.0			fgf_mapk	LR012
by_id	8	2	0.25	-0.3333333333333333	-0.1875	0.96484375	0.859375			bmp_smad	LR013
by_id	8	2	0.25	-0.16666666666666669	-0.06250000000000001	0.96484375	0.6640625			bmp_smad	LR014
by_id	8	0	0.0	-0.49999999999999994	-0.45833333333333326	1.0	1.0			notch_hes	LR015
by_id	8	0	0.0	-0.41666666666666663	-0.37499999999999994	1.0	1.0			notch_hes	LR016
by_id	8	0	0.0	-0.25	-0.22916666666666666	1.0	1.0			notch_hes	LR017
by_id	8	4	0.5	-2.7755575615628914e-17	0.020833333333333315	0.63671875	0.4609375			reelin_migration_stop	LR018
