dataset	region	axis_type	comparison_group	signature_id	signature_label	n_axis_units	start_label	end_label	start_score	end_score	delta_end_minus_start	min_score	max_score	peak_label	mean_score
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	differentiation_stop_index	Differentiation/stop signaling	8	RGL_young	GC-adult	0.6	0.225	-0.375	0.225	0.8625	nIPC-perin	0.54453125
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	neurogenic_permissive_index	Neurogenic/permissive signaling	8	RGL_young	GC-adult	0.7916666666666666	0.25	-0.5416666666666666	0.25	0.875	nIPC-perin	0.5546875
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	stop_minus_permissive_index	Stop minus permissive balance	8	RGL_young	GC-adult	-0.19166666666666665	-0.024999999999999994	0.16666666666666666	-0.19166666666666665	0.16666666666666669	Immature-GC	-0.010156249999999985
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	8	RGL_young	GC-adult	0.5625	0.28125	-0.28125	0.28125	0.84375	nIPC-perin	0.541015625
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	tgf_bdnf_2005_index_transition_set	TGF-beta/BDNF 2005 mechanism transition set	3	Immature-GC;Neuroblast;RGL_young	GC-adult;Immature-GC;GC-adult			-0.25	-0.28125	-0.015625		-0.18229166666666666
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	differentiation_stop_index	Differentiation/stop signaling	3	P0	P8b	0.5333333333333333	0.6	0.06666666666666665	0.5333333333333333	0.8666666666666666	P8a	0.6666666666666666
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	neurogenic_permissive_index	Neurogenic/permissive signaling	3	P0	P8b	0.9444444444444443	0.6666666666666666	-0.2777777777777777	0.5555555555555555	0.9444444444444443	P0	0.7222222222222222
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	stop_minus_permissive_index	Stop minus permissive balance	3	P0	P8b	-0.411111111111111	-0.06666666666666665	0.34444444444444433	-0.411111111111111	0.3111111111111111	P8a	-0.055555555555555504
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	3	P0	P8b	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.8333333333333333	P8a	0.611111111111111
GSE122357	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	tgf_bdnf_2005_index_transition_set	TGF-beta/BDNF 2005 mechanism transition set	2	P0;P0	P8a;P8b			0.41666666666666663	0.3333333333333333	0.49999999999999994		0.41666666666666663
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	differentiation_stop_index	Differentiation/stop signaling	8	immature_1hr	matureactive_4hr	0.4375	0.6625	0.22499999999999998	0.3625	0.725	mature_4hr	0.55859375
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	neurogenic_permissive_index	Neurogenic/permissive signaling	8	immature_1hr	matureactive_4hr	0.4791666666666667	0.6875	0.20833333333333331	0.4270833333333333	0.6875	matureactive_4hr	0.5533854166666667
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	stop_minus_permissive_index	Stop minus permissive balance	8	immature_1hr	matureactive_4hr	-0.041666666666666685	-0.025000000000000022	0.016666666666666663	-0.07500000000000001	0.07916666666666661	mature_4hr	0.005208333333333315
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	8	immature_1hr	matureactive_4hr	0.40625	0.59375	0.1875	0.40625	0.75	immatureactive_4hr	0.55859375
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	tgf_bdnf_2005_index_transition_set	TGF-beta/BDNF 2005 mechanism transition set	6	immature_1hr;immature_4hr;immature_1hr;immature_4hr;mature_1hr;mature_4hr	immatureactive_1hr;immatureactive_4hr;mature_1hr;mature_4hr;matureactive_1hr;matureactive_4hr			0.078125	-0.09375	0.15625		0.041666666666666664
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	differentiation_stop_index	Differentiation/stop signaling	5	P5	P28	0.7799999999999999	0.2	-0.5799999999999998	0.2	0.82	P10	0.608
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	neurogenic_permissive_index	Neurogenic/permissive signaling	5	P5	P28	0.7999999999999999	0.20000000000000004	-0.5999999999999999	0.20000000000000004	0.7999999999999999	P5	0.62
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	stop_minus_permissive_index	Stop minus permissive balance	5	P5	P28	-0.020000000000000018	-2.7755575615628914e-17	0.01999999999999999	-0.10000000000000009	0.08666666666666656	P10	-0.012000000000000038
