dataset	region	axis_type	comparison_group	transition_id	transition_label	metric_type	metric_id	metric_label	start_label	end_label	start_score	end_score	delta_end_minus_start	direction
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	immature_gc_to_adult_gc	Immature-GC to GC-adult	pathway	bdnf_trkb_mapk	BDNF/TrkB/MAPK	Immature-GC	GC-adult	0.5625	0.3125	-0.25	decreased
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	immature_gc_to_adult_gc	Immature-GC to GC-adult	pathway	notch_hes	Notch/HES	Immature-GC	GC-adult	0.375	0.1875	-0.1875	decreased
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	immature_gc_to_adult_gc	Immature-GC to GC-adult	pathway	shh_granule_expansion	SHH/PTCH/GLI	Immature-GC	GC-adult	0.375	0.375	0.0	unchanged
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	immature_gc_to_adult_gc	Immature-GC to GC-adult	pathway	tgf_beta_smad	TGF-beta/SMAD	Immature-GC	GC-adult	0.5	0.25	-0.25	decreased
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	immature_gc_to_adult_gc	Immature-GC to GC-adult	signature	differentiation_stop_index	Differentiation/stop signaling	Immature-GC	GC-adult	0.625	0.225	-0.4	decreased
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	immature_gc_to_adult_gc	Immature-GC to GC-adult	signature	neurogenic_permissive_index	Neurogenic/permissive signaling	Immature-GC	GC-adult	0.4583333333333333	0.25	-0.20833333333333331	decreased
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	immature_gc_to_adult_gc	Immature-GC to GC-adult	signature	stop_minus_permissive_index	Stop minus permissive balance	Immature-GC	GC-adult	0.16666666666666669	-0.024999999999999994	-0.19166666666666668	decreased
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	immature_gc_to_adult_gc	Immature-GC to GC-adult	signature	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	Immature-GC	GC-adult	0.53125	0.28125	-0.25	decreased
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	neuroblast_to_immature_gc	Neuroblast to Immature-GC	pathway	bdnf_trkb_mapk	BDNF/TrkB/MAPK	Neuroblast	Immature-GC	0.46875	0.5625	0.09375	increased
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	neuroblast_to_immature_gc	Neuroblast to Immature-GC	pathway	notch_hes	Notch/HES	Neuroblast	Immature-GC	0.5	0.375	-0.125	decreased
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	neuroblast_to_immature_gc	Neuroblast to Immature-GC	pathway	shh_granule_expansion	SHH/PTCH/GLI	Neuroblast	Immature-GC	0.5	0.375	-0.125	decreased
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	neuroblast_to_immature_gc	Neuroblast to Immature-GC	pathway	tgf_beta_smad	TGF-beta/SMAD	Neuroblast	Immature-GC	0.625	0.5	-0.125	decreased
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	neuroblast_to_immature_gc	Neuroblast to Immature-GC	signature	differentiation_stop_index	Differentiation/stop signaling	Neuroblast	Immature-GC	0.54375	0.625	0.08125000000000004	increased
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	neuroblast_to_immature_gc	Neuroblast to Immature-GC	signature	neurogenic_permissive_index	Neurogenic/permissive signaling	Neuroblast	Immature-GC	0.5	0.4583333333333333	-0.041666666666666685	decreased
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	neuroblast_to_immature_gc	Neuroblast to Immature-GC	signature	stop_minus_permissive_index	Stop minus permissive balance	Neuroblast	Immature-GC	0.043749999999999956	0.16666666666666669	0.12291666666666673	increased
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	neuroblast_to_immature_gc	Neuroblast to Immature-GC	signature	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	Neuroblast	Immature-GC	0.546875	0.53125	-0.015625	decreased
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	rgl_to_gc_adult	RGL_young to GC-adult	pathway	bdnf_trkb_mapk	BDNF/TrkB/MAPK	RGL_young	GC-adult	0.5	0.3125	-0.1875	decreased
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	rgl_to_gc_adult	RGL_young to GC-adult	pathway	notch_hes	Notch/HES	RGL_young	GC-adult	0.875	0.1875	-0.6875	decreased
GSE104323	dentate_gyrus	adult_dentate_lineage_state	curated_dentate_granule_lineage	rgl_to_gc_adult	RGL_young to GC-adult	pathway	shh_granule_expansion	SHH/PTCH/GLI	RGL_young	GC-adult	0.75	0.375	-0.375	decreased
