canonical_gene	n_candidate_units	n_detected_candidate_units	detected_candidate_fraction	median_candidate_detection	median_candidate_rank	median_candidate_minus_background_rank	positive_candidate_background_units	positive_candidate_background_fraction	p0_rank	p8_median_rank	p8_minus_p0_rank	p0_detection	p8_median_detection	p8_minus_p0_detection	mechanism_class	secretome_class	medium_compatibility	expected_effect	rationale	pathway_roles	effect_weight	priority_score	conditioned_medium_inference_tier
SFRP1	6	6	1.0	0.3263277078639847	1.0	0.5	6	1.0	1.0	1.0	0.0	0.2714712471994025	0.7611074424672948	0.48963619526789226	WNT antagonist	secreted_medium_compatible	high	anti_neurogenic_or_differentiation	secreted frizzled-related candidate		2.5	4.826327707863984	high_priority_cm_candidate
BMP6	3	3	1.0	0.2471295790049207	1.0	0.5	2	0.6666666666666666							BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate		2.5	4.747129579004921	high_priority_cm_candidate
RELN	6	6	1.0	0.7392140678772279	1.0	0.5	6	1.0	1.0	1.0	0.0	0.7766990291262136	0.6927258807149368	-0.08397314841127679	migration-stop/guidance	secreted_medium_compatible	high	migration_stop_or_differentiation	Reelin migration-stop/maturation candidate	reelin_migration_stop:ligand	2.0	4.739214067877228	high_priority_cm_candidate
TGFB2	6	6	1.0	0.14613634960435384	0.6666666666666666	0.0	2	0.3333333333333333	0.3333333333333333	1.0	0.6666666666666667	0.0937266616878267	0.3612710354871834	0.2675443737993567	TGF-beta superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	2005 anchor; SMAD-linked stop/maturation factor	tgf_beta_smad:ligand	2.5	3.6461363496043537	high_priority_cm_candidate
SFRP2	6	6	1.0	0.08145187155832524	0.6666666666666666	0.0	2	0.3333333333333333	0.6666666666666666	1.0	0.33333333333333337	0.1445108289768484	0.25630917691660815	0.11179834793975976	WNT antagonist	secreted_medium_compatible	high	anti_neurogenic_or_differentiation	secreted frizzled-related candidate		2.5	3.248118538224992	high_priority_cm_candidate
GDF11	6	6	1.0	0.0682698316018592	0.6666666666666666	0.0	1	0.16666666666666666	1.0	0.6666666666666666	-0.33333333333333337	0.0649738610903659	0.06618705381900475	0.0012131927286388455	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	TGF-beta family differentiation candidate		2.5	2.9016031649351923	supported_cm_candidate
INHBB	6	6	1.0	0.027507306195376648	0.6666666666666666	0.0	2	0.3333333333333333	1.0	0.3333333333333333	-0.6666666666666667	0.0761762509335324	0.00627364806023125	-0.06990260287330116	activin/inhibin	secreted_medium_compatible	high	anti_proliferative_or_differentiation	activin branch candidate		2.5	2.8608406395287096	supported_cm_candidate
TGFB3	6	6	1.0	0.024027498844808648	0.5	-0.24999999999999997	1	0.16666666666666666	0.3333333333333333	0.3333333333333333	0.0	0.0231516056758775	0.0083044026931407	-0.014847202982736799	TGF-beta superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	TGF-beta family candidate	tgf_beta_smad:ligand	2.5	2.524027498844809	supported_cm_candidate
SEMA3A	6	6	1.0	0.08193006485920315	0.6666666666666666	0.0	1	0.16666666666666666	0.6666666666666666	0.3333333333333333	-0.3333333333333333	0.0623599701269604	0.017426236217207902	-0.0449337339097525	semaphorin guidance	secreted_medium_compatible	high	migration_stop_or_differentiation	secreted semaphorin guidance candidate	semaphorin_guidance:ligand	2.0	2.415263398192536	supported_cm_candidate
SLIT2	6	6	1.0	0.06911878406812541	0.6666666666666666	0.0	1	0.16666666666666666	0.6666666666666666	0.5	-0.16666666666666663	0.0642270351008215	0.0374353935795883	-0.026791641521233207	slit/robo guidance	secreted_medium_compatible	high	migration_stop_or_differentiation	secreted guidance candidate		2.0	2.4024521174014586	supported_cm_candidate
NTF3	6	6	1.0	0.069873035719841	1.0	0.5	6	1.0	1.0	1.0	0.0	0.1740104555638536	0.0402202682241662	-0.1337901873396874	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	neurotrophin maturation candidate		1.5	3.569873035719841	detected_secreted_context_candidate
CXCL12	6	6	1.0	0.2079020631838263	1.0	0.5	5	0.8333333333333334	1.0	1.0	0.0	0.3864824495892457	0.2270224467574709	-0.1594600028317748	chemokine	secreted_medium_compatible	high	migration_or_progenitor_context_dependent	chemokine niche candidate		0.5	2.7079020631838264	detected_secreted_context_candidate
NTN1	6	6	1.0	0.1301026532675506	1.0	0.5	5	0.8333333333333334	1.0	1.0	0.0	0.0933532486930545	0.17228289731679663	0.07892964862374213	netrin guidance	secreted_medium_compatible	high	migration_or_survival_context_dependent	secreted guidance candidate		0.5	2.6301026532675507	detected_secreted_context_candidate
GDF10	6	6	1.0	0.048075573141179946	0.3333333333333333	-0.49999999999999994	0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0694548170276325	0.0205527755783723	-0.04890204144926019	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	TGF-beta family differentiation candidate		2.5	2.54807557314118	detected_secreted_context_candidate
DKK3	6	6	1.0	0.0451984443957748	0.3333333333333333	-0.49999999999999994	0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0414488424197162	0.0134742519973628	-0.0279745904223534	WNT antagonist	secreted_medium_compatible	high	anti_neurogenic_or_differentiation	WNT-antagonist candidate	wnt_beta_catenin:modulator	2.5	2.545198444395775	detected_secreted_context_candidate
PTN	6	6	1.0	0.8771735637482743	1.0	0.5	4	0.6666666666666666	1.0	1.0	0.0	0.9473487677371172	0.990705330610701	0.043356562873583804	growth factor	secreted_medium_compatible	high	survival_or_proliferative_counter_signal	growth/survival counter-signal		-0.5	2.3771735637482743	detected_secreted_context_candidate
FGF9	6	6	1.0	0.2823455480963695	1.0	0.5	6	1.0	1.0	1.0	0.0	0.3241224794622853	0.42143821879150595	0.09731573932922066	FGF pathway	secreted_medium_compatible	high	proliferative_or_survival_counter_signal	growth/permissive counter-signal	fgf_mapk:ligand	-0.5	1.7823455480963695	detected_secreted_context_candidate
SPARC	6	6	1.0	0.1018417123208169	0.3333333333333333	-0.49999999999999994	0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0694548170276325	0.09821244439600404	0.02875762736837155	matricellular/ECM	secreted_medium_compatible	high	maturation_ecm_context_dependent	secreted ECM candidate		1.5	1.6018417123208168	detected_secreted_context_candidate
SPARCL1	6	6	1.0	0.09342534860847154	0.3333333333333333	-0.49999999999999994	0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0989544436146377	0.08250949128020349	-0.016444952334434215	matricellular/ECM	secreted_medium_compatible	high	maturation_ecm_context_dependent	secreted ECM candidate		1.5	1.5934253486084715	detected_secreted_context_candidate
