comparison	metric	dentate_n	cerebellum_n	dentate_median	cerebellum_median	median_delta_dentate_minus_cerebellum	median_ratio_dentate_over_cerebellum	mannwhitney_p	cliffs_delta_dentate_vs_cerebellum
dentate_gyrus_sample_vs_cerebellum_all	n_stems	558	62	1.5	4.0	-2.5	0.375	3.623275504103117e-27	-0.7902069603422361
dentate_gyrus_sample_vs_cerebellum_all	n_bifs	558	62	10.0	8.0	2.0	1.25	0.09274642029327983	0.12989941033645508
dentate_gyrus_sample_vs_cerebellum_all	n_branch	558	62	21.0	20.0	1.0	1.05	0.8967690772231106	0.010058966354491848
dentate_gyrus_sample_vs_cerebellum_all	length	558	62	1352.94	274.72400000000005	1078.216	4.924724450721451	7.63765273689933e-20	0.7053416579951439
dentate_gyrus_sample_vs_cerebellum_all	surface	558	62	1755.975	862.1795	893.7955	2.0366698581907827	0.005457732477915222	0.21496704821366633
dentate_gyrus_sample_vs_cerebellum_all	volume	558	62	168.89350000000002	590.8240000000001	-421.93050000000005	0.28586093320515077	0.030637530023411585	-0.16724476818129264
dentate_gyrus_sample_vs_cerebellum_all	pathDistance	558	62	268.81899999999996	75.90084999999999	192.91814999999997	3.541712642216787	3.8793795200896586e-22	0.748352410683316
dentate_gyrus_sample_vs_cerebellum_all	branch_Order	558	62	5.0	3.0	2.0	1.6666666666666667	7.747754269823992e-12	0.5218233321771303
dentate_gyrus_sample_vs_cerebellum_all	fractal_Dim	558	62	1.022705	1.0885950000000002	-0.06589000000000023	0.9394724392450817	4.31109494267448e-35	-0.9560642848884264
dentate_gyrus_sample_vs_cerebellum_all	compact_branch_index	558	62	0.014869688303100113	0.07833091292170685	-0.06346122461860673	0.18983167370923704	3.893189506521328e-34	-0.9423054688403284
