architecture	replicate	seed	n_inputs	n_outputs	expansion_ratio	input_degree	output_active_fraction_parameter	observed_output_active_fraction	median_input_hamming_distance	median_output_hamming_distance	median_input_jaccard_distance	median_output_jaccard_distance	separation_gain	near_pair_input_jaccard_distance	near_pair_output_jaccard_distance	near_pair_separation_gain	distance_spearman_correlation	collapse_rate	output_entropy_bits	active_fraction_penalty	information_retention_score	useful_pattern_separation_score	relative_wiring_cost	relative_active_output_load	relative_wiring_activity_cost	resource_adjusted_useful_score	loss_cerebellar_stem_input	loss_dentate_stem_lower_bound	loss_branch_complexity_overfit	morphology_sparse_sampling_score	loss_dandi_active_exact_match	loss_excessive_silence	dandi_activity_proxy_score	z_useful	z_resource_adjusted	z_information_retention	z_distance_structure	z_low_collapse	z_morphology	z_dandi_activity_proxy	empirical_calibration_score	resource_constrained_calibration_score	activity_exact_match_score	rank_empirical_calibration	rank_resource_constrained_calibration	rank_activity_exact_match
intermediate	2	30134	64	32	0.5	2	0.05	0.0625	0.265625	0.125	0.9090909090909092	1.0	1.09999999879	0.8125	1.0	1.230769229254438	0.2803390667235129	0.0115578865578865	0.308748480839547	0.8944271838444985	0.0855538766414581	0.0941805696704226	1.0	0.03125	0.0625	1.5068890906165375	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	3.134651410025072	0.0	-0.783662852506268	-0.1276320319308251	17.701903039672114	-0.21314057674990722	-0.5107170471124424	-0.7584850859431211	0.3967592703304354	0.2244582683855599	4.103323017540856	5.267799677894036	-3.134651410025072	1.0	1.0	181.0
intermediate	1	20184	64	32	0.5	2	0.1	0.09375	0.296875	0.1875	0.9	1.0	1.1111111098765432	0.7916666666666666	0.8	1.0105263145130194	0.3330651138734721	0.002039627039627	0.4146081652375701	0.7302967394453056	0.1378098605782197	0.1017014821556808	1.0	0.046875	0.09375	1.084815798089227	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	2.5496889169982895	0.0	-0.6374222292495724	-0.0633619126845412	12.501702487266556	0.19104641907924597	-0.2985884813018547	-0.13385030928407826	0.3967592703304354	0.6431868776574539	3.033956960686387	3.8646214935254974	-2.5496889169982895	2.0	2.0	151.0
intermediate	2	30184	64	32	0.5	2	0.1	0.09375	0.296875	0.1875	0.9	1.0	1.1111111098765432	0.8095238095238095	1.0	1.2352941161211073	0.2656501323806623	0.0018453768453768	0.4246106427132985	0.7302967394453056	0.1125897188631589	0.1015707055332009	1.0	0.046875	0.09375	1.0834208474643212	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	2.5496889169982895	0.0	-0.6374222292495724	-0.06447946712196939	12.484515844238807	-0.004025083670217949	-0.5698138833795848	-0.12110266078083208	0.3967592703304354	0.6431868776574539	2.9683036522948307	3.8312560291675917	-2.5496889169982895	3.0	3.0	151.0
intermediate	3	40134	64	32	0.5	2	0.05	0.0625	0.296875	0.125	0.9	1.0	1.1111111098765432	0.8	1.0	1.2499999984375	0.1998979846194089	0.005050505050505	0.3160077922565	0.8944271838444985	0.0628502838223855	0.0702687528660187	1.0	0.03125	0.0625	1.1243000278674988	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	3.134651410025072	0.0	-0.783662852506268	-0.3319709762313547	12.988172295092625	-0.3887472017667545	-0.834349337059452	-0.33143886108438736	0.3967592703304354	0.2244582683855599	2.885004010928596	3.8291762943934295	-3.134651410025072	4.0	4.0	181.0
intermediate	2	30185	64	64	1.0	2	0.05	0.046875	0.3125	0.09375	0.9	1.0	1.1111111098765432	0.8	1.0	1.2499999984375	0.3225044280005147	0.0012626262626262	0.2557574309595406	0.9682458468798096	0.0823787588977068	0.0997036138426428	2.0	0.046875	0.09375	1.0635052029774676	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	3.5496889016095423	0.0	-0.8874222254023856	-0.08043473928224572	12.239142949777953	-0.2376993201811616	-0.3410764596218513	-0.08285971527109356	0.3967592703304354	-0.07263440630478776	2.860185645505442	3.687435201273501	-3.5496889016095423	5.0	6.0	241.0
intermediate	1	20134	64	32	0.5	2	0.05	0.0625	0.28125	0.125	0.9	1.0	1.1111111098765432	0.8	1.0	1.2499999984375	0.2020298424274728	0.0087412587412587	0.3082309193487993	0.8944271838444985	0.0617275097660253	0.0690134533209329	1.0	0.03125	0.0625	1.104215235467483	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	3.134651410025072	0.0	-0.783662852506268	-0.34269816546678444	12.740715395111788	-0.3974315789164476	-0.8257724009191322	-0.5736441826460581	0.3967592703304354	0.2244582683855599	2.8025288219494287	3.7272705978234715	-3.134651410025072	6.0	5.0	181.0
intermediate	3	40184	64	32	0.5	2	0.1	0.09375	0.296875	0.1875	0.9047619047619048	1.0	1.10526315667313	0.8095238095238095	0.8	0.988235292896886	0.3112375444012387	0.0032051282051282	0.4219805768136896	0.7302967394453056	0.1309152491583042	0.0944821914919251	1.0	0.046875	0.09375	1.0078100318305616	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	2.5496889169982895	0.0	-0.6374222292495724	-0.12505451617416063	11.552944450862691	0.13771832022271296	-0.38640562780834037	-0.21033620030355527	0.3967592703304354	0.6431868776574539	2.7644814592459834	3.5520077579759866	-2.5496889169982895	7.0	7.0	151.0
intermediate	1	20185	64	64	1.0	2	0.05	0.046875	0.296875	0.09375	0.9047619047619048	1.0	1.10526315667313	0.8148148148148148	1.0	1.227272725766529	0.2868696058748382	9.712509712509713e-05	0.2582274367175179	0.9682458468798096	0.0740704082028381	0.088017993447225	2.0	0.046875	0.09375	0.9388585867559088	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	3.5496889016095423	0.0	-0.8874222254023856	-0.18029445946279846	10.703420566943477	-0.3019623395459472	-0.48444324167808983	-0.006373824251622898	0.3967592703304354	-0.07263440630478776	2.443866401564885	3.2047556785842763	-3.5496889016095423	8.0	8.0	241.0
intermediate	1	20235	64	64	1.0	2	0.1	0.09375	0.3125	0.15625	0.9	0.9090909090909092	1.0101010089786755	0.8	0.9090909090909092	1.1363636349431818	0.4174605624729006	9.712509712509713e-05	0.418843527454656	0.7302967394453056	0.174833672172548	0.1450914324696144	2.0	0.09375	0.1875	0.7738209690442318	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	2.5496889169982895	0.0	-0.6374222292495724	0.3074278400526371	8.670056395396356	0.4774163628653146	0.04095310089603969	-0.006373824251622898	0.3967592703304354	0.6431868776574539	2.3138818963078283	2.844988756583029	-2.5496889169982895	9.0	12.0	151.0
intermediate	3	40185	64	64	1.0	2	0.05	0.046875	0.28125	0.09375	0.9047619047619048	1.0	1.10526315667313	0.8076923076923077	1.0	1.2380952365623583	0.2757815939378391	0.0002913752913752	0.2525023697250654	0.9682458468798096	0.0696152159300105	0.0834533682919491	2.0	0.046875	0.09375	0.8901692522856527	0.9999999996393262	0.41503749903839454	0.0	-0.7037593745431943	3.5496889016095423	0.0	-0.8874222254023856	-0.21930156180831883	10.103538251499172	-0.3364221400307037	-0.5290527695495171	-0.019121472754862694	0.3967592703304354	-0.07263440630478776	2.277289128446848	3.0105458285588433	-3.5496889016095423	10.0	9.0	241.0
