stage_bin	module_id	module_label	dentate_median_score	cerebellar_median_score	cerebellar_minus_dentate	absolute_branch_difference	stage_similarity_score	dentate_n_datasets	cerebellar_n_datasets	dentate_datasets	cerebellar_datasets
immature	immature_progenitor_state	Immature/progenitor	0.583025855	0.5894375	0.00641164499999991	0.00641164499999991	0.9935883550000001	4	1	GSE104323,GSE214309,GSE292261,GSE325391	GSE122357
immature	neuronal_differentiation_maturation	Neuronal maturation	0.449890635	0.63743746	0.18754682500000003	0.18754682500000003	0.8124531749999999	4	1	GSE104323,GSE214309,GSE292261,GSE325391	GSE122357
immature	downstream_neurite_morphology	Neurite/morphology	0.694448725	0.6425625	-0.05188622499999995	0.05188622499999995	0.948113775	4	1	GSE104323,GSE214309,GSE292261,GSE325391	GSE122357
immature	downstream_synaptic_excitability	Synaptic/excitability	0.407103965	0.55525005	0.14814608500000004	0.14814608500000004	0.851853915	4	1	GSE104323,GSE214309,GSE292261,GSE325391	GSE122357
immature	shared_neurogenic_niche_state	Shared neurogenic niche	0.6300244425	0.50706255	-0.1229618925	0.1229618925	0.8770381075	4	1	GSE104323,GSE214309,GSE292261,GSE325391	GSE122357
immature	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	0.47831770500000004	0.600875	0.12255729500000001	0.12255729500000001	0.877442705	4	1	GSE104323,GSE214309,GSE292261,GSE325391	GSE122357
immature	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	0.64284895	0.509375	-0.13347394999999995	0.13347394999999995	0.86652605	4	1	GSE104323,GSE214309,GSE292261,GSE325391	GSE122357
immature	tgf_smad_pai1_response	TGF-beta/SMAD	0.5421881749999999	0.42624998	-0.11593819499999997	0.11593819499999997	0.884061805	4	1	GSE104323,GSE214309,GSE292261,GSE325391	GSE122357
immature	bdnf_erk_response	BDNF/ERK	0.43547135000000003	0.5295625	0.09409115000000001	0.09409115000000001	0.90590885	4	1	GSE104323,GSE214309,GSE292261,GSE325391	GSE122357
immature	secreted_stop_candidate_axis	Secreted stop candidates	0.471830715	0.550875	0.07904428499999999	0.07904428499999999	0.9209557150000001	4	1	GSE104323,GSE214309,GSE292261,GSE325391	GSE122357
mature	immature_progenitor_state	Immature/progenitor	0.29657209250000005	0.4530625	0.15649040749999993	0.15649040749999993	0.8435095925	4	1	GSE104323,GSE214309,GSE292261,GSE325391	GSE122357
mature	neuronal_differentiation_maturation	Neuronal maturation	0.61087624	0.44846874999999997	-0.16240749	0.16240749	0.83759251	4	1	GSE104323,GSE214309,GSE292261,GSE325391	GSE122357
mature	downstream_neurite_morphology	Neurite/morphology	0.482291675	0.44365625	-0.038635425	0.038635425	0.9613645749999999	4	1	GSE104323,GSE214309,GSE292261,GSE325391	GSE122357
mature	downstream_synaptic_excitability	Synaptic/excitability	0.5947341925	0.52209375	-0.07264044250000001	0.07264044250000001	0.9273595575	4	1	GSE104323,GSE214309,GSE292261,GSE325391	GSE122357
mature	shared_neurogenic_niche_state	Shared neurogenic niche	0.39864958500000003	0.45875	0.06010041499999996	0.06010041499999996	0.939899585	4	1	GSE104323,GSE214309,GSE292261,GSE325391	GSE122357
mature	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	0.40988612999999996	0.532875	0.12298887000000003	0.12298887000000003	0.87701113	4	1	GSE104323,GSE214309,GSE292261,GSE325391	GSE122357
mature	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	0.4439704525	0.45484375	0.01087329749999999	0.01087329749999999	0.9891267025	4	1	GSE104323,GSE214309,GSE292261,GSE325391	GSE122357
mature	tgf_smad_pai1_response	TGF-beta/SMAD	0.5187407125	0.5395000000000001	0.020759287500000112	0.020759287500000112	0.9792407124999999	4	1	GSE104323,GSE214309,GSE292261,GSE325391	GSE122357
mature	bdnf_erk_response	BDNF/ERK	0.5914375000000001	0.482437475	-0.10900002500000006	0.10900002500000006	0.8909999749999999	4	1	GSE104323,GSE214309,GSE292261,GSE325391	GSE122357
mature	secreted_stop_candidate_axis	Secreted stop candidates	0.5278307375	0.515562485	-0.012268252499999965	0.012268252499999965	0.9877317475	4	1	GSE104323,GSE214309,GSE292261,GSE325391	GSE122357
