dataset	source_scope	axis_type	axis_label	candidate_call	broad_class	branch	stage_bin	stage_evidence_tier	strict_stage_call	stage_call_reason	n_cells	median_pseudotime	mean_pseudotime	median_immature_progenitor_state	median_neuronal_differentiation_maturation	median_downstream_neurite_morphology	median_downstream_synaptic_excitability	median_shared_neurogenic_niche_state	median_cerebellar_fate_rhombic_lip_shh	median_dentate_fate_wnt_prox1	median_tgf_smad_pai1_response	median_bdnf_erk_response	median_secreted_stop_candidate_axis
GSE104323	full_transcriptome_raw_matrix	adult_dentate_lineage_state	Immature-GC	candidate_dentate_granule	dentate_candidate	dentate	immature	strict_explicit_label	True	dentate neuroblast/immature-GC label	1000	0.29817718	0.30501157	0.67956245	0.4063125	0.9175625	0.4035625	0.58556247	0.3094375	0.61812496	0.49787498	0.38674998	0.42684376
GSE104323	full_transcriptome_raw_matrix	adult_dentate_lineage_state	Neuroblast	candidate_dentate_granule	dentate_candidate	dentate	immature	strict_explicit_label	True	dentate neuroblast/immature-GC label	1000	0.2870109	0.27617013	0.8283125	0.308375	0.545625	0.2664375	0.7068125	0.6870625	0.72931254	0.6240625	0.27693748	0.3875625
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	immature_1hr	candidate_dentate_granule	dentate_candidate	dentate	immature	strict_explicit_label	True	dentate immature activity-state label	17	9.781946e-07	9.781946e-07	0.38802084	0.5182292	0.7109375	0.6744792	0.7005208	0.7760417	0.703125	0.390625	0.45052084	0.5520833
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	immature_4hr	candidate_dentate_granule	dentate_candidate	dentate	immature	strict_explicit_label	True	dentate immature activity-state label	29	9.781946e-07	9.781946e-07	0.6848958	0.43489584	0.7213542	0.5364583	0.6145833	0.48697916	0.5755208	0.5338542	0.3515625	0.5208333
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	immatureactive_1hr	candidate_dentate_granule	dentate_candidate	dentate	immature	strict_explicit_label	True	dentate immature activity-state label	13	0.5823821	0.58691514	0.515625	0.6588542	0.7005208	0.7083333	0.2578125	0.43229166	0.6484375	0.7213542	0.7526042	0.703125
GSE214309	full_transcriptome_ensembl_raw_matrix	adult_dentate_immature_mature_activity_state	immatureactive_4hr	candidate_dentate_granule	dentate_candidate	dentate	immature	strict_explicit_label	True	dentate immature activity-state label	18	0.5833998	0.5746772	0.47786456	0.47395834	0.55078125	0.3984375	0.35546875	0.35546875	0.390625	0.5299479	0.58723956	0.41666666
GSE268609	selected_feature_bridge_2169_genes	human_hippocampus_DG_projected_intrinsic_state	immature_neurogenic_candidate	immature_neurogenic_candidate	dentate_immature_candidate	dentate	immature	supporting_projected_label	False	human projected immature neurogenic candidate	1989	5.6565057e-07	5.6565057e-07	0.3931875	0.69825	0.723	0.730125	0.522125	0.3770625	0.769625	0.64275	0.666	0.638125
GSE292261	full_transcriptome_raw_matrix	postnatal_dentate_age	DG_P10	candidate_dentate_granule	dentate_candidate	dentate	immature	strict_developmental_age	True	dentate early postnatal assembly window	53	0.529849	0.5046279	0.66930693	0.7049505	0.6831683	0.76435643	0.6138614	0.32277226	0.7762376	0.45544556	0.7168317	0.5960396
GSE292261	full_transcriptome_raw_matrix	postnatal_dentate_age	DG_P5	candidate_dentate_granule	dentate_candidate	dentate	immature	strict_developmental_age	True	dentate early postnatal assembly window	49	5.769192e-07	5.769192e-07	0.74653465	0.32475248	0.8534653	0.44158417	0.76039606	0.65940595	0.7069307	0.5524753	0.4910891	0.7148515
GSE292261	full_transcriptome_raw_matrix	postnatal_dentate_age	DG_P7	candidate_dentate_granule	dentate_candidate	dentate	immature	strict_developmental_age	True	dentate early postnatal assembly window	38	0.32390177	0.34028	0.5356436	0.52574253	0.5603961	0.47920793	0.5970297	0.32277226	0.61881185	0.5683168	0.5366336	0.6019802
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	DiffN-cl13	adult_dg_background_warning	dentate_candidate	dentate	immature	strict_source_label	True	human differentiating-neuron source label	9	0.51670474	0.48725128	0.2763125	0.263125	0.65	0.114125	0.9595	0.497	0.307	0.2094375	0.353375	0.1051875
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	DiffN-cl13	adult_human_dg_differentiating_anchor	dentate_candidate	dentate	immature	strict_source_label	True	human differentiating-neuron source label	605	5.396531e-07	5.396531e-07	0.2763125	0.7745	0.62125	0.63125	0.60225	0.497	0.561375	0.529	0.55625	0.469625
GSE325391	selected_feature_bridge_2169_genes	adult_human_dentate_source_sling_pseudotime	DiffN-cl18	adult_human_dg_differentiating_anchor	dentate_candidate	dentate	immature	strict_source_label	True	human differentiating-neuron source label	399	5.396531e-07	5.396531e-07	0.2763125	0.438875	0.309625	0.332125	0.519375	0.497	0.373375	0.6835	0.47525	0.388875
