branch	comparison	metric	early_median	late_median	late_minus_early
dentate	early_to_postmitotic	regional_fate_polarity	-0.17708333333333331	0.47916666666666663	0.65625
dentate	early_to_postmitotic	shared_special_gene_rank	0.6692708333333334	0.7265625	0.05729166666666663
dentate	early_to_postmitotic	construction_rank	0.44791666666666674	0.75	0.30208333333333326
dentate	early_to_postmitotic	shared_neurogenic_niche_state	0.8125	0.3020833333333333	-0.5104166666666667
dentate	early_to_postmitotic	configuration_timing_score	0.1796875000000001	1.09375	0.9140624999999999
dentate	early_to_postmitotic	postmitotic_special_gene_rank	0.4375	0.8125	0.375
dentate	early_to_postmitotic	regulatory_chromatin_gene_rank	0.9010416666666667	0.640625	-0.26041666666666674
dentate	early_to_postmitotic	NFIA	0.8854166666666667	0.6770833333333333	-0.20833333333333348
dentate	early_to_postmitotic	NEUROD1	0.4583333333333333	0.7083333333333334	0.25000000000000006
dentate	early_to_postmitotic	RBFOX3	0.4166666666666667	0.9166666666666666	0.49999999999999994
dentate	early_to_postmitotic	HMGN2	0.9166666666666667	0.6041666666666666	-0.3125000000000001
dentate	early_to_mature	regional_fate_polarity	-0.17708333333333331	0.47916666666666663	0.65625
dentate	early_to_mature	shared_special_gene_rank	0.6692708333333334	0.4765625	-0.19270833333333337
dentate	early_to_mature	construction_rank	0.44791666666666674	0.7604166666666667	0.3125
dentate	early_to_mature	shared_neurogenic_niche_state	0.8125	0.09375	-0.71875
dentate	early_to_mature	configuration_timing_score	0.1796875000000001	1.1432291666666667	0.9635416666666666
dentate	early_to_mature	postmitotic_special_gene_rank	0.4375	0.5625	0.125
dentate	early_to_mature	regulatory_chromatin_gene_rank	0.9010416666666667	0.390625	-0.5104166666666667
dentate	early_to_mature	NFIA	0.8854166666666667	0.38541666666666663	-0.5000000000000001
dentate	early_to_mature	NEUROD1	0.4583333333333333	0.4583333333333333	0.0
dentate	early_to_mature	RBFOX3	0.4166666666666667	0.6666666666666666	0.24999999999999994
dentate	early_to_mature	HMGN2	0.9166666666666667	0.3958333333333333	-0.5208333333333335
cerebellar	P0_or_precursor_to_maturing	regional_fate_polarity	0.375	-0.0625	-0.4375
cerebellar	P0_or_precursor_to_maturing	shared_special_gene_rank	0.8984375	0.7421875	-0.15625
cerebellar	P0_or_precursor_to_maturing	construction_rank	0.71875	0.875	0.15625
cerebellar	P0_or_precursor_to_maturing	shared_neurogenic_niche_state	0.3125	0.75	0.4375
cerebellar	P0_or_precursor_to_maturing	configuration_timing_score	1.265625	0.8671875	-0.3984375
cerebellar	P0_or_precursor_to_maturing	postmitotic_special_gene_rank	0.90625	0.96875	0.0625
cerebellar	P0_or_precursor_to_maturing	regulatory_chromatin_gene_rank	1.0	0.515625	-0.484375
cerebellar	P0_or_precursor_to_maturing	NFIA	1.0	0.8125	-0.1875
cerebellar	P0_or_precursor_to_maturing	NEUROD1	0.875	1.0	0.125
cerebellar	P0_or_precursor_to_maturing	RBFOX3	0.9375	0.9375	0.0
cerebellar	P0_or_precursor_to_maturing	HMGN2	1.0	0.21875	-0.78125
