dataset	sample	branch	source_group	human_gene	mouse_gene	source_gene_symbol	n_cells	median_log1p_expression	mean_log1p_expression	detection_fraction	within_sample_gene_rank	focus_state	state_order	state_bin	state_bin_label	state_label
GSE104323	10X_all_cells	dentate	RGL	NFIA	Nfia	Nfia	199	0.6931471805599453	0.8866157268318978	0.7738693467336684	0.5416666666666666	True	1.0	progenitor	early/progenitor	RGL
GSE104323	10X_all_cells	dentate	Astro-adult	NFIA	Nfia	Nfia	1232	0.6931471805599453	0.7739518758414714	0.7297077922077922	0.5416666666666666	False		other	other	Astro-adult
GSE104323	10X_all_cells	dentate	Astro-juv	NFIA	Nfia	Nfia	821	0.6931471805599453	0.7724543158812585	0.7295980511571255	0.5416666666666666	False		other	other	Astro-juv
GSE104323	10X_all_cells	dentate	Immature-Astro	NFIA	Nfia	Nfia	651	1.3862943611198906	1.3105931833957447	0.9201228878648233	0.8125	False		other	other	Immature-Astro
GSE104323	10X_all_cells	dentate	RGL_young	NFIA	Nfia	Nfia	686	1.3862943611198906	1.2592262658420392	0.892128279883382	0.8125	True	0.0	progenitor	early/progenitor	RGL_young
GSE104323	10X_all_cells	dentate	Ependymal	NFIA	Nfia	Nfia	182	1.3862943611198906	1.3139191984157088	0.8516483516483516	0.8125	False		other	other	Ependymal
GSE104323	10X_all_cells	dentate	PVM	NFIA	Nfia	Nfia	79	0.0	0.1821036931008032	0.24050632911392406	0.22916666666666666	False		other	other	PVM
GSE104323	10X_all_cells	dentate	MiCajal-Retziusoglia	NFIA	Nfia	Nfia	428	0.0	0.2752279596609961	0.29439252336448596	0.22916666666666666	False		other	other	MiCajal-Retziusoglia
GSE104323	10X_all_cells	dentate	Endothelial	NFIA	Nfia	Nfia	543	0.0	0.4577111581097704	0.48066298342541436	0.22916666666666666	False		other	other	Endothelial
GSE104323	10X_all_cells	dentate	VLMC	NFIA	Nfia	Nfia	160	0.0	0.46054372360821666	0.46875	0.22916666666666666	False		other	other	VLMC
GSE104323	10X_all_cells	dentate	MOL	NFIA	Nfia	Nfia	704	0.0	0.4522265980998144	0.48579545454545453	0.22916666666666666	False		other	other	MOL
GSE104323	10X_all_cells	dentate	NFOL	NFIA	Nfia	Nfia	232	0.0	0.2982580440091731	0.34051724137931033	0.22916666666666666	False		other	other	NFOL
GSE104323	10X_all_cells	dentate	OPC	NFIA	Nfia	Nfia	794	0.6931471805599453	0.7172371296797521	0.6775818639798489	0.5416666666666666	False		other	other	OPC
GSE104323	10X_all_cells	dentate	nIPC-perin	NFIA	Nfia	Nfia	468	1.6094379124341003	1.587243986072687	0.9594017094017094	0.9583333333333334	True	3.0	progenitor	early/progenitor	nIPC-perin
GSE104323	10X_all_cells	dentate	nIPC	NFIA	Nfia	Nfia	353	1.6094379124341003	1.681050846279108	0.9121813031161473	0.9583333333333334	True	2.0	progenitor	early/progenitor	nIPC
