branch	dataset	sample	source_group	state_label	state_order	state_bin	n_cells	anterior_telencephalic_pattern	deep_neural_progenitor	downstream_neurite_synapse_construction	hindbrain_rhombic_lip_pattern	medial_pallium_dentate_lineage	shared_postmitotic_granule_maturation	branch_origin_rank	opposed_origin_rank	regional_origin_polarity	shared_convergence_rank	origin_plus_convergence_index
cerebellar	GSE122357	P0	Granule precursor	P0 GP	0.0	early_precursor	2553	0.9375	0.75	0.75	1.0	0.625	0.875	1.0	0.78125	0.21875	0.8125	1.03125
cerebellar	GSE122357	P0	Granule cells	P0 GC	0.25	early_precursor	2814	0.75	0.5	1.0	0.875	1.0	1.0	0.875	0.875	0.0	1.0	1.0
cerebellar	GSE122357	P8a	Granule precursor	P8a GP	8.1	early_precursor	3254	0.875	0.6875	0.75	1.0	0.625	0.875	1.0	0.75	0.25	0.8125	1.0625
cerebellar	GSE122357	P8b	Granule precursor	P8b GP	8.2	early_precursor	4309	0.875	0.6875	0.75	1.0	0.625	0.875	1.0	0.75	0.25	0.8125	1.0625
cerebellar	GSE122357	P8a	Granule cells	P8a GC	8.35	maturing_granule	1367	0.75	0.6875	0.875	0.875	1.0	1.0	0.875	0.875	0.0	0.9375	0.9375
cerebellar	GSE122357	P8b	Granule cells	P8b GC	8.45	maturing_granule	1883	0.75	0.5	0.875	0.875	0.875	1.0	0.875	0.8125	0.0625	0.9375	1.0
dentate	GSE104323	10X_all_cells	RGL_young	RGL_young	0.0	early_progenitor	686	0.8333333333333334	0.9583333333333334	0.3125	0.875	0.625	0.5416666666666666	0.7291666666666667	0.875	-0.14583333333333326	0.4270833333333333	0.28125000000000006
dentate	GSE104323	10X_all_cells	RGL	RGL	1.0	early_progenitor	199	0.6666666666666666	0.7916666666666666	0.25	0.3958333333333333	0.5833333333333334	0.375	0.625	0.3958333333333333	0.22916666666666669	0.3125	0.5416666666666667
dentate	GSE104323	10X_all_cells	nIPC	nIPC	2.0	intermediate_progenitor	353	1.0	0.8333333333333334	0.625	0.875	0.9166666666666666	0.75	0.9583333333333333	0.875	0.08333333333333326	0.6875	0.7708333333333333
dentate	GSE104323	10X_all_cells	nIPC-perin	nIPC-perin	3.0	intermediate_progenitor	468	0.9583333333333334	1.0	0.5833333333333334	0.875	0.75	0.6666666666666666	0.8541666666666667	0.875	-0.02083333333333326	0.625	0.6041666666666667
dentate	GSE104323	10X_all_cells	Neuroblast	Neuroblast	4.0	postmitotic_immature	1381	0.9166666666666666	0.4375	0.6666666666666666	0.3958333333333333	0.9583333333333334	0.8333333333333334	0.9375	0.3958333333333333	0.5416666666666667	0.75	1.2916666666666667
dentate	GSE104323	10X_all_cells	Immature-GC	Immature-GC	5.0	postmitotic_immature	2419	0.7916666666666666	0.16666666666666666	0.7916666666666666	0.3958333333333333	1.0	0.875	0.8958333333333333	0.3958333333333333	0.49999999999999994	0.8333333333333333	1.3333333333333333
dentate	GSE104323	10X_all_cells	GC-juv	GC-juv	6.0	mature_granule	3420	0.4583333333333333	0.16666666666666666	0.75	0.3958333333333333	0.8333333333333334	0.625	0.6458333333333334	0.3958333333333333	0.25000000000000006	0.6875	0.9375
dentate	GSE104323	10X_all_cells	GC-adult	GC-adult	7.0	mature_granule	2613	0.3125	0.16666666666666666	0.7083333333333334	0.3958333333333333	0.6666666666666666	0.2916666666666667	0.4895833333333333	0.3958333333333333	0.09375	0.5	0.59375
