canonical_gene	gene	human_symbol	mouse_symbol	db_class_key	branch_fdr10_support_full_matrix_cerebellar	branch_fdr10_support_full_matrix_dentate	branch_fdr10_support_selected_cerebellar	branch_fdr10_support_selected_dentate	branch_nominal_support_full_matrix_cerebellar	branch_nominal_support_full_matrix_dentate	branch_nominal_support_selected_cerebellar	branch_nominal_support_selected_dentate	branch_replication_support_full_matrix_cerebellar	branch_replication_support_full_matrix_dentate	branch_replication_support_selected_cerebellar	branch_replication_support_selected_dentate	dataset_best_nominal_p_greater_full_matrix_cerebellar	dataset_best_nominal_p_greater_full_matrix_dentate	dataset_best_nominal_p_greater_selected_cerebellar	dataset_best_nominal_p_greater_selected_dentate	dataset_best_nominal_q_bh_greater_full_matrix_cerebellar	dataset_best_nominal_q_bh_greater_full_matrix_dentate	dataset_best_nominal_q_bh_greater_selected_cerebellar	dataset_best_nominal_q_bh_greater_selected_dentate	dataset_best_q_bh_greater_full_matrix_cerebellar	dataset_best_q_bh_greater_full_matrix_dentate	dataset_best_q_bh_greater_selected_cerebellar	dataset_best_q_bh_greater_selected_dentate	dataset_sign_p_greater_full_matrix_cerebellar	dataset_sign_p_greater_full_matrix_dentate	dataset_sign_p_greater_selected_cerebellar	dataset_sign_p_greater_selected_dentate	dataset_sign_q_bh_greater_full_matrix_cerebellar	dataset_sign_q_bh_greater_full_matrix_dentate	dataset_sign_q_bh_greater_selected_cerebellar	dataset_sign_q_bh_greater_selected_dentate	dataset_t_p_greater_full_matrix_cerebellar	dataset_t_p_greater_full_matrix_dentate	dataset_t_p_greater_selected_cerebellar	dataset_t_p_greater_selected_dentate	dataset_t_q_bh_greater_full_matrix_cerebellar	dataset_t_q_bh_greater_full_matrix_dentate	dataset_t_q_bh_greater_selected_cerebellar	dataset_t_q_bh_greater_selected_dentate	dataset_wilcoxon_p_greater_full_matrix_cerebellar	dataset_wilcoxon_p_greater_full_matrix_dentate	dataset_wilcoxon_p_greater_selected_cerebellar	dataset_wilcoxon_p_greater_selected_dentate	dataset_wilcoxon_q_bh_greater_full_matrix_cerebellar	dataset_wilcoxon_q_bh_greater_full_matrix_dentate	dataset_wilcoxon_q_bh_greater_selected_cerebellar	dataset_wilcoxon_q_bh_greater_selected_dentate	mean_dataset_rank_delta_full_matrix_cerebellar	mean_dataset_rank_delta_full_matrix_dentate	mean_dataset_rank_delta_selected_cerebellar	mean_dataset_rank_delta_selected_dentate	median_dataset_candidate_detection_full_matrix_cerebellar	median_dataset_candidate_detection_full_matrix_dentate	median_dataset_candidate_detection_selected_cerebellar	median_dataset_candidate_detection_selected_dentate	median_dataset_detection_delta_full_matrix_cerebellar	median_dataset_detection_delta_full_matrix_dentate	median_dataset_detection_delta_selected_cerebellar	median_dataset_detection_delta_selected_dentate	median_dataset_mean_log1p_expression_delta_full_matrix_cerebellar	median_dataset_mean_log1p_expression_delta_full_matrix_dentate	median_dataset_mean_log1p_expression_delta_selected_cerebellar	median_dataset_mean_log1p_expression_delta_selected_dentate	median_dataset_rank_delta_full_matrix_cerebellar	median_dataset_rank_delta_full_matrix_dentate	median_dataset_rank_delta_selected_cerebellar	median_dataset_rank_delta_selected_dentate	min_dataset_rank_delta_full_matrix_cerebellar	min_dataset_rank_delta_full_matrix_dentate	min_dataset_rank_delta_selected_cerebellar	min_dataset_rank_delta_selected_dentate	n_datasets_full_matrix_cerebellar	n_datasets_full_matrix_dentate	n_datasets_selected_cerebellar	n_datasets_selected_dentate	n_units_full_matrix_cerebellar	n_units_full_matrix_dentate	n_units_selected_cerebellar	n_units_selected_dentate	positive_dataset_fraction_full_matrix_cerebellar	positive_dataset_fraction_full_matrix_dentate	positive_dataset_fraction_selected_cerebellar	positive_dataset_fraction_selected_dentate	formal_n_available_branches	formal_n_replication_branches	formal_n_nominal_branches	formal_n_fdr10_branches	formal_sum_positive_median_rank_delta	formal_min_candidate_detection	formal_replication_shared_selected	formal_replication_shared_full_matrix	formal_replication_shared_any_screen	formal_replication_shared_both_screens	formal_nominal_shared_selected	formal_nominal_shared_full_matrix	formal_nominal_shared_any_screen	formal_nominal_shared_both_screens	formal_fdr10_shared_selected	formal_fdr10_shared_full_matrix	formal_fdr10_shared_any_screen	formal_fdr10_shared_both_screens	formal_fisher_p_selected_shared	formal_fisher_p_full_matrix_shared	formal_fisher_p_all_available_branches	formal_fisher_q_bh_selected_shared	formal_fisher_q_bh_full_matrix_shared	formal_fisher_q_bh_all_available_branches	formal_rank_tier	formal_rank_priority_score	ortholog_meta_tier	ortholog_symbol_class	n_supported_screen_branches	n_strict_screen_branches	n_available_screen_branches	consensus_candidate_dataset_robust_all_available	consensus_candidate_n_robust_screen_branches	consensus_tier	combined_priority_score	selected_mechanism_class	selected_manuscript_use	genome_mechanism_class	genome_manuscript_use
CELF2	CELF2	CELF2	Celf2	51617377	False	False	False	True	True	True	True	True	True	True	True	True	0.125	0.0625	0.125	0.015625	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.061034181636726546	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.061034181636726546	0.125	0.0625	0.125	0.015625	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.10261115771812081									0.125	0.0625	0.125	0.015625	0.5241573033707865	0.5446125084976207	0.5287037037037037	0.0980494966442953	0.5	0.5	0.5	0.5	0.981831664812755	0.9880486441151802	0.981831664812755	0.9833910705754798	0.1132430777540423	0.10935348344520976	0.1132430777540423	0.1465095601529445	0.5613235683568434	0.7682545828370175	0.5613235683568434	0.9220344617985956	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	1	2.0	0.981831664812755	True	True	True	True	True	True	True	True	False	False	False	False	0.014137352783280299	0.04571898643687202	0.004591875759301728	0.07647710723416141	0.3308385387943499	0.24658216108141087	formal_nominal_shared_both_screens	17.981831664812756	strict_shared_both_screens	same_symbol	4	4	4			shared_positive_both_screens	4.488008952787434	rna_processing_neuronal_state	supporting_context_not_core_executor	rna_processing_neuronal_state	supporting_context_not_core_executor
FTH1	FTH1	FTH1	Fth1	51619450	False	False	False	True	True	True	True	True	True	True	True	True	0.018874775675311855	0.0625	0.018874775675311855	0.0020523579900266612	0.2418966820946169	0.41942132674430754	0.3123397435897436	0.02102861040043024	0.19545135581807907	0.41942132674430754	0.25734411348717606	0.016966875739539783	0.125	0.0625	0.125	0.109375	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.19583428636779507	0.018874775675311855		0.018874775675311855	0.0020523579900266612	0.19545135581807907		0.25734411348717606	0.016966875739539783	0.125	0.0625	0.125	0.03125	0.5241573033707865	0.5446125084976207	0.5287037037037037	0.11480844793713163	0.4166666666666667	0.5	0.4166666666666667	0.4166666666666667	0.9823651452282156	0.9982711278348417	0.9823651452282156	0.9742985250951157	0.021728397132625747	0.04050030193962325	0.021728397132625747	0.0302450719129903	0.0569363386526875	0.7535158160056106	0.0569363386526875	0.17682821133110033	0.5	0.5	0.5	0.5	0.25	0.5	0.25	0.0	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	0.8333333333333334	4	4	4	1	2.0	0.9742985250951157	True	True	True	True	True	True	True	True	False	False	False	False	0.0004322632493225583	0.009133642668160386	4.4115340546863936e-05	0.06371243955499048	0.3308385387943499	0.06941107681643571	formal_nominal_shared_both_screens	17.974298525095115	strict_shared_both_screens	same_symbol	4	4	4			shared_positive_both_screens	4.307808379591799	unclassified_shared_neuronal_or_context	exploratory_context	unclassified_shared_neuronal_or_context	exploratory_context
GPM6A	GPM6A	GPM6A	Gpm6a	51618252	False	False	False	True	True	True	True	True	True	True	True	True	0.125	0.0625	0.125	0.015625	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.061034181636726546	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.061034181636726546	0.125	0.0625	0.125	0.015625	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.10261115771812081									0.125	0.0625	0.125	0.015625	0.5241573033707865	0.5446125084976207	0.5287037037037037	0.0980494966442953	0.5	0.5	0.5	0.5	0.950315164998146	0.9305419245060185	0.950315164998146	0.9496371803292775	0.1677214175676453	0.10661404177413511	0.1677214175676453	0.10661404177413511	0.5032220518452715	0.7531536981643379	0.5032220518452715	0.859788026033226	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	1	2.0	0.9305419245060185	True	True	True	True	True	True	True	True	False	False	False	False	0.014137352783280299	0.04571898643687202	0.004591875759301728	0.07647710723416141	0.3308385387943499	0.24658216108141087	formal_nominal_shared_both_screens	17.93054192450602	strict_shared_both_screens	same_symbol	4	4	4	True	4.0	consensus_figure_candidate	5.4774639744097335	cytoskeleton_morphogenesis	mechanism_figure_candidate	cytoskeleton_morphogenesis	mechanism_figure_candidate
PPP3CA	PPP3CA	PPP3CA	Ppp3ca	51620904	False	False	False	True	True	True	True	True	True	True	True	True	0.125	0.0625	0.125	0.015625	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.061034181636726546	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.061034181636726546	0.125	0.0625	0.125	0.015625	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.10261115771812081									0.125	0.0625	0.125	0.015625	0.5241573033707865	0.5446125084976207	0.5287037037037037	0.0980494966442953	0.5	0.5	0.5	0.5	0.8946978123841305	0.9940424144009103	0.8946978123841305	0.9889229071949797	0.15577133921616695	0.1105045114459237	0.15577133921616695	0.11995673420786487	0.3928737431933022	0.8835536394757644	0.3928737431933022	0.8835536362206314	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	1	2.0	0.8946978123841305	True	True	True	True	True	True	True	True	False	False	False	False	0.014137352783280299	0.04571898643687202	0.004591875759301728	0.07647710723416141	0.3308385387943499	0.24658216108141087	formal_nominal_shared_both_screens	17.89469781238413	strict_shared_both_screens	same_symbol	4	4	4	False	3.0	consensus_figure_candidate	5.455182618321777	synaptic_wiring	mechanism_figure_candidate	synaptic_wiring	mechanism_figure_candidate
NFIB	NFIB	NFIB	Nfib	51634293	False	False	False	True	True	True	True	True	True	True	True	True	0.125	0.0625	0.125	0.015625	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.061034181636726546	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.061034181636726546	0.125	0.0625	0.125	0.015625	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.10261115771812081									0.125	0.0625	0.125	0.015625	0.5241573033707865	0.5446125084976207	0.5287037037037037	0.0980494966442953	0.5	0.5	0.5	0.5	0.9549858782494053	0.9337968938668442	0.9549858782494053	0.8869767432659372	0.26748126721571297	0.17186073125885545	0.26748126721571297	0.17186073125885545	0.6984115903040289	0.9415090480415398	0.6984115903040289	0.9415090451741858	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	1	2.0	0.8869767432659372	True	True	True	True	True	True	True	True	False	False	False	False	0.014137352783280299	0.04571898643687202	0.004591875759301728	0.07647710723416141	0.3308385387943499	0.24658216108141087	formal_nominal_shared_both_screens	17.886976743265937	strict_shared_both_screens	same_symbol	4	4	4	True	4.0	consensus_figure_candidate	5.456430873042622	regulatory_morphogenesis_candidate	mechanism_figure_candidate	regulatory_morphogenesis_candidate	mechanism_figure_candidate
DDX5	DDX5	DDX5	Ddx5	51632544	False	False	False	True	True	True	True	True	True	True	True	True	0.125	0.19550110947788527	0.125	0.05096973941492916	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.09051522689202937	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.09051522689202937	0.125	0.3125	0.125	0.109375	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.19583428636779507		0.19550110947788527		0.05096973941492916		0.42099348220497224		0.10239340780683606	0.125	0.3125	0.125	0.109375	0.5241573033707865	0.5446125084976207	0.5287037037037037	0.18509615384615385	0.5	0.25	0.5	0.3333333333333333	0.8841649058006109	0.9657534246575342	0.8841649058006109	0.900361377469494	0.1203497551494986	0.0454425818738187	0.1203497551494986	0.07835323231708445	0.32284089772957303	0.7234644194257216	0.32284089772957303	0.7234644194257216	0.5	0.5	0.5	0.5	0.5	-0.5	0.5	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.8333333333333334	4	4	4	1	2.0	0.8841649058006109	True	True	True	True	True	True	True	True	False	False	False	False	0.03858386788945828	0.1151411302796435	0.024994360765971526	0.10066928850944336	0.3713336945085174	0.25453804031831456	formal_nominal_shared_both_screens	17.88416490580061	supported_shared_both_screens	same_symbol	4	3	4			shared_positive_both_screens	3.4147998024256108	rna_processing_neuronal_state	supporting_context_not_core_executor	rna_processing_neuronal_state	supporting_context_not_core_executor
DYNLL1	DYNLL1	DYNLL1	Dynll1	51618787	False	False	False	True	True	True	True	True	True	True	True	True	0.018874775675311855	0.19550110947788527	0.018874775675311855	0.05096973941492916	0.2418966820946169	0.41942132674430754	0.3123397435897436	0.09051522689202937	0.19545135581807907	0.41942132674430754	0.25734411348717606	0.09051522689202937	0.125	0.3125	0.125	0.109375	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.19583428636779507	0.018874775675311855	0.19550110947788527	0.018874775675311855	0.05096973941492916	0.19545135581807907	0.42099348220497224	0.25734411348717606	0.10239340780683606	0.125	0.3125	0.125	0.109375	0.5241573033707865	0.5446125084976207	0.5287037037037037	0.18509615384615385	0.4166666666666667	0.25	0.4166666666666667	0.3333333333333333	0.895427705075008	0.9387477047029876	0.895427705075008	0.8450050779524916	0.0272306998739502	0.0772099104304575	0.0272306998739502	0.0825230133067909	0.3046710391370339	0.7220313674073142	0.3046710391370339	0.4938327077342944	0.5	0.5	0.5	0.5	0.25	-0.5	0.25	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.8333333333333334	4	4	4	1	2.0	0.8450050779524916	True	True	True	True	True	True	True	True	False	False	False	False	0.007644823769646936	0.024362077113039227	0.0014967119119608057	0.07647710723416141	0.3308385387943499	0.17840352441508572	formal_nominal_shared_both_screens	17.845005077952493	supported_shared_both_screens	same_symbol	4	3	4			selected_figure_genome_followup	4.299957594648984	cytoskeleton_morphogenesis	mechanism_figure_candidate	cytoskeleton_morphogenesis	mechanism_followup_candidate
YWHAE	YWHAE	YWHAE	Ywhae	51615774	False	False	False	True	True	True	True	True	True	True	True	True	0.018874775675311855	0.19550110947788527	0.018874775675311855	0.05096973941492916	0.2418966820946169	0.41942132674430754	0.3123397435897436	0.09051522689202937	0.19545135581807907	0.41942132674430754	0.25734411348717606	0.09051522689202937	0.125	0.3125	0.125	0.109375	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.19583428636779507	0.018874775675311855	0.19550110947788527	0.018874775675311855	0.05096973941492916	0.19545135581807907	0.42099348220497224	0.25734411348717606	0.10239340780683606	0.125	0.3125	0.125	0.109375	0.5241573033707865	0.5446125084976207	0.5287037037037037	0.18509615384615385	0.4166666666666667	0.25	0.4166666666666667	0.3333333333333333	0.9395946377274178	0.920113360187059	0.9395946377274178	0.8331710936793146	0.057741225629617095	0.09089708499439135	0.057741225629617095	0.13355109447185765	0.4054551444826759	0.7162669000278362	0.4054551444826759	0.6038349391495675	0.5	0.5	0.5	0.5	0.25	-0.5	0.25	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.8333333333333334	4	4	4	1	2.0	0.8331710936793146	True	True	True	True	True	True	True	True	False	False	False	False	0.007644823769646936	0.024362077113039227	0.0014967119119608057	0.07647710723416141	0.3308385387943499	0.17840352441508572	formal_nominal_shared_both_screens	17.833171093679315	supported_shared_both_screens	same_symbol	4	3	4			shared_positive_both_screens	3.3411826948269976	unclassified_shared_neuronal_or_context	exploratory_context	unclassified_shared_neuronal_or_context	exploratory_context
PTMA	PTMA	PTMA	Ptma	51617178	False	False	False	True	True	True	True	True	True	True	True	True	0.018874775675311855	0.19550110947788527	0.018874775675311855	0.05096973941492916	0.2418966820946169	0.41942132674430754	0.3123397435897436	0.09051522689202937	0.19545135581807907	0.41942132674430754	0.25734411348717606	0.09051522689202937	0.125	0.3125	0.125	0.109375	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.19583428636779507	0.018874775675311855	0.19550110947788527	0.018874775675311855	0.05096973941492916	0.19545135581807907	0.42099348220497224	0.25734411348717606	0.10239340780683606	0.125	0.3125	0.125	0.109375	0.5241573033707865	0.5446125084976207	0.5287037037037037	0.18509615384615385	0.4166666666666667	0.25	0.4166666666666667	0.3333333333333333	0.9995611235237792	0.9629732346513303	0.9995611235237792	0.830579316840377	0.0125958451286464	0.06429364713530135	0.0125958451286464	0.06429364713530135	0.7317418638692783	0.7401309206197648	0.7317418638692783	0.5110116828396702	0.5	0.5	0.5	0.5	0.25	-0.5	0.25	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.8333333333333334	4	4	4	1	2.0	0.830579316840377	True	True	True	True	True	True	True	True	False	False	False	False	0.007644823769646936	0.024362077113039227	0.0014967119119608057	0.07647710723416141	0.3308385387943499	0.17840352441508572	formal_nominal_shared_both_screens	17.830579316840378	supported_shared_both_screens	same_symbol	4	3	4			shared_positive_both_screens	3.3235738988769983	unclassified_shared_neuronal_or_context	exploratory_context	unclassified_shared_neuronal_or_context	exploratory_context
NFIA	NFIA	NFIA	Nfia	51625494	False	False	False	True	True	True	True	True	True	True	True	True	0.125	0.0625	0.125	0.015625	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.061034181636726546	0.3498864209994952	0.41942132674430754	0.3123397435897436	0.061034181636726546	0.125	0.0625	0.125	0.015625	0.9460304822565969	0.6637414095135427	0.8891423357664233	0.10261115771812081									0.125	0.0625	0.125	0.015625	0.5241573033707865	0.5446125084976207	0.5287037037037037	0.0980494966442953	0.5	0.5	0.5	0.5	0.9161419673167923	0.8233612302396913	0.9161419673167923	0.8898867766284596	0.2385187786348456	0.11736530540990533	0.2385187786348456	0.13981375392616313	0.4188936015907956	0.43813154573548535	0.4188936015907956	0.6257276965964635	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	1.0	1.0	1.0	4	4	4	1	2.0	0.8233612302396913	True	True	True	True	True	True	True	True	False	False	False	False	0.014137352783280299	0.04571898643687202	0.004591875759301728	0.07647710723416141	0.3308385387943499	0.24658216108141087	formal_nominal_shared_both_screens	17.82336123023969	strict_shared_both_screens	same_symbol	4	4	4	True	4.0	consensus_figure_candidate	5.458070983658397	regulatory_morphogenesis_candidate	mechanism_figure_candidate	regulatory_morphogenesis_candidate	mechanism_figure_candidate
