sample_accession	panel	panel_gene_count	genes_found_in_h5	genes_found	genes_missing
GSM9558423	cerebellar_granule	12	12	ATOH1,BARHL1,BARHL2,CBLN1,CBLN3,GABRA6,GRIN2C,PAX6,ROR1,SLC17A7,ZIC1,ZIC2	
GSM9558423	purkinje	8	8	CALB1,CA8,PCP2,FOXP2,GRID2,ITPR1,PVALB,RORA	
GSM9558423	inhibitory_interneuron	6	6	GAD1,GAD2,SLC6A1,DLX1,DLX2,PAX2	
GSM9558423	astrocyte_bergmann	7	7	AQP4,GFAP,ALDH1L1,SLC1A2,SLC1A3,FABP7,SOX9	
GSM9558423	oligodendrocyte	5	5	MBP,PLP1,MOG,MOBP,CLDN11	
GSM9558423	opc	5	5	PDGFRA,CSPG4,VCAN,OLIG1,OLIG2	
GSM9558423	microglia	5	5	CX3CR1,P2RY12,AIF1,C1QA,TYROBP	
GSM9558423	vascular	5	5	CLDN5,PECAM1,VWF,KDR,FLT1	
GSM9558423	excitatory_neuron	6	6	SLC17A7,SLC17A6,CAMK2A,RBFOX3,SNAP25,SYT1	
GSM9558423	neuronal_synaptic	6	6	RBFOX3,SNAP25,SYT1,SYN1,MAP2,TUBB3	
GSM9558423	dentate_like_check	7	7	PROX1,MEX3A,C1QL3,ITPKA,GLIS3,EGR3,CALB2	
GSM9558423	morphogenesis	8	8	GAP43,STMN2,STMN3,DPYSL2,DPYSL3,NCAM1,L1CAM,CNTN2	
GSM9558427	cerebellar_granule	12	12	ATOH1,BARHL1,BARHL2,CBLN1,CBLN3,GABRA6,GRIN2C,PAX6,ROR1,SLC17A7,ZIC1,ZIC2	
GSM9558427	purkinje	8	8	CALB1,CA8,PCP2,FOXP2,GRID2,ITPR1,PVALB,RORA	
GSM9558427	inhibitory_interneuron	6	6	GAD1,GAD2,SLC6A1,DLX1,DLX2,PAX2	
GSM9558427	astrocyte_bergmann	7	7	AQP4,GFAP,ALDH1L1,SLC1A2,SLC1A3,FABP7,SOX9	
GSM9558427	oligodendrocyte	5	5	MBP,PLP1,MOG,MOBP,CLDN11	
GSM9558427	opc	5	5	PDGFRA,CSPG4,VCAN,OLIG1,OLIG2	
GSM9558427	microglia	5	5	CX3CR1,P2RY12,AIF1,C1QA,TYROBP	
GSM9558427	vascular	5	5	CLDN5,PECAM1,VWF,KDR,FLT1	
GSM9558427	excitatory_neuron	6	6	SLC17A7,SLC17A6,CAMK2A,RBFOX3,SNAP25,SYT1	
GSM9558427	neuronal_synaptic	6	6	RBFOX3,SNAP25,SYT1,SYN1,MAP2,TUBB3	
GSM9558427	dentate_like_check	7	7	PROX1,MEX3A,C1QL3,ITPKA,GLIS3,EGR3,CALB2	
GSM9558427	morphogenesis	8	8	GAP43,STMN2,STMN3,DPYSL2,DPYSL3,NCAM1,L1CAM,CNTN2	
GSM9558425	cerebellar_granule	12	12	ATOH1,BARHL1,BARHL2,CBLN1,CBLN3,GABRA6,GRIN2C,PAX6,ROR1,SLC17A7,ZIC1,ZIC2	
GSM9558425	purkinje	8	8	CALB1,CA8,PCP2,FOXP2,GRID2,ITPR1,PVALB,RORA	
GSM9558425	inhibitory_interneuron	6	6	GAD1,GAD2,SLC6A1,DLX1,DLX2,PAX2	
GSM9558425	astrocyte_bergmann	7	7	AQP4,GFAP,ALDH1L1,SLC1A2,SLC1A3,FABP7,SOX9	
GSM9558425	oligodendrocyte	5	5	MBP,PLP1,MOG,MOBP,CLDN11	
GSM9558425	opc	5	5	PDGFRA,CSPG4,VCAN,OLIG1,OLIG2	
GSM9558425	microglia	5	5	CX3CR1,P2RY12,AIF1,C1QA,TYROBP	
GSM9558425	vascular	5	5	CLDN5,PECAM1,VWF,KDR,FLT1	
GSM9558425	excitatory_neuron	6	6	SLC17A7,SLC17A6,CAMK2A,RBFOX3,SNAP25,SYT1	
GSM9558425	neuronal_synaptic	6	6	RBFOX3,SNAP25,SYT1,SYN1,MAP2,TUBB3	
GSM9558425	dentate_like_check	7	7	PROX1,MEX3A,C1QL3,ITPKA,GLIS3,EGR3,CALB2	
GSM9558425	morphogenesis	8	8	GAP43,STMN2,STMN3,DPYSL2,DPYSL3,NCAM1,L1CAM,CNTN2	
