donor_id	comparator	feature_type	model_term_supported	target_set	peak_category	n_barcodes_granule	n_barcodes_comparator	mean_feature_score_granule	mean_feature_score_comparator	delta_granule_minus_comparator	mean_detection_granule	mean_detection_comparator	delta_detection_granule_minus_comparator	n_donors	mean_delta_score	median_delta_score	mean_delta_detection	median_delta_detection
H187	purkinje_candidate	Gene Expression	ConstructionBalance	Tier 1 core convergent program	gene_expression_or_marker	41	543	3.526636642822856	3.2341437652504776	0.2924928775723785	0.8089430894308943	0.830877839165132	-0.021934749734237702					
H187	purkinje_candidate	Gene Expression	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor	gene_expression_or_marker	41	543	3.7584671507927343	3.464634499861475	0.2938326509312592	0.8482384823848238	0.8602414569265399	-0.01200297454171606					
H187	purkinje_candidate	Gene Expression	ConstructionBalance	Tier 3 broad both-screen mechanism support	gene_expression_or_marker	41	543	2.362960570472038	1.9850067738464219	0.3779537966256159	0.8243902439024391	0.7432780847145488	0.08111215918789028					
H187	purkinje_candidate	Gene Expression	ConstructionBalance	Tier 4 screen-specific mechanism support	gene_expression_or_marker	41	543	2.2008138651180906	1.923390846909319	0.2774230182087716	0.6920731707317074	0.6261510128913443	0.06592215784036304					
H187	purkinje_candidate	Gene Expression	ConstructionBalance	Tier 5 exploratory non-identical ortholog	gene_expression_or_marker	41	543	1.5284083935739512	1.3076514151422027	0.22075697843174846	0.511354079058032	0.47863085032069597	0.03272322873733602					
H187	purkinje_candidate	Gene Expression	ConstructionBalance	downstream_neurite_morphology	gene_expression_or_marker	41	543	2.5285656611698477	2.2713025084956535	0.2572631526741942	0.6922183507549361	0.6728930983074629	0.019325252447473185					
H187	purkinje_candidate	Gene Expression	ConstructionBalance	downstream_neurite_synapse_construction	gene_expression_or_marker	41	543	2.5174347076462085	2.2715177853669717	0.24591692227923678	0.6782810685249709	0.659037095501184	0.019243973023786998					
H187	purkinje_candidate	Gene Expression	ConstructionBalance	downstream_synaptic_excitability	gene_expression_or_marker	41	543	3.2199753529718342	2.951342101139094	0.26863325183274034	0.7560975609756098	0.759208103130755	-0.0031105421551452794					
H187	purkinje_candidate	Gene Expression	ConstructionBalance	shared_postmitotic_granule_maturation	gene_expression_or_marker	41	543	3.4430585333805026	3.1147675284165013	0.3282910049640013	0.8682926829268294	0.8552486187845304	0.013044064142298972					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	Tier 1 core convergent program	gene_expression_or_marker	41	543	3.326664905921339	3.042940417290372	0.2837244886309671	0.7317073170731707	0.7504604051565378	-0.018753088083367064					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	Tier 2 high-confidence wiring/synaptic executor	gene_expression_or_marker	41	543	2.252690577500196	2.1900484995334524	0.06264207796674359	0.6178861788617885	0.6335174953959485	-0.015631316534159945					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	Tier 3 broad both-screen mechanism support	gene_expression_or_marker	41	543	2.957959222098226	2.3589596778439272	0.5989995442542986	0.9512195121951219	0.8637200736648251	0.08749943853029685					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	Tier 4 screen-specific mechanism support	gene_expression_or_marker	41	543	2.076551590049517	1.9107749561054093	0.1657766339441078	0.5853658536585366	0.576427255985267	0.008938597673269544					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	dentate_fate_wnt_prox1	gene_expression_or_marker	41	543	2.0615603672881093	1.8312128107324857	0.23034755655562367	0.7317073170731707	0.7771639042357275	-0.04545658716255674					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	downstream_neurite_morphology	gene_expression_or_marker	41	543	2.6055069569513187	2.323005627495088	0.28250132945623063	0.7448405253283302	0.7224819379515512	0.022358587376778982					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	downstream_neurite_synapse_construction	gene_expression_or_marker	41	543	2.5174347076462085	2.2715177853669717	0.24591692227923678	0.6782810685249709	0.659037095501184	0.019243973023786998					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	downstream_synaptic_excitability	gene_expression_or_marker	41	543	2.374317302525404	2.1878500419087823	0.18646726061662156	0.5701219512195121	0.555939226519337	0.01418272470017512					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	medial_pallium_dentate_lineage	gene_expression_or_marker	41	543	2.0615603672881093	1.8312128107324857	0.23034755655562367	0.7317073170731707	0.7771639042357275	-0.04545658716255674					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	shared_neurogenic_niche_state	gene_expression_or_marker	41	543	0.42552955281517685	0.4179018002099864	0.007627752605190441	0.1951219512195122	0.15653775322283608	0.03858419799667612					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	shared_postmitotic_granule_maturation	gene_expression_or_marker	41	543	2.5002297782612626	2.2117050442409503	0.2885247340203123	0.6917960088691796	0.6551146827389922	0.036681326130187375					
H187	purkinje_candidate	Gene Expression	FatePolarity	anterior_telencephalic_pattern	gene_expression_or_marker	41	543	0.682867472428881	0.5644416722023536	0.11842580022652738	0.18641114982578397	0.16048408313601684	0.02592706668976713					
H187	purkinje_candidate	Gene Expression	FatePolarity	cerebellar_fate_rhombic_lip_shh	gene_expression_or_marker	41	543	1.3439770154944517	1.0137299174987076	0.33024709799574414	0.4427767354596623	0.36747414647967136	0.07530258897999093					
H187	purkinje_candidate	Gene Expression	FatePolarity	deep_neural_progenitor	gene_expression_or_marker	41	543	0.24453384169675982	0.18502069546952804	0.05951314622723178	0.08818011257035649	0.07267318317042074	0.015506929399935754					
H187	purkinje_candidate	Gene Expression	FatePolarity	dentate_fate_wnt_prox1	gene_expression_or_marker	41	543	0.8428668015687419	0.824106633674418	0.018760167894323887	0.25824964131994266	0.2397356732748348	0.018513968045107854					
H187	purkinje_candidate	Gene Expression	FatePolarity	hindbrain_rhombic_lip_pattern	gene_expression_or_marker	41	543	0.8114190801192199	0.6225025834402059	0.188916496679014	0.26422764227642276	0.22201759770820542	0.042210044568217336					
H187	purkinje_candidate	Gene Expression	FatePolarity	medial_pallium_dentate_lineage	gene_expression_or_marker	41	543	0.8428668015687419	0.824106633674418	0.018760167894323887	0.25824964131994266	0.2397356732748348	0.018513968045107854					
H187	purkinje_candidate	Gene Expression	FatePolarity	shared_neurogenic_niche_state	gene_expression_or_marker	41	543	0.2365963411439397	0.1959204295623477	0.040675911581592006	0.08780487804878048	0.07900552486187845	0.008799353186902031					
