concordance_class	comparator	feature_type	model_term_supported	n_contrasts	mean_broad_delta	mean_cluster_supported_delta	mean_shift_strict_minus_broad	max_robust_rank_score
cluster_supported_only_positive	purkinje_candidate	Peaks	EpigenomicCompatibility	22	0.02873970335788895	0.16822970294736925	0.1394899995894803	0.0970583150121189
cluster_supported_only_positive	purkinje_candidate	Peaks	FatePolarity	16	0.013835263535654837	0.1465331844636608	0.13269792092800595	0.0846288266110349
cluster_supported_only_positive	purkinje_candidate	Peaks	ConstructionBalance	15	0.012216318625148558	0.13920326111258088	0.1269869424874323	0.046258880693858
cluster_supported_only_positive	oligodendrocyte_candidate	Peaks	ConstructionBalance	12	0.07599551058850496	0.23517604758745914	0.15918053699895418	0.096887310029236
cluster_supported_only_positive	oligodendrocyte_candidate	Peaks	FatePolarity	12	0.05405312885646061	0.2100795967917365	0.1560264679352759	0.0945162934287787
cluster_supported_only_positive	purkinje_candidate	Peaks	NicheSignal	11	0.032671199812423085	0.16752799530586257	0.13485679549343946	0.0970583150121189
cluster_supported_only_positive	oligodendrocyte_candidate	Peaks	NicheSignal	10	0.03613061266712626	0.20573112579475597	0.16960051312762972	0.0644298686009185
cluster_supported_only_positive	purkinje_candidate	Gene Expression	EpigenomicCompatibility	5	-0.013541008037579122	0.2736331627667074	0.28717417080428653	0.0077724095712651
cluster_supported_only_positive	astrocyte_bergmann_candidate	Peaks	FatePolarity	4	0.03427757403224877	0.15984660746183726	0.1255690334295885	0.0742315900897501
cluster_supported_only_positive	purkinje_candidate	Gene Expression	FatePolarity	4	0.0038876982379210737	0.19747462889066492	0.19358693065274385	0.0343087823160837
cluster_supported_only_positive	purkinje_candidate	Gene Expression	ConstructionBalance	3	-0.07861032501737414	0.2551518593527828	0.33376218437015687	-0.0595518691710421
cluster_supported_only_positive	astrocyte_bergmann_candidate	Peaks	ConstructionBalance	2	0.0752385735114148	0.1544106784979934	0.07917210498657859	0.0999754620373904
cluster_supported_only_positive	astrocyte_bergmann_candidate	Peaks	NicheSignal	2	0.00839120071907635	0.11832926648546925	0.1099380657663929	0.0118277859988548
cluster_supported_only_positive	oligodendrocyte_candidate	Gene Expression	FatePolarity	1	0.0990830643902442	0.2395391387328582	0.140456074342614	0.0990830643902442
