module_id	module_label	module_family	hypothesis_role	gene_symbol	source_table
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	ATOH1	primary_core_niche_circuit_module_gene_sets.tsv
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	BARHL1	primary_core_niche_circuit_module_gene_sets.tsv
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	PAX6	primary_core_niche_circuit_module_gene_sets.tsv
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	ZIC1	primary_core_niche_circuit_module_gene_sets.tsv
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	ZIC2	primary_core_niche_circuit_module_gene_sets.tsv
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	ZIC3	primary_core_niche_circuit_module_gene_sets.tsv
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	MYCN	primary_core_niche_circuit_module_gene_sets.tsv
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	PTCH1	primary_core_niche_circuit_module_gene_sets.tsv
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	GLI1	primary_core_niche_circuit_module_gene_sets.tsv
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	GLI2	primary_core_niche_circuit_module_gene_sets.tsv
