dataset	accession	node	contrast_id	contrast_label	species	model_or_tissue	gene_symbol	source_gene_id	effect_metric	effect_value	effect_direction	p_value	q_value	source_file	notes
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	ACVR1	ENSG00000115170	mean_log1p_CPM_difference	1.6295544048488173	up_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	ASCL1	ENSG00000139352	mean_log1p_CPM_difference	0.24480242956282972	up_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	ATOH1	ENSG00000172238	mean_log1p_CPM_difference	0.4627117995537131	up_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	BARHL1	ENSG00000125492	mean_log1p_CPM_difference	0.3165877967783252	up_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	BASP1	ENSG00000176788	mean_log1p_CPM_difference	-0.1884652055167706	down_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	BCL11B	ENSG00000127152	mean_log1p_CPM_difference	-1.0779481579792969	down_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	BDNF	ENSG00000176697	mean_log1p_CPM_difference	1.16034203484897	up_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	BMP4	ENSG00000125378	mean_log1p_CPM_difference	1.612847734175579	up_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	BMPR1A	ENSG00000107779	mean_log1p_CPM_difference	0.257725081022393	up_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	BMPR2	ENSG00000204217	mean_log1p_CPM_difference	-0.06112107415638235	near_zero			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	C1QL3	ENSG00000165985	mean_log1p_CPM_difference	-1.580751354917258	down_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	CACNA2D1	ENSG00000153956	mean_log1p_CPM_difference	-0.027901950657143182	near_zero			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	CADM3	ENSG00000162706	mean_log1p_CPM_difference	-1.7073097411335079	down_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	CALB1	ENSG00000104327	mean_log1p_CPM_difference	0.17219327397337647	up_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	CALM1	ENSG00000198668	mean_log1p_CPM_difference	0.04968813408726902	near_zero			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	CALM2	ENSG00000143933	mean_log1p_CPM_difference	0.11206369448470532	up_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	CAMK2A	ENSG00000070808	mean_log1p_CPM_difference	1.012952800279657	up_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	CAMK2B	ENSG00000058404	mean_log1p_CPM_difference	1.5520564763533002	up_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	CDK5R1	ENSG00000176749	mean_log1p_CPM_difference	0.039758921751271714	near_zero			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	CFL1	ENSG00000172757	mean_log1p_CPM_difference	0.2798843287662809	up_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	CNTN5	ENSG00000149972	mean_log1p_CPM_difference	-0.3233078255653899	down_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	DAB1	ENSG00000173406	mean_log1p_CPM_difference	-0.4711373907061738	down_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	DCC	ENSG00000187323	mean_log1p_CPM_difference	3.1732364438019216	up_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	DCX	ENSG00000077279	mean_log1p_CPM_difference	0.08304167987031441	near_zero			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	DKK3	ENSG00000050165	mean_log1p_CPM_difference	0.7739427732136832	up_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	DLL1	ENSG00000198719	mean_log1p_CPM_difference	0.33660920396358307	up_shift			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	DPYSL2	ENSG00000092964	mean_log1p_CPM_difference	-0.07639717684586422	near_zero			GSE242199_Raw_counts.txt.gz	Targeted module scoring using project-local Ensembl-symbol maps.
