sender_receiver_pair_id	pair_id	pair_source	pathway_id	pathway_label	pathway_family	pair_label	ligand_gene	ligand_canonical_gene	receptor_gene	receptor_canonical_gene
SRP001	LR001	aim2_curated	tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	TGF-beta2 to TGFBR1	TGFB2	TGFB2	TGFBR1	TGFBR1
SRP002	LR002	aim2_curated	tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	TGF-beta2 to TGFBR2	TGFB2	TGFB2	TGFBR2	TGFBR2
SRP003	LR003	aim2_curated	tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	TGF-beta1 to TGFBR2	TGFB1	TGFB1	TGFBR2	TGFBR2
SRP004	LR004	aim2_curated	bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	BDNF to TrkB	BDNF	BDNF	NTRK2	NTRK2
SRP005	LR005	aim2_curated	shh_granule_expansion	SHH/PTCH/GLI	progenitor_expansion_or_regional_fate	SHH to PTCH1	SHH	SHH	PTCH1	PTCH1
SRP006	LR006	aim2_curated	shh_granule_expansion	SHH/PTCH/GLI	progenitor_expansion_or_regional_fate	SHH to SMO readiness	SHH	SHH	SMO	SMO
SRP007	LR007	aim2_curated	wnt_beta_catenin	WNT/beta-catenin	neurogenic_permissive	WNT3A to FZD5	WNT3A	WNT3A	FZD5	FZD5
SRP008	LR008	aim2_curated	wnt_beta_catenin	WNT/beta-catenin	neurogenic_permissive	WNT7A to FZD3	WNT7A	WNT7A	FZD3	FZD3
SRP009	LR009	aim2_curated	wnt_beta_catenin	WNT/beta-catenin	neurogenic_permissive	WNT7A to LRP6 readiness	WNT7A	WNT7A	LRP6	LRP6
SRP010	LR010	aim2_curated	fgf_mapk	FGF/MAPK	neurogenic_permissive	FGF2 to FGFR1	FGF2	FGF2	FGFR1	FGFR1
SRP011	LR011	aim2_curated	fgf_mapk	FGF/MAPK	neurogenic_permissive	FGF8 to FGFR1	FGF8	FGF8	FGFR1	FGFR1
SRP012	LR012	aim2_curated	fgf_mapk	FGF/MAPK	neurogenic_permissive	FGF9 to FGFR3	FGF9	FGF9	FGFR3	FGFR3
SRP013	LR013	aim2_curated	bmp_smad	BMP/SMAD	differentiation_stop	BMP4 to BMPR1A	BMP4	BMP4	BMPR1A	BMPR1A
SRP014	LR014	aim2_curated	bmp_smad	BMP/SMAD	differentiation_stop	BMP7 to BMPR2	BMP7	BMP7	BMPR2	BMPR2
SRP015	LR015	aim2_curated	notch_hes	Notch/HES	neurogenic_permissive	DLL1 to NOTCH1	DLL1	DLL1	NOTCH1	NOTCH1
SRP016	LR016	aim2_curated	notch_hes	Notch/HES	neurogenic_permissive	JAG1 to NOTCH1	JAG1	JAG1	NOTCH1	NOTCH1
SRP017	LR017	aim2_curated	notch_hes	Notch/HES	neurogenic_permissive	JAG1 to NOTCH2	JAG1	JAG1	NOTCH2	NOTCH2
SRP018	LR018	aim2_curated	reelin_migration_stop	Reelin/migration-stop	differentiation_stop	Reelin to VLDLR	RELN	RELN	VLDLR	VLDLR
SRP019	LR019	aim2_curated	reelin_migration_stop	Reelin/migration-stop	differentiation_stop	Reelin to LRP8	RELN	RELN	LRP8	LRP8
SRP020	LR020	aim2_curated	semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	SEMA6A to PLXNA2	SEMA6A	SEMA6A	PLXNA2	PLXNA2
SRP021	LR021	aim2_curated	semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	SEMA6A to PLXNA4	SEMA6A	SEMA6A	PLXNA4	PLXNA4
