summary_level	region	n_predictions	n_supported	fraction_supported	median_lr_expression_score	mean_lr_expression_score	max_lr_expression_score	n_high_support	n_moderate_support	sender_class	pathway_label	pair_label
region	cerebellum	1128	97	0.08599290780141844	0.001682175495584534	0.026924422819624476	0.5018088887637409	21	76			
region	dentate_sgz	1880	111	0.059042553191489364	0.0014115096636696288	0.018884123600674166	0.5572952880055875	21	90			
region_sender_class	cerebellum	282	15	0.05319148936170213	0.0030849194993644658	0.01934030247262463	0.22642949385771508	0	15	astroglial_bergmann_proxy		
region_sender_class	cerebellum	282	19	0.0673758865248227	0.00045370987502385703	0.021926157028533958	0.3066987586336391	3	16	endothelial		
region_sender_class	cerebellum	282	20	0.07092198581560284	0.0008940729393287507	0.020454891406659317	0.4482580644202579	4	16	microglia		
region_sender_class	cerebellum	282	43	0.1524822695035461	0.002707336086224475	0.04597634037068001	0.5018088887637409	14	29	purkinje		
region_sender_class	dentate_sgz	1128	64	0.05673758865248227	0.0014928788930456544	0.018996542846643125	0.5572952880055875	10	54	astrocyte		
region_sender_class	dentate_sgz	376	24	0.06382978723404255	0.002222967665601587	0.02053101588524025	0.3229491536223241	5	19	endothelial		
region_sender_class	dentate_sgz	376	23	0.061170212765957445	0.0003203409682819944	0.016899973578201215	0.3211867942415629	6	17	microglia_macrophage_proxy		
region_sender_pathway	cerebellum	18	2	0.1111111111111111	0.003456623653297539	0.03470042785820234	0.14626934537934608	0	2	astroglial_bergmann_proxy	TGF-beta/SMAD	
region_sender_pathway	cerebellum	6	0	0.0	0.020871343699762273	0.03450727954149049	0.08526364514894681	0	0	astroglial_bergmann_proxy	BDNF/TrkB/MAPK	
region_sender_pathway	cerebellum	12	0	0.0	0.0	0.0003809422359916231	0.0017774020068093692	0	0	astroglial_bergmann_proxy	SHH/PTCH/GLI	
region_sender_pathway	cerebellum	18	3	0.16666666666666666	0.03105097278872619	0.05094723952287075	0.14299671436323622	0	3	astroglial_bergmann_proxy	WNT/beta-catenin	
region_sender_pathway	cerebellum	18	0	0.0	0.002037967878959896	0.008210887820762333	0.04274222037729416	0	0	astroglial_bergmann_proxy	FGF/MAPK	
region_sender_pathway	cerebellum	12	0	0.0	0.013820834476464785	0.013087588121653495	0.02656849043173787	0	0	astroglial_bergmann_proxy	BMP/SMAD	
region_sender_pathway	cerebellum	18	0	0.0	0.002519202979273533	0.005989944024734113	0.028477004320099298	0	0	astroglial_bergmann_proxy	Notch/HES	
