dataset	module_id	n_module_genes_detected	spearman_rho_vs_full_transcriptome_pseudotime	spearman_p	n_cells	direction_vs_pseudotime
GSE104323	immature_progenitor_state	11	-0.624601789205881	0.0	8000	decreases_with_pseudotime
GSE104323	neuronal_differentiation_maturation	11	0.6018741595820144	0.0	8000	increases_with_pseudotime
GSE104323	tgf_smad_pai1_response	14	-0.3390797768447149	1.971196199081859e-214	8000	decreases_with_pseudotime
GSE104323	bdnf_erk_response	16	-0.051685530932948	3.741225395364558e-06	8000	weak_or_flat
GSE104323	secreted_stop_candidate_axis	13	-0.0948648333598589	1.8503433494143368e-17	8000	weak_or_flat
GSE95752	immature_progenitor_state	10	-0.3696633292506475	5.998082262110949e-58	1755	decreases_with_pseudotime
GSE95752	neuronal_differentiation_maturation	11	0.2835739487504501	8.187565124707798e-34	1755	increases_with_pseudotime
GSE95752	tgf_smad_pai1_response	14	-0.0790557617126355	0.0009174480052944	1755	weak_or_flat
GSE95752	bdnf_erk_response	16	-0.0094977647335274	0.6909157129445449	1755	weak_or_flat
GSE95752	secreted_stop_candidate_axis	13	0.1167015412502433	9.47594149310452e-07	1755	increases_with_pseudotime
GSE292261	immature_progenitor_state	7	-0.3711511766147558	6.130683016091259e-18	505	decreases_with_pseudotime
GSE292261	neuronal_differentiation_maturation	11	0.2842278165881776	7.714932006727197e-11	505	increases_with_pseudotime
GSE292261	tgf_smad_pai1_response	8	-0.1377396570880059	0.0019193038942802	505	decreases_with_pseudotime
GSE292261	bdnf_erk_response	16	0.0542675925656954	0.2234567628989439	505	weak_or_flat
GSE292261	secreted_stop_candidate_axis	10	-0.2426930645047271	3.3303630922385064e-08	505	decreases_with_pseudotime
GSE214309	immature_progenitor_state	10	-0.0756905304930144	0.1387360011192086	384	weak_or_flat
GSE214309	neuronal_differentiation_maturation	9	-0.0934400731361722	0.0673879005829554	384	weak_or_flat
GSE214309	tgf_smad_pai1_response	12	0.010424855676841	0.8386472096092576	384	weak_or_flat
GSE214309	bdnf_erk_response	16	0.1292663797845832	0.0112292859206136	384	increases_with_pseudotime
GSE214309	secreted_stop_candidate_axis	11	0.0305032207641262	0.551222916966825	384	weak_or_flat
GSE122357	immature_progenitor_state	11	-0.0546858942442159	9.872998555047203e-07	8000	weak_or_flat
GSE122357	neuronal_differentiation_maturation	11	-0.0895691434051233	1.0054509278013297e-15	8000	weak_or_flat
GSE122357	tgf_smad_pai1_response	14	0.1092857719343094	1.0965768445540298e-22	8000	increases_with_pseudotime
GSE122357	bdnf_erk_response	16	-0.0246680007644167	0.0273585232402925	8000	weak_or_flat
GSE122357	secreted_stop_candidate_axis	12	-0.0252856951875367	0.0237203036921401	8000	weak_or_flat
GSE165657	immature_progenitor_state	11	-0.1462324996575421	1.744525533601688e-39	8000	decreases_with_pseudotime
GSE165657	neuronal_differentiation_maturation	9	0.3676981009135233	1.2782137299293203e-254	8000	increases_with_pseudotime
GSE165657	tgf_smad_pai1_response	14	-0.1210088825932057	1.756331874435633e-27	8000	decreases_with_pseudotime
GSE165657	bdnf_erk_response	16	-0.0264133113594215	0.0181510947381237	8000	weak_or_flat
GSE165657	secreted_stop_candidate_axis	13	-0.0568422907414116	3.629139270356627e-07	8000	weak_or_flat
GSE312658	immature_progenitor_state	11	-0.1112659417992254	1.1387106369385418e-18	6248	decreases_with_pseudotime
GSE312658	neuronal_differentiation_maturation	11	0.3076696541995584	4.339290345588911e-137	6248	increases_with_pseudotime
GSE312658	tgf_smad_pai1_response	14	-0.2709757943367414	1.3619059500717636e-105	6248	decreases_with_pseudotime
GSE312658	bdnf_erk_response	16	-0.0081561920713982	0.5191980056103995	6248	weak_or_flat
GSE312658	secreted_stop_candidate_axis	13	0.0761090920727367	1.7066040906412911e-09	6248	weak_or_flat
GSE186538	immature_progenitor_state	9	-0.1355709754791297	3.9625055587005855e-34	8000	decreases_with_pseudotime
GSE186538	neuronal_differentiation_maturation	11	0.1112617687279599	1.845934423910141e-23	8000	increases_with_pseudotime
GSE186538	tgf_smad_pai1_response	14	-0.0356045591772771	0.0014471361471037	8000	weak_or_flat
GSE186538	bdnf_erk_response	16	0.0165876074813113	0.1379387128717946	8000	weak_or_flat
GSE186538	secreted_stop_candidate_axis	13	-0.0540109628517264	1.3404497121076389e-06	8000	weak_or_flat
GSE325391	immature_progenitor_state	5	0.1068728824492624	9.248545010013864e-22	8000	increases_with_pseudotime
GSE325391	neuronal_differentiation_maturation	10	0.0380880784082876	0.0006558366672623	8000	weak_or_flat
GSE325391	tgf_smad_pai1_response	1	0.1048165711441455	5.4815346041054586e-21	8000	increases_with_pseudotime
GSE325391	bdnf_erk_response	6	0.2081648037657655	4.9431424369310255e-79	8000	increases_with_pseudotime
GSE325391	secreted_stop_candidate_axis	3	0.2246420484071877	4.6351745018841514e-92	8000	increases_with_pseudotime
GSE268609	immature_progenitor_state	6	-0.2467968849897724	2.6050697118828938e-111	8000	decreases_with_pseudotime
GSE268609	neuronal_differentiation_maturation	10	-0.4327043682188842	0.0	8000	decreases_with_pseudotime
GSE268609	tgf_smad_pai1_response	1	-0.2910206202583748	6.187180034702513e-156	8000	decreases_with_pseudotime
GSE268609	bdnf_erk_response	6	-0.3325696056141394	7.287124223192789e-206	8000	decreases_with_pseudotime
GSE268609	secreted_stop_candidate_axis	3	-0.338828651023322	4.256893185738227e-214	8000	decreases_with_pseudotime
