dataset	region	branch	axis_type	comparison_group	signature_id	signature_label	n_stage_points	slope_stage_norm	intercept	pearson_r	slope_p	start_label	end_label	start_score	end_score	endpoint_delta	observed_peak_label	observed_peak_stage_norm	observed_peak_score	mean_score	slope_direction
GSE104323	dentate_gyrus	dentate	adult_dentate_lineage_state	curated_dentate_granule_lineage	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	8	-0.08203125000000001	0.58203125	-0.15973854701413537	0.7055461644792806	RGL_young	GC-adult	0.5625	0.28125	-0.28125	nIPC-perin	0.42857142857142855	0.84375	0.541015625	decreasing
GSE122357	cerebellum	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	3	0.41763259571478745	0.3343870741131015	0.9413798360837333	0.2190601321384176	P0	P8b	0.3333333333333333	0.6666666666666666	0.3333333333333333	P8a	0.9878048780487805	0.8333333333333333	0.611111111111111	increasing
GSE214309	dentate_gyrus	dentate	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	8	0.2682291666666667	0.42447916666666663	0.7759729762187492	0.023597502936103607	immature_1hr	matureactive_4hr	0.40625	0.59375	0.1875	immatureactive_4hr	0.7142857142857143	0.75	0.55859375	increasing
GSE292261	dentate_gyrus	dentate	postnatal_dentate_age	all_DG_cells	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	5	-0.5035502958579882	0.7551479289940828	-0.9162093407402719	0.02874697528695422	P5	P28	0.75	0.2	-0.55	P5	0.0	0.75	0.58	decreasing
GSE292261	dentate_gyrus	dentate	postnatal_dentate_age	candidate_dentate_granule_only	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	5	-0.5171597633136095	0.7798816568047338	-0.8714931604614563	0.0542212506013585	P5	P28	0.8	0.2	-0.6000000000000001	P5	0.0	0.8	0.6	decreasing
GSE104323	dentate_gyrus	dentate	adult_dentate_lineage_state	curated_dentate_granule_lineage	differentiation_stop_index	Differentiation/stop signaling	8	-0.15156250000000002	0.6203125	-0.2713264599299539	0.5156796109641715	RGL_young	GC-adult	0.6	0.225	-0.375	nIPC-perin	0.42857142857142855	0.8625	0.54453125	decreasing
GSE122357	cerebellum	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	differentiation_stop_index	Differentiation/stop signaling	3	0.19873551106427814	0.5349841938883035	0.6465846072812312	0.552393465471751	P0	P8b	0.5333333333333333	0.6	0.06666666666666665	P8a	0.9878048780487805	0.8666666666666666	0.6666666666666666	increasing
GSE214309	dentate_gyrus	dentate	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	differentiation_stop_index	Differentiation/stop signaling	8	0.3380208333333334	0.3895833333333333	0.8107870966993631	0.01462294202630872	immature_1hr	matureactive_4hr	0.4375	0.6625	0.22499999999999998	mature_4hr	0.8571428571428571	0.725	0.55859375	increasing
GSE292261	dentate_gyrus	dentate	postnatal_dentate_age	all_DG_cells	differentiation_stop_index	Differentiation/stop signaling	5	-0.5457396449704142	0.7978224852071005	-0.8866180383079851	0.04504248074652096	P5	P28	0.7799999999999999	0.2	-0.5799999999999998	P10	0.21739130434782608	0.82	0.608	decreasing
GSE292261	dentate_gyrus	dentate	postnatal_dentate_age	candidate_dentate_granule_only	differentiation_stop_index	Differentiation/stop signaling	5	-0.48041420118343187	0.7431005917159763	-0.8528998777157856	0.0662111063691097	P5	P28	0.76	0.2	-0.56	P5	0.0	0.76	0.576	decreasing
GSE104323	dentate_gyrus	dentate	adult_dentate_lineage_state	curated_dentate_granule_lineage	neurogenic_permissive_index	Neurogenic/permissive signaling	8	-0.4149305555555555	0.7621527777777778	-0.7189051066417724	0.044478301000602405	RGL_young	GC-adult	0.7916666666666666	0.25	-0.5416666666666666	nIPC-perin	0.42857142857142855	0.875	0.5546875	decreasing
GSE122357	cerebellum	cerebellum	postnatal_cerebellar_age	candidate_cerebellar_granule_only	neurogenic_permissive_index	Neurogenic/permissive signaling	3	-0.33431180691454665	0.9437377690802349	-0.957767707947744	0.18567689215082808	P0	P8b	0.9444444444444444	0.6666666666666666	-0.2777777777777778	P0	0.0	0.9444444444444444	0.7222222222222222	decreasing
