dataset	sample	group	region	platform	candidate_call	call_confidence	n_cells_or_spots	mean_dentate_identity	mean_cerebellar_identity	mean_identity_contrast	mean_structural_program	median_structural_rank	fraction_of_group
GSE104323	10X_all_cells	Astro-adult	dentate_gyrus	10x	known_non_dentate_reference	reference	1232	0.0165133	0.0582091	-0.0416958	0.0781618	0.0724209	1
GSE104323	10X_all_cells	Astro-juv	dentate_gyrus	10x	known_non_dentate_reference	reference	821	0.0224023	0.0716269	-0.0492245	0.094013	0.0985321	1
GSE104323	10X_all_cells	CA3-Pyr	dentate_gyrus	10x	known_non_dentate_reference	reference	532	0.220872	0.0299616	0.190911	0.733553	0.787534	1
GSE104323	10X_all_cells	Cajal-Retzius	dentate_gyrus	10x	known_non_dentate_reference	reference	535	0.222	0.0820427	0.139957	0.51183	0.676204	1
GSE104323	10X_all_cells	Endothelial	dentate_gyrus	10x	known_non_dentate_reference	reference	543	0.0317881	0.0354291	-0.00364097	0.108019	0.0938392	1
GSE104323	10X_all_cells	Ependymal	dentate_gyrus	10x	known_non_dentate_reference	reference	182	0.0699024	0.061463	0.00843945	0.168154	0.18437	1
GSE104323	10X_all_cells	GABA	dentate_gyrus	10x	known_non_dentate_reference	reference	209	0.0816042	0.00640358	0.0752006	0.494972	0.62332	1
GSE104323	10X_all_cells	GC-adult	dentate_gyrus	10x	candidate_dentate_granule	reference	2613	0.226973	0.00349856	0.223475	0.226168	0.353566	1
GSE104323	10X_all_cells	GC-juv	dentate_gyrus	10x	candidate_dentate_granule	reference	3420	0.360458	0.0069888	0.353469	0.331523	0.490903	1
GSE104323	10X_all_cells	Immature-Astro	dentate_gyrus	10x	known_non_dentate_reference	reference	651	0.0511586	0.057223	-0.00606438	0.189094	0.266612	1
GSE104323	10X_all_cells	Immature-GABA	dentate_gyrus	10x	known_non_dentate_reference	reference	1024	0.19903	0.0133328	0.185697	0.722904	0.79326	1
GSE104323	10X_all_cells	Immature-GC	dentate_gyrus	10x	candidate_dentate_granule	reference	2419	0.472849	0.00521282	0.467636	0.552363	0.696878	1
GSE104323	10X_all_cells	Immature-Pyr	dentate_gyrus	10x	known_non_dentate_reference	reference	4520	0.369587	0.0151705	0.354417	0.910739	0.87486	1
GSE104323	10X_all_cells	MOL	dentate_gyrus	10x	known_non_dentate_reference	reference	704	0.0630378	0.0647325	-0.0016948	0.189399	0.271098	1
GSE104323	10X_all_cells	MiCajal-Retziusoglia	dentate_gyrus	10x	known_non_dentate_reference	reference	428	0.025574	0.0120241	0.0135499	0.093014	0.0875026	1
GSE104323	10X_all_cells	NFOL	dentate_gyrus	10x	known_non_dentate_reference	reference	232	0.0395631	0.00288437	0.0366788	0.18072	0.255334	1
GSE104323	10X_all_cells	Neuroblast	dentate_gyrus	10x	candidate_dentate_granule	reference	1381	0.381013	0.0318432	0.34917	0.382454	0.559603	1
GSE104323	10X_all_cells	OPC	dentate_gyrus	10x	known_non_dentate_reference	reference	794	0.068777	0.023409	0.045368	0.177355	0.220529	1
GSE104323	10X_all_cells	PVM	dentate_gyrus	10x	known_non_dentate_reference	reference	79	0.0154788	0.0254117	-0.0099329	0.0966034	0.0805458	1
GSE104323	10X_all_cells	RGL	dentate_gyrus	10x	known_non_dentate_reference	reference	199	0.0385296	0.0405504	-0.00202087	0.110715	0.125594	1
GSE104323	10X_all_cells	RGL_young	dentate_gyrus	10x	known_non_dentate_reference	reference	686	0.0712485	0.0723158	-0.00106727	0.185759	0.238019	1
GSE104323	10X_all_cells	VLMC	dentate_gyrus	10x	known_non_dentate_reference	reference	160	0.0584698	0.124165	-0.065695	0.14805	0.127755	1
GSE104323	10X_all_cells	nIPC	dentate_gyrus	10x	known_non_dentate_reference	reference	353	0.234844	0.0912685	0.143575	0.346528	0.499566	1
GSE104323	10X_all_cells	nIPC-perin	dentate_gyrus	10x	known_non_dentate_reference	reference	468	0.0812309	0.100121	-0.01889	0.237043	0.357432	1
GSE122357	GSM3464549_P0	all	cerebellum	single_cell_RNA_seq	candidate_cerebellar_granule	high	1473	0.428199	0.583396	-0.155197	0.810487	0.820434	0.197242
GSE122357	GSM3464549_P0	all	cerebellum	single_cell_RNA_seq	candidate_cerebellar_granule	medium	828	0.253552	0.574395	-0.320843	0.443733	0.449451	0.110873
GSE122357	GSM3464549_P0	all	cerebellum	single_cell_RNA_seq	cerebellum_dentate_panel_high_warning	low	1147	0.51322	0.389037	0.124183	0.784893	0.805303	0.153589
GSE122357	GSM3464549_P0	all	cerebellum	single_cell_RNA_seq	non_granule_or_ambiguous	low	4020	0.15094	0.287519	-0.136579	0.345472	0.274705	0.538297
GSE122357	GSM3464550_P8a	all	cerebellum	single_cell_RNA_seq	candidate_cerebellar_granule	high	1043	0.458942	0.624584	-0.165643	0.773066	0.806997	0.171321
GSE122357	GSM3464550_P8a	all	cerebellum	single_cell_RNA_seq	candidate_cerebellar_granule	medium	732	0.309606	0.61625	-0.306644	0.485544	0.457375	0.120237
GSE122357	GSM3464550_P8a	all	cerebellum	single_cell_RNA_seq	cerebellum_dentate_panel_high_warning	low	1028	0.540608	0.389402	0.151205	0.788363	0.826298	0.168857
GSE122357	GSM3464550_P8a	all	cerebellum	single_cell_RNA_seq	non_granule_or_ambiguous	low	3285	0.203231	0.314953	-0.111722	0.3952	0.276035	0.539586
GSE122357	GSM3464551_P8b	all	cerebellum	single_cell_RNA_seq	candidate_cerebellar_granule	high	1373	0.417317	0.572658	-0.155341	0.686455	0.812071	0.168095
GSE122357	GSM3464551_P8b	all	cerebellum	single_cell_RNA_seq	candidate_cerebellar_granule	medium	1012	0.266386	0.552883	-0.286496	0.405545	0.453783	0.123898
GSE122357	GSM3464551_P8b	all	cerebellum	single_cell_RNA_seq	cerebellum_dentate_panel_high_warning	low	1383	0.490632	0.349525	0.141107	0.681395	0.824927	0.169319
GSE122357	GSM3464551_P8b	all	cerebellum	single_cell_RNA_seq	non_granule_or_ambiguous	low	4400	0.175854	0.304928	-0.129075	0.341603	0.27975	0.538688
GSE150153	NAY6153A1_125	metadata_unmatched	organoid	10x	non_granule_or_ambiguous	low	749	0.175793	0.175269	0.000524774	0.405237	0.317914	0.629941
GSE150153	NAY6153A1_125	metadata_unmatched	organoid	10x	organoid_granule_like_candidate	low	440	0.525714	0.419593	0.106121	0.928504	0.809504	0.370059
GSE150153	NAY6153A2_678	metadata_unmatched	organoid	10x	non_granule_or_ambiguous	low	790	0.0889945	0.100673	-0.0116783	0.244654	0.301965	0.597128
GSE150153	NAY6153A2_678	metadata_unmatched	organoid	10x	organoid_granule_like_candidate	low	533	0.364725	0.290339	0.0743865	0.635238	0.783825	0.402872
GSE165657	Cerebellum_aggr	all	cerebellum	10x	candidate_cerebellar_granule	high	12657	0.243261	0.378112	-0.13485	0.465645	0.813311	0.172087
GSE165657	Cerebellum_aggr	all	cerebellum	10x	candidate_cerebellar_granule	medium	7225	0.131113	0.296067	-0.164954	0.236625	0.453732	0.0982325
GSE165657	Cerebellum_aggr	all	cerebellum	10x	cerebellum_dentate_panel_high_warning	low	14689	0.343517	0.19711	0.146407	0.442847	0.792141	0.199714
GSE165657	Cerebellum_aggr	all	cerebellum	10x	non_granule_or_ambiguous	low	38979	0.0746888	0.0860911	-0.0114023	0.18326	0.277281	0.529966
GSE214309	snRNA_counts	immature_1hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	high	11	1.44591	0.247355	1.19855	1.9895	0.855362	0.174603
GSE214309	snRNA_counts	immature_1hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	medium	7	1.39061	0.274148	1.11646	1.35033	0.483791	0.111111
GSE214309	snRNA_counts	immature_1hr	dentate_gyrus	snRNA_seq	dentate_like_low_support	low	42	0.694847	0.131841	0.563006	0.943994	0.235661	0.666667
GSE214309	snRNA_counts	immature_1hr	dentate_gyrus	snRNA_seq	non_granule_or_ambiguous	low	3	0.195166	0.464025	-0.268859	0.593163	0.107232	0.047619
GSE214309	snRNA_counts	immature_4hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	high	26	1.79801	0.244476	1.55354	2.05065	0.86783	0.42623
GSE214309	snRNA_counts	immature_4hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	medium	8	1.38908	0.334497	1.05458	1.41597	0.513716	0.131148
GSE214309	snRNA_counts	immature_4hr	dentate_gyrus	snRNA_seq	dentate_like_low_support	low	26	0.870983	0.185745	0.685238	1.53721	0.53616	0.42623
GSE214309	snRNA_counts	immature_4hr	dentate_gyrus	snRNA_seq	non_granule_or_ambiguous	low	1	0.115525	0.13412	-0.018595	1.95722	0.86783	0.0163934
GSE214309	snRNA_counts	immatureactive_1hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	high	6	1.62731	0.189664	1.43764	1.75147	0.704489	0.142857
GSE214309	snRNA_counts	immatureactive_1hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	medium	7	1.60864	0.108343	1.50029	1.18983	0.309227	0.166667
GSE214309	snRNA_counts	immatureactive_1hr	dentate_gyrus	snRNA_seq	dentate_like_low_support	low	25	0.731855	0.16772	0.564135	0.892709	0.189526	0.595238
GSE214309	snRNA_counts	immatureactive_1hr	dentate_gyrus	snRNA_seq	non_granule_or_ambiguous	low	4	0.218912	0.338234	-0.119322	1.05748	0.294264	0.0952381
GSE214309	snRNA_counts	immatureactive_4hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	high	16	1.73982	0.237964	1.50186	1.95594	0.832918	0.5
GSE214309	snRNA_counts	immatureactive_4hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	medium	2	1.6308	0.0954919	1.53531	1.15225	0.379052	0.0625
GSE214309	snRNA_counts	immatureactive_4hr	dentate_gyrus	snRNA_seq	dentate_like_low_support	low	12	0.750804	0.187722	0.563082	1.39841	0.523691	0.375
GSE214309	snRNA_counts	immatureactive_4hr	dentate_gyrus	snRNA_seq	non_granule_or_ambiguous	low	2	0.149628	0.210224	-0.0605955	0.951169	0.266833	0.0625
GSE214309	snRNA_counts	mature_1hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	high	9	1.85413	0.243434	1.61069	1.8666	0.78803	0.204545
GSE214309	snRNA_counts	mature_1hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	medium	6	1.45089	0.223152	1.22773	1.3564	0.504988	0.136364
GSE214309	snRNA_counts	mature_1hr	dentate_gyrus	snRNA_seq	dentate_like_low_support	low	27	0.684108	0.180715	0.503393	1.07795	0.381546	0.613636
GSE214309	snRNA_counts	mature_1hr	dentate_gyrus	snRNA_seq	non_granule_or_ambiguous	low	2	0.240019	0.416258	-0.176238	1.19412	0.401496	0.0454545
GSE214309	snRNA_counts	mature_4hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	high	22	1.58495	0.312213	1.27274	1.99966	0.826683	0.5
GSE214309	snRNA_counts	mature_4hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	medium	5	1.62562	0.222225	1.40339	1.46945	0.551122	0.113636
GSE214309	snRNA_counts	mature_4hr	dentate_gyrus	snRNA_seq	dentate_like_low_support	low	16	0.884256	0.181533	0.702722	1.38532	0.4601	0.363636
GSE214309	snRNA_counts	mature_4hr	dentate_gyrus	snRNA_seq	non_granule_or_ambiguous	low	1	0.955975	0.982687	-0.026712	1.91622	0.842893	0.0227273
GSE214309	snRNA_counts	matureactive_1hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	high	4	1.43609	0.117571	1.31852	1.83628	0.690773	0.0655738
GSE214309	snRNA_counts	matureactive_1hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	medium	7	1.22391	0.166501	1.05741	1.14941	0.331671	0.114754
GSE214309	snRNA_counts	matureactive_1hr	dentate_gyrus	snRNA_seq	dentate_like_low_support	low	42	0.59666	0.104717	0.491943	0.881686	0.206983	0.688525
GSE214309	snRNA_counts	matureactive_1hr	dentate_gyrus	snRNA_seq	non_granule_or_ambiguous	low	8	0.232874	0.319467	-0.0865933	0.676725	0.084788	0.131148
GSE214309	snRNA_counts	matureactive_4hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	high	16	1.44485	0.210293	1.23456	1.82821	0.778055	0.296296
GSE214309	snRNA_counts	matureactive_4hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	medium	4	1.29649	0.191516	1.10498	1.47262	0.562344	0.0740741
GSE214309	snRNA_counts	matureactive_4hr	dentate_gyrus	snRNA_seq	dentate_like_low_support	low	31	0.701132	0.140125	0.561007	1.44482	0.53616	0.574074
GSE214309	snRNA_counts	matureactive_4hr	dentate_gyrus	snRNA_seq	non_granule_or_ambiguous	low	3	0.374251	0.650823	-0.276572	1.58597	0.628429	0.0555556
GSE214905	patch_RNA_QC_counts	all	dentate_gyrus	patch_seq	candidate_dentate_granule	high	29	3.90956	0.249814	3.65975	4.31805	0.831579	0.305263
GSE214905	patch_RNA_QC_counts	all	dentate_gyrus	patch_seq	candidate_dentate_granule	medium	11	3.9653	0.286886	3.67841	3.30876	0.526316	0.115789
GSE214905	patch_RNA_QC_counts	all	dentate_gyrus	patch_seq	dentate_like_low_support	low	53	2.12614	0.151972	1.97417	2.71889	0.305263	0.557895
GSE214905	patch_RNA_QC_counts	all	dentate_gyrus	patch_seq	non_granule_or_ambiguous	low	2	0.115525	0.242995	-0.12747	1.42456	0.105263	0.0210526
GSE242688	WT_ZT12_rep1	all	cerebellum_spatial	visium_spatial	candidate_cerebellar_granule	high	130	0.364092	0.477114	-0.113022	1.15265	0.719924	0.0410483
GSE242688	WT_ZT12_rep1	all	cerebellum_spatial	visium_spatial	candidate_cerebellar_granule	medium	159	0.263502	0.391339	-0.127837	0.92697	0.477739	0.0502052
GSE242688	WT_ZT12_rep1	all	cerebellum_spatial	visium_spatial	cerebellum_dentate_panel_high_warning	low	925	0.821905	0.32839	0.493515	1.29615	0.846227	0.292075
GSE242688	WT_ZT12_rep1	all	cerebellum_spatial	visium_spatial	non_granule_or_ambiguous	low	1953	0.258365	0.162429	0.095936	0.745058	0.314809	0.616672
GSE242688	WT_ZT12_rep2	all	cerebellum_spatial	visium_spatial	candidate_cerebellar_granule	high	18	0.278127	0.358341	-0.0802144	1.22727	0.670746	0.0071062
GSE242688	WT_ZT12_rep2	all	cerebellum_spatial	visium_spatial	candidate_cerebellar_granule	medium	51	0.234334	0.313584	-0.0792494	1.05539	0.423608	0.0201342
GSE242688	WT_ZT12_rep2	all	cerebellum_spatial	visium_spatial	cerebellum_dentate_panel_high_warning	low	759	0.782	0.222206	0.559795	1.31904	0.819187	0.299645
GSE242688	WT_ZT12_rep2	all	cerebellum_spatial	visium_spatial	non_granule_or_ambiguous	low	1705	0.357641	0.164073	0.193567	0.984044	0.352152	0.673115
GSE292261	SS2_filtered_counts	DG_P10	dentate_gyrus	Smart_seq2	candidate_dentate_granule	high	45	2.78016	0.0881829	2.69197	3.16717	0.744597	0.494505
GSE292261	SS2_filtered_counts	DG_P10	dentate_gyrus	Smart_seq2	candidate_dentate_granule	medium	14	2.73802	0.152825	2.5852	2.69114	0.499018	0.153846
GSE292261	SS2_filtered_counts	DG_P10	dentate_gyrus	Smart_seq2	dentate_like_low_support	low	32	2.04846	0.0501978	1.99826	2.68245	0.518664	0.351648
GSE292261	SS2_filtered_counts	DG_P15	dentate_gyrus	Smart_seq2	candidate_dentate_granule	high	8	2.50758	0.0988496	2.40873	3.02799	0.669941	0.0860215
GSE292261	SS2_filtered_counts	DG_P15	dentate_gyrus	Smart_seq2	candidate_dentate_granule	medium	41	2.61056	0.099888	2.51067	2.59572	0.477407	0.44086
GSE292261	SS2_filtered_counts	DG_P15	dentate_gyrus	Smart_seq2	dentate_like_low_support	low	44	2.00445	0.114033	1.89042	2.46331	0.38998	0.473118
GSE292261	SS2_filtered_counts	DG_P28	dentate_gyrus	Smart_seq2	candidate_dentate_granule	medium	3	2.3319	0	2.3319	1.97948	0.251473	0.0193548
GSE292261	SS2_filtered_counts	DG_P28	dentate_gyrus	Smart_seq2	dentate_like_low_support	low	151	1.19093	0.0669707	1.12396	1.59822	0.153242	0.974194
GSE292261	SS2_filtered_counts	DG_P28	dentate_gyrus	Smart_seq2	non_granule_or_ambiguous	low	1	0	0	0	1.50172	0.121807	0.00645161
GSE292261	SS2_filtered_counts	DG_P5	dentate_gyrus	Smart_seq2	candidate_dentate_granule	high	65	2.88543	0.029212	2.85621	3.55552	0.911591	0.691489
GSE292261	SS2_filtered_counts	DG_P5	dentate_gyrus	Smart_seq2	candidate_dentate_granule	medium	1	2.34378	0	2.34378	2.80346	0.575639	0.0106383
GSE292261	SS2_filtered_counts	DG_P5	dentate_gyrus	Smart_seq2	dentate_like_low_support	low	28	1.99255	0.00206294	1.99049	3.38088	0.844794	0.297872
GSE292261	SS2_filtered_counts	DG_P7	dentate_gyrus	Smart_seq2	candidate_dentate_granule	high	24	2.75685	0.0291044	2.72774	3.26579	0.791749	0.315789
GSE292261	SS2_filtered_counts	DG_P7	dentate_gyrus	Smart_seq2	candidate_dentate_granule	medium	13	2.81128	0.0258035	2.78548	2.64214	0.516699	0.171053
GSE292261	SS2_filtered_counts	DG_P7	dentate_gyrus	Smart_seq2	dentate_like_low_support	low	39	1.95061	0.0736399	1.87697	2.84873	0.59725	0.513158
GSE312658	Ctrl	all	cerebellum	10x	candidate_cerebellar_granule	high	1113	0.178911	0.401499	-0.222588	0.712786	0.778052	0.229154
GSE312658	Ctrl	all	cerebellum	10x	candidate_cerebellar_granule	medium	726	0.099823	0.33857	-0.238747	0.398647	0.476323	0.149475
GSE312658	Ctrl	all	cerebellum	10x	cerebellum_dentate_panel_high_warning	low	732	0.268474	0.117707	0.150767	0.685447	0.779802	0.15071
GSE312658	Ctrl	all	cerebellum	10x	non_granule_or_ambiguous	low	2286	0.0626338	0.112438	-0.0498043	0.279711	0.242228	0.470661
GSE312658	cKO	all	cerebellum	10x	candidate_cerebellar_granule	high	1066	0.168354	0.379998	-0.211644	0.692753	0.745105	0.15347
GSE312658	cKO	all	cerebellum	10x	candidate_cerebellar_granule	medium	1191	0.109187	0.305282	-0.196095	0.413941	0.459689	0.171466
GSE312658	cKO	all	cerebellum	10x	cerebellum_dentate_panel_high_warning	low	1337	0.279565	0.0909491	0.188616	0.696231	0.787648	0.192485
GSE312658	cKO	all	cerebellum	10x	non_granule_or_ambiguous	low	3352	0.0765798	0.0909519	-0.0143721	0.349886	0.25907	0.48258
GSE95752	C1_all_cells	DC12	dentate_gyrus	C1	candidate_dentate_granule	high	4	0.69579	0	0.69579	0.735033	0.70647	0.1
GSE95752	C1_all_cells	DC12	dentate_gyrus	C1	candidate_dentate_granule	medium	10	0.563879	0.00577623	0.558103	0.471161	0.405775	0.25
GSE95752	C1_all_cells	DC12	dentate_gyrus	C1	dentate_like_low_support	low	21	0.261625	0.0126113	0.249014	0.619786	0.372558	0.525
GSE95752	C1_all_cells	DC12	dentate_gyrus	C1	non_granule_or_ambiguous	low	5	0	0.0597253	-0.0597253	0.0966949	0.0529744	0.125
GSE95752	C1_all_cells	DG03	dentate_gyrus	C1	candidate_dentate_granule	high	14	0.713807	0.0254563	0.688351	0.869652	0.789839	0.358974
GSE95752	C1_all_cells	DG03	dentate_gyrus	C1	candidate_dentate_granule	medium	5	0.496249	0.0231049	0.473144	0.512135	0.425532	0.128205
GSE95752	C1_all_cells	DG03	dentate_gyrus	C1	dentate_like_low_support	low	15	0.215565	0.0176558	0.197909	0.347635	0.363873	0.384615
GSE95752	C1_all_cells	DG03	dentate_gyrus	C1	non_granule_or_ambiguous	low	5	0.0712779	0.119451	-0.0481727	0.210918	0.2297	0.128205
GSE95752	C1_all_cells	DG04	dentate_gyrus	C1	candidate_dentate_granule	high	24	0.73741	0.0148495	0.72256	0.795763	0.725141	0.413793
GSE95752	C1_all_cells	DG04	dentate_gyrus	C1	candidate_dentate_granule	medium	13	0.628731	0.00888651	0.619844	0.544805	0.544941	0.224138
GSE95752	C1_all_cells	DG04	dentate_gyrus	C1	dentate_like_low_support	low	17	0.29286	0.00339778	0.289462	0.503591	0.443335	0.293103
GSE95752	C1_all_cells	DG04	dentate_gyrus	C1	non_granule_or_ambiguous	low	4	0	0.0708582	-0.0708582	0.112631	0.101389	0.0689655
GSE95752	C1_all_cells	DG05	dentate_gyrus	C1	candidate_dentate_granule	high	60	0.753271	0.0178195	0.735452	0.849755	0.788971	0.47619
GSE95752	C1_all_cells	DG05	dentate_gyrus	C1	candidate_dentate_granule	medium	17	0.56286	0.0155787	0.547281	0.535695	0.523665	0.134921
GSE95752	C1_all_cells	DG05	dentate_gyrus	C1	dentate_like_low_support	low	33	0.31051	0.0115261	0.298984	0.498179	0.465914	0.261905
GSE95752	C1_all_cells	DG05	dentate_gyrus	C1	non_granule_or_ambiguous	low	16	0.00361014	0.0812635	-0.0776534	0.134952	0.130699	0.126984
GSE95752	C1_all_cells	DG06	dentate_gyrus	C1	candidate_dentate_granule	high	14	0.729979	0.0106652	0.719314	0.739854	0.720582	0.333333
GSE95752	C1_all_cells	DG06	dentate_gyrus	C1	candidate_dentate_granule	medium	5	0.535912	0	0.535912	0.544275	0.549284	0.119048
GSE95752	C1_all_cells	DG06	dentate_gyrus	C1	dentate_like_low_support	low	16	0.261442	0.0300434	0.231398	0.514183	0.460269	0.380952
GSE95752	C1_all_cells	DG06	dentate_gyrus	C1	non_granule_or_ambiguous	low	7	0.0165035	0.156163	-0.139659	0.227351	0.233608	0.166667
GSE95752	C1_all_cells	DG07	dentate_gyrus	C1	candidate_dentate_granule	high	44	0.691245	0.0152085	0.676037	0.83572	0.781806	0.372881
GSE95752	C1_all_cells	DG07	dentate_gyrus	C1	candidate_dentate_granule	medium	15	0.548337	0.00770164	0.540635	0.532627	0.512809	0.127119
GSE95752	C1_all_cells	DG07	dentate_gyrus	C1	dentate_like_low_support	low	41	0.310233	0.0124081	0.297825	0.582335	0.50673	0.347458
GSE95752	C1_all_cells	DG07	dentate_gyrus	C1	non_granule_or_ambiguous	low	18	0.00745111	0.0952104	-0.0877593	0.132981	0.0780504	0.152542
GSE95752	C1_all_cells	DG08	dentate_gyrus	C1	candidate_dentate_granule	high	31	0.70437	0.0204963	0.683873	0.795797	0.739904	0.262712
GSE95752	C1_all_cells	DG08	dentate_gyrus	C1	candidate_dentate_granule	medium	24	0.570844	0.0182552	0.552589	0.519547	0.535606	0.20339
GSE95752	C1_all_cells	DG08	dentate_gyrus	C1	dentate_like_low_support	low	48	0.292221	0.00601691	0.286204	0.485277	0.433565	0.40678
GSE95752	C1_all_cells	DG08	dentate_gyrus	C1	non_granule_or_ambiguous	low	15	0.0154033	0.081163	-0.0657597	0.148332	0.121581	0.127119
