node	module_id	module_label	module_family	context_match	n_contrasts	median_signed_module_shift_score	median_abs_module_shift_score	median_coverage_fraction	dominant_direction	node_module_support_class	strongest_contrast
RBFOX3/RBFOX1	downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	matched_context	1	0.11064330510558737	0.11064330510558737	0.9523809523809523	up_shift	weak_shift	GSE71916_siRbfox1_3_vs_siNT
RBFOX3/RBFOX1	downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	matched_context	1	-0.1072185	0.1072185	1.0	down_shift	weak_shift	GSE71916_siRbfox1_3_vs_siNT
SHH/PTCH/Norrin	downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	matched_context	4	0.10427398264063888	0.10427398264063888	0.95	up_shift	weak_shift	GSE81962_Ptch_het_GNP_vs_WT_GNP
BDNF/NTRK2	tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	matched_context	5	0.10024035001820471	0.10024035001820471	0.2	up_shift	weak_shift	GSE242199_NTRK2ko_0h_vs_WT_0h
RBFOX3	semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	matched_context	1	0.06178281179212503	0.06178281179212503	1.0	near_zero	near_zero_or_mixed	GSE84786_Rbfox3_KO_vs_WT
RBFOX3	fgf_mapk	FGF/MAPK	neurogenic_permissive	matched_context	1	-0.0573323359490932	0.0573323359490932	1.0	near_zero	near_zero_or_mixed	GSE84786_Rbfox3_KO_vs_WT
RBFOX3/RBFOX1	semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	matched_context	1	0.0538106	0.0538106	1.0	near_zero	near_zero_or_mixed	GSE71916_siRbfox1_3_vs_siNT
RBFOX3/RBFOX1	reelin_migration_stop	Reelin/migration-stop	differentiation_stop	matched_context	1	0.05142885	0.05142885	1.0	near_zero	near_zero_or_mixed	GSE71916_siRbfox1_3_vs_siNT
BDNF/NTRK2	downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	matched_context	5	0.037936870687964586	0.037936870687964586	1.0	near_zero	near_zero_or_mixed	GSE242199_NTRK2ko_3h_BDNF_vs_vehicle
SHH/PTCH/Norrin	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	matched_context	4	-0.026549596500000217	0.026549596500000217	1.0	near_zero	near_zero_or_mixed	GSE81962_Ptch_het_GNP_vs_WT_GNP
RBFOX3/RBFOX1	bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	matched_context	1	-0.02298445	0.02298445	1.0	near_zero	near_zero_or_mixed	GSE71916_siRbfox1_3_vs_siNT
RBFOX3	bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	matched_context	1	-0.021285644243731926	0.021285644243731926	1.0	near_zero	near_zero_or_mixed	GSE84786_Rbfox3_KO_vs_WT
RBFOX3/RBFOX1	fgf_mapk	FGF/MAPK	neurogenic_permissive	matched_context	1	-0.01886375432035796	0.01886375432035796	0.8823529411764706	near_zero	near_zero_or_mixed	GSE71916_siRbfox1_3_vs_siNT
RBFOX3	reelin_migration_stop	Reelin/migration-stop	differentiation_stop	matched_context	1	0.016992274670777845	0.016992274670777845	1.0	near_zero	near_zero_or_mixed	GSE84786_Rbfox3_KO_vs_WT
SHH/PTCH/Norrin	downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	matched_context	4	0.01672362662499971	0.01672362662499971	1.0	near_zero	near_zero_or_mixed	GSE81962_Ndp_KO_GNP_vs_WT_GNP
BDNF/NTRK2	fgf_mapk	FGF/MAPK	neurogenic_permissive	matched_context	5	-0.015689562766161652	0.015689562766161652	0.23529411764705882	near_zero	near_zero_or_mixed	GSE242199_NTRK2ko_0h_vs_WT_0h
BDNF/NTRK2	downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	matched_context	5	0.013853034215239646	0.013853034215239646	1.0	near_zero	near_zero_or_mixed	GSE242199_NTRK2ko_0h_vs_WT_0h
