dataset	accession	node	contrast_id	contrast_label	species	model_or_tissue	module_id	module_label	module_family	hypothesis_role	n_module_genes	n_genes_available	coverage_fraction	median_effect	mean_effect	positive_fraction	negative_fraction	signed_module_shift_score	direction_call	support_class	context_match	top_abs_effect_genes
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	18	8	0.4444444444444444	-0.011645625132311821	-0.2935248396045177	0.5	0.5	-0.00776375008820788	near_zero	near_zero_or_mixed	matched_context	NTRK2;BDNF;MAP2K1;SOS1;MAPK14
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	15	6	0.4	1.1369960171866775	1.279037277560817	0.8333333333333334	0.16666666666666666	0.7190994209699706	up_shift	strong_shift	off_context	ID1;ACVR1;BMP4;ID2;BMPR1A
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	13	13	1.0	0.20117346591497576	0.10927082995100365	0.6923076923076923	0.23076923076923078	0.20117346591497576	up_shift	moderate_shift	off_context	ZIC2;GLI2;ZIC1;PTCH1;PAX6
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	17	17	1.0	0.07010828288361637	-0.3747875363237219	0.5294117647058824	0.4117647058823529	0.07010828288361637	near_zero	near_zero_or_mixed	off_context	NEUROD2;NEUROD1;LEF1;C1QL3;TBR1
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	21	21	1.0	-0.2023943633103178	-0.2584980180312456	0.23809523809523808	0.7619047619047619	-0.2023943633103178	down_shift	moderate_shift	matched_context	DCC;NRXN1;STMN2;CADM3;PLXNA4
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	20	20	1.0	0.15926719576424153	0.178985021095401	0.6	0.35	0.15926719576424153	up_shift	weak_shift	matched_context	SLC17A6;CAMK2B;GRIN2B;GABRA2;SYNPR
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	fgf_mapk	FGF/MAPK	neurogenic_permissive	neurogenic niche maintenance and MAPK-linked growth signaling	17	4	0.23529411764705882	0.307062601094374	0.42292262310990136	1.0	0.0	0.14894723976341234	up_shift	weak_shift	matched_context	FGF8;MAP2K1;FRS2;MAPK1
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	notch_hes	Notch/HES	neurogenic_permissive	persistent neurogenic progenitor-state and differentiation timing control	14	7	0.5	0.1589658145379289	0.0657549688184998	0.8571428571428571	0.14285714285714285	0.1124058054366126	up_shift	weak_shift	off_context	HES5;NOTCH2;DLL1;HES1;JAG1
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	reelin_migration_stop	Reelin/migration-stop	differentiation_stop	lamination, migration-stop, and maturation positioning cues	10	3	0.3	-0.07880729878027104	-0.17006192257839103	0.3333333333333333	0.6666666666666666	-0.04316453523800381	near_zero	near_zero_or_mixed	off_context	DAB1;PAFAH1B1;CDK5R1
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	axon guidance, pruning, fasciculation, and local circuit architecture	17	10	0.5882352941176471	-0.10886910885262857	-0.024773605132008082	0.4	0.6	-0.08349879485697943	down_shift	weak_shift	off_context	SEMA3C;SEMA5A;PLXNA4;SEMA6D;SEMA7A
