dataset	sample	stage_label	stage_order	canonical_gene	source_gene_symbol	candidate_n_cells	candidate_detection_fraction	candidate_mean_log1p_expression	candidate_rank	background_median_rank	candidate_minus_background_rank	background_median_detection	candidate_minus_background_detection	background_classes	mechanism_class	secretome_class	medium_compatibility	expected_effect	rationale	pathway_roles
GSE122357	GSM3464549_P0	P0	0.0	BDNF	Bdnf	2678	0.0059746079163554	0.0042926885724672	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.01096209380173545	-0.0049874858853800495	broad_neuronal_structural_warning,other_or_ambiguous	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE122357	GSM3464550_P8a	P8a	8.1	BDNF	Bdnf	2082	0.0062439961575408	0.0043280083320265	0.6666666666666666	0.6666666666666666	0.0	0.0071432033077329	-0.0008992071501921	broad_neuronal_structural_warning,other_or_ambiguous	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE122357	GSM3464551_P8b	P8b	8.2	BDNF	Bdnf	2697	0.0025954764553207	0.0017990471872152	0.6666666666666666	0.6666666666666666	0.0	0.00251045131292345	8.50251423972501e-05	broad_neuronal_structural_warning,other_or_ambiguous	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE165657	Cerebellum_aggr	aggregate	100.0	BDNF	BDNF	25064	0.0017156080434088	0.0011891688782348	0.6666666666666666	0.6666666666666666	0.0	0.0016615187482321	5.4089295176699926e-05	broad_neuronal_structural_warning,other_or_ambiguous	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE312658	Ctrl	adult_or_ctrl	200.0	BDNF	Bdnf	1829	0.0224166211044286	0.0177480934740518	1.0	0.5	0.5	0.0158071352878841	0.0066094858165445	broad_neuronal_structural_warning,other_or_ambiguous	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE312658	cKO	perturbed_cKO	201.0	BDNF	Bdnf	2329	0.017174753112924	0.0131456672306972	0.6666666666666666	0.6666666666666666	0.0	0.0184088901234139	-0.0012341370104899003	broad_neuronal_structural_warning,other_or_ambiguous	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE122357	GSM3464549_P0	P0	0.0	BMP2	Bmp2	2678	0.0026138909634055	0.0021146230321642	0.6666666666666666	0.6666666666666666	0.0	0.0028172188415596	-0.0002033278781540999	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	GSM3464550_P8a	P8a	8.1	BMP2	Bmp2	2082	0.0028818443804034	0.0023870380881729	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.0063894748387327005	-0.0035076304583293006	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE122357	GSM3464551_P8b	P8b	8.2	BMP2	Bmp2	2697	0.0003707823507601	0.0002570067410307	0.3333333333333333	0.8333333333333333	-0.49999999999999994	0.0038141447819210004	-0.0034433624311609005	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
GSE165657	Cerebellum_aggr	aggregate	100.0	BMP2	BMP2	25064	0.0060245770826683	0.0043976999977022	1.0	0.5	0.5	0.00465794886935865	0.0013666282133096503	broad_neuronal_structural_warning,other_or_ambiguous	BMP/GDF superfamily	secreted_medium_compatible	high	anti_proliferative_or_differentiation	BMP differentiation/neurogenic brake candidate	bmp_smad:ligand
