canonical_gene	p0_rank	p8_median_rank	p8_minus_p0_rank	p0_detection	p8_median_detection	p8_minus_p0_detection
BDNF	0.3333333333333333	0.6666666666666666	0.3333333333333333	0.0059746079163554	0.00441973630643075	-0.00155487160992465
BMP2	0.6666666666666666	0.3333333333333333	-0.3333333333333333	0.0026138909634055	0.0016263133655817499	-0.0009875775978237503
BMP4	0.3333333333333333	0.3333333333333333	0.0	0.0022404779686333	0.0049759098325709	0.0027354318639376
BMP7	1.0	0.3333333333333333	-0.6666666666666667	0.0739357729648991	0.017586516772291498	-0.056349256192607604
CXCL12	1.0	1.0	0.0	0.3864824495892457	0.2270224467574709	-0.1594600028317748
DKK3	0.3333333333333333	0.3333333333333333	0.0	0.0414488424197162	0.0134742519973628	-0.0279745904223534
DLL1	0.3333333333333333	0.3333333333333333	0.0	0.0100821508588498	0.010920982754880751	0.0008388318960309508
DLL3	1.0	0.5	-0.5	0.1949215832710978	0.1544642408738923	-0.0404573423972055
DLL4	0.3333333333333333	0.3333333333333333	0.0	0.0048543689320388	0.0059787318388774	0.0011243629068386001
FGF10	0.6666666666666666	0.5	-0.16666666666666663	0.0220313666915608	0.003829903863723	-0.0182014628278378
FGF2	0.3333333333333333	0.5	0.16666666666666669	0.0033607169529499	0.0046809936112170505	0.0013202766582671504
FGF8	1.0	1.0	0.0	0.0687079910380881	0.04492690672419665	-0.02378108431389145
FGF9	1.0	1.0	0.0	0.3241224794622853	0.42143821879150595	0.09731573932922066
FRZB	1.0	0.3333333333333333	-0.6666666666666667	0.0100821508588498	0.0075291790750529	-0.0025529717837969
GDF10	0.3333333333333333	0.3333333333333333	0.0	0.0694548170276325	0.0205527755783723	-0.04890204144926019
GDF11	1.0	0.6666666666666666	-0.33333333333333337	0.0649738610903659	0.06618705381900475	0.0012131927286388455
GDF15	0.6666666666666666	0.6666666666666666	0.0	0.0011202389843166	0.0003707823507601	-0.0007494566335564999
IGF1	0.3333333333333333	0.3333333333333333	0.0	0.0033607169529499	0.0102130769699281	0.006852360016978199
IGF2	0.3333333333333333	0.5	0.16666666666666669	0.0022404779686333	0.009273565782879651	0.007033087814246351
INHBA	0.6666666666666666	1.0	0.33333333333333337	0.0003734129947722	0.00188757067036805	0.00151415767559585
INHBB	1.0	0.3333333333333333	-0.6666666666666667	0.0761762509335324	0.00627364806023125	-0.06990260287330116
JAG1	0.3333333333333333	0.3333333333333333	0.0	0.0179238237490664	0.014468525707398198	-0.0034552980416682026
JAG2	0.6666666666666666	0.3333333333333333	-0.3333333333333333	0.001867064973861	0.0012218720982540999	-0.0006451928756069001
MDK	0.6666666666666666	0.5	-0.16666666666666663	0.6258401792382375	0.5769611127317256	-0.04887906650651197
NODAL	1.0	0.5	-0.5	0.0007468259895444	0.0	-0.0007468259895444
NTF3	1.0	1.0	0.0	0.1740104555638536	0.0402202682241662	-0.1337901873396874
NTN1	1.0	1.0	0.0	0.0933532486930545	0.17228289731679663	0.07892964862374213
PTN	1.0	1.0	0.0	0.9473487677371172	0.990705330610701	0.043356562873583804
RELN	1.0	1.0	0.0	0.7766990291262136	0.6927258807149368	-0.08397314841127679
SEMA3A	0.6666666666666666	0.3333333333333333	-0.3333333333333333	0.0623599701269604	0.017426236217207902	-0.0449337339097525
SEMA3C	0.6666666666666666	0.3333333333333333	-0.3333333333333333	0.0029873039581777	0.00236787806710195	-0.0006194258910757499
SEMA3E	0.3333333333333333	0.5	0.16666666666666669	0.0014936519790888	0.0024985067194951	0.0010048547404063
SEMA5A	1.0	0.3333333333333333	-0.6666666666666667	0.0836445108289768	0.0262320499135019	-0.057412460915474896
SEMA6A	1.0	1.0	0.0	0.69865571321882	0.6846947563682135	-0.013960956850606498
SEMA6D	0.6666666666666666	0.3333333333333333	-0.3333333333333333	0.248319641523525	0.2051970435717346	-0.04312259795179041
SEMA7A	1.0	0.8333333333333333	-0.16666666666666674	0.1964152352501867	0.337988682055737	0.1415734468055503
SFRP1	1.0	1.0	0.0	0.2714712471994025	0.7611074424672948	0.48963619526789226
SFRP2	0.6666666666666666	1.0	0.33333333333333337	0.1445108289768484	0.25630917691660815	0.11179834793975976
SFRP4	0.3333333333333333	0.8333333333333333	0.49999999999999994	0.0112023898431665	0.0111063739302608	-9.601591290570033e-05
SHH	0.6666666666666666	0.5	-0.16666666666666663	0.001867064973861	0.0009058522704809	-0.0009612127033801
SLIT1	1.0	0.5	-0.5	0.0253920836445108	0.00214882797515435	-0.023243255669356453
SLIT2	0.6666666666666666	0.5	-0.16666666666666663	0.0642270351008215	0.0374353935795883	-0.026791641521233207
SLIT3	1.0	0.6666666666666666	-0.33333333333333337	0.0134428678117998	0.00268389789487515	-0.010758969916924651
SPARC	0.3333333333333333	0.3333333333333333	0.0	0.0694548170276325	0.09821244439600404	0.02875762736837155
SPARCL1	0.3333333333333333	0.3333333333333333	0.0	0.0989544436146377	0.08250949128020349	-0.016444952334434215
TGFB1	0.6666666666666666	0.3333333333333333	-0.3333333333333333	0.0190440627333831	0.01016686274321235	-0.008877199990170751
TGFB2	0.3333333333333333	1.0	0.6666666666666667	0.0937266616878267	0.3612710354871834	0.2675443737993567
TGFB3	0.3333333333333333	0.3333333333333333	0.0	0.0231516056758775	0.0083044026931407	-0.014847202982736799
TGFBI	0.6666666666666666	0.5	-0.16666666666666663	0.0011202389843166	0.0021824868917219	0.0010622479074052999
THBS1	0.3333333333333333	0.5	0.16666666666666669	0.0007468259895444	0.0012218720982540999	0.0004750461087096999
THBS2	0.3333333333333333	0.3333333333333333	0.0	0.0067214339058999	0.002127724368735	-0.0045937095371649
WIF1	0.3333333333333333	0.3333333333333333	0.0	0.0089619118745332	0.00310944276862215	-0.005852469105911051
WNT5A	0.3333333333333333	0.3333333333333333	0.0	0.0369678864824495	0.029021465840473798	-0.007946420641975704
WNT7A	0.3333333333333333	0.3333333333333333	0.0	0.0007468259895444	0.0024437441965081998	0.0016969182069637998
WNT7B	0.3333333333333333	0.3333333333333333	0.0	0.0149365197908887	0.008738495863158849	-0.006198023927729852
