dataset	core_branch	sample	source_layer	expression_scope	broad_class	n_cells	gene	canonical_gene	source_gene_symbol	detection_fraction	mean_expression	mean_log1p_expression	source_path	eligible_class	mean_log1p_rank_within_sample_gene	stage_label	stage_order	mechanism_class	secretome_class	medium_compatibility	expected_effect	rationale	pathway_roles
GSE122357	cerebellum	GSM3464549_P0	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	broad_neuronal_structural_warning	353	BDNF	BDNF	Bdnf	0.0113314447592068	0.0113314447592068	0.0078543589865149	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464549_P0.csv.gz	True	1.0	P0	0.0	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE122357	cerebellum	GSM3464549_P0	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	2678	BDNF	BDNF	Bdnf	0.0059746079163554	0.0063480209111277	0.0042926885724672	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464549_P0.csv.gz	True	0.3333333333333333	P0	0.0	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE122357	cerebellum	GSM3464549_P0	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	other_or_ambiguous	4437	BDNF	BDNF	Bdnf	0.0105927428442641	0.0110434978589136	0.0075250952676433	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464549_P0.csv.gz	True	0.6666666666666666	P0	0.0	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE122357	cerebellum	GSM3464550_P8a	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	broad_neuronal_structural_warning	319	BDNF	BDNF	Bdnf	0.0094043887147335	0.0094043887147335	0.0065186255225073	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464550_P8a.csv.gz	True	1.0	P8a	8.1	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE122357	cerebellum	GSM3464550_P8a	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	2082	BDNF	BDNF	Bdnf	0.0062439961575408	0.0062439961575408	0.0043280083320265	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464550_P8a.csv.gz	True	0.6666666666666666	P8a	8.1	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE122357	cerebellum	GSM3464550_P8a	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	other_or_ambiguous	3687	BDNF	BDNF	Bdnf	0.0048820179007323	0.005424464334147	0.0036039000451031	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464550_P8a.csv.gz	True	0.3333333333333333	P8a	8.1	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE122357	cerebellum	GSM3464551_P8b	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	broad_neuronal_structural_warning	499	BDNF	BDNF	Bdnf	0.002004008016032	0.002004008016032	0.0013890725061321	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464551_P8b.csv.gz	True	0.3333333333333333	P8b	8.2	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE122357	cerebellum	GSM3464551_P8b	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	2697	BDNF	BDNF	Bdnf	0.0025954764553207	0.0025954764553207	0.0017990471872152	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464551_P8b.csv.gz	True	0.6666666666666666	P8b	8.2	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE122357	cerebellum	GSM3464551_P8b	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	other_or_ambiguous	4972	BDNF	BDNF	Bdnf	0.0030168946098149	0.0030168946098149	0.0020911519928397	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464551_P8b.csv.gz	True	1.0	P8b	8.2	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE165657	cerebellum	Cerebellum_aggr	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	broad_neuronal_structural_warning	12154	BDNF	BDNF	BDNF	0.002056935988152	0.002056935988152	0.0014257593807798	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz	True	1.0	aggregate	100.0	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE165657	cerebellum	Cerebellum_aggr	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	25064	BDNF	BDNF	BDNF	0.0017156080434088	0.0017156080434088	0.0011891688782348	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz	True	0.6666666666666666	aggregate	100.0	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE165657	cerebellum	Cerebellum_aggr	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	other_or_ambiguous	36332	BDNF	BDNF	BDNF	0.0012661015083122	0.0012661015083122	0.0008775946907893	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz	True	0.3333333333333333	aggregate	100.0	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE312658	cerebellum	Ctrl	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	broad_neuronal_structural_warning	596	BDNF	BDNF	Bdnf	0.0184563758389261	0.0285234899328859	0.0168748483805509	External_Data/GEO/GSE312658/GSM9350909_Ctrl_matrix.mtx.gz	True	0.6666666666666666	adult_or_ctrl	200.0	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
GSE312658	cerebellum	Ctrl	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	cerebellar_candidate	1829	BDNF	BDNF	Bdnf	0.0224166211044286	0.0284308365226899	0.0177480934740518	External_Data/GEO/GSE312658/GSM9350909_Ctrl_matrix.mtx.gz	True	1.0	adult_or_ctrl	200.0	neurotrophin	secreted_medium_compatible	high	maturation_survival_context_dependent	2005 anchor; TrkB/MAPK and SMAD-convergent factor	bdnf_trkb_mapk:ligand
