download_rank	asset_id	path	subject	session	size_bytes	size_gb	local_path	download_url_api	download_command
1	9a2b884e-620c-43cc-8071-31b9e201cadf	sub-YutaMouse44/sub-YutaMouse44_ses-YutaMouse44-151128_behavior+ecephys.nwb	YutaMouse44	YutaMouse44-151128	7036142274	7.036142274	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse44/sub-YutaMouse44_ses-YutaMouse44-151128_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/9a2b884e-620c-43cc-8071-31b9e201cadf/download/	mkdir -p '/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse44' && curl -L --fail --continue-at - -o '/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse44/sub-YutaMouse44_ses-YutaMouse44-151128_behavior+ecephys.nwb' 'https://api.dandiarchive.org/api/assets/9a2b884e-620c-43cc-8071-31b9e201cadf/download/'
2	036cce35-9518-45ea-9ba2-abe177afb382	sub-YutaMouse54/sub-YutaMouse54_ses-YutaMouse54-160630_behavior+ecephys.nwb	YutaMouse54	YutaMouse54-160630	7153577009	7.153577009	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse54/sub-YutaMouse54_ses-YutaMouse54-160630_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/036cce35-9518-45ea-9ba2-abe177afb382/download/	mkdir -p '/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse54' && curl -L --fail --continue-at - -o '/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse54/sub-YutaMouse54_ses-YutaMouse54-160630_behavior+ecephys.nwb' 'https://api.dandiarchive.org/api/assets/036cce35-9518-45ea-9ba2-abe177afb382/download/'
3	7f743de5-f2e0-4189-8320-37bc63d4d24e	sub-YutaMouse57/sub-YutaMouse57_ses-YutaMouse57-161004_behavior+ecephys.nwb	YutaMouse57	YutaMouse57-161004	7733488157	7.733488157	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse57/sub-YutaMouse57_ses-YutaMouse57-161004_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/7f743de5-f2e0-4189-8320-37bc63d4d24e/download/	mkdir -p '/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse57' && curl -L --fail --continue-at - -o '/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse57/sub-YutaMouse57_ses-YutaMouse57-161004_behavior+ecephys.nwb' 'https://api.dandiarchive.org/api/assets/7f743de5-f2e0-4189-8320-37bc63d4d24e/download/'
4	d7c947c3-be9c-48a9-82a0-a9dba040566c	sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151103_behavior+ecephys.nwb	YutaMouse42	YutaMouse42-151103	7772039166	7.772039166	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151103_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/d7c947c3-be9c-48a9-82a0-a9dba040566c/download/	mkdir -p '/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse42' && curl -L --fail --continue-at - -o '/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151103_behavior+ecephys.nwb' 'https://api.dandiarchive.org/api/assets/d7c947c3-be9c-48a9-82a0-a9dba040566c/download/'
5	beaeec28-6ab4-4878-b14d-aeaa5705a32a	sub-YutaMouse56/sub-YutaMouse56_ses-YutaMouse56-160916_behavior+ecephys.nwb	YutaMouse56	YutaMouse56-160916	7940718360	7.94071836	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse56/sub-YutaMouse56_ses-YutaMouse56-160916_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/beaeec28-6ab4-4878-b14d-aeaa5705a32a/download/	mkdir -p '/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse56' && curl -L --fail --continue-at - -o '/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse56/sub-YutaMouse56_ses-YutaMouse56-160916_behavior+ecephys.nwb' 'https://api.dandiarchive.org/api/assets/beaeec28-6ab4-4878-b14d-aeaa5705a32a/download/'
6	696181f1-df16-40ee-bdf7-cee9933b1def	sub-YutaMouse39/sub-YutaMouse39_ses-YutaMouse39-150728_behavior+ecephys.nwb	YutaMouse39	YutaMouse39-150728	8006268882	8.006268882	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse39/sub-YutaMouse39_ses-YutaMouse39-150728_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/696181f1-df16-40ee-bdf7-cee9933b1def/download/	mkdir -p '/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse39' && curl -L --fail --continue-at - -o '/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse39/sub-YutaMouse39_ses-YutaMouse39-150728_behavior+ecephys.nwb' 'https://api.dandiarchive.org/api/assets/696181f1-df16-40ee-bdf7-cee9933b1def/download/'
7	95a8893b-72cf-4c69-9a56-f18f6ae55c16	sub-YutaMouse40/sub-YutaMouse40_ses-YutaMouse40-150816_behavior+ecephys.nwb	YutaMouse40	YutaMouse40-150816	8179446025	8.179446025	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse40/sub-YutaMouse40_ses-YutaMouse40-150816_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/95a8893b-72cf-4c69-9a56-f18f6ae55c16/download/	mkdir -p '/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse40' && curl -L --fail --continue-at - -o '/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse40/sub-YutaMouse40_ses-YutaMouse40-150816_behavior+ecephys.nwb' 'https://api.dandiarchive.org/api/assets/95a8893b-72cf-4c69-9a56-f18f6ae55c16/download/'
8	fdd53e90-a1e4-4879-ba62-267740f9c402	sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151117_behavior+ecephys.nwb	YutaMouse42	YutaMouse42-151117	8376089269	8.376089269	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151117_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/fdd53e90-a1e4-4879-ba62-267740f9c402/download/	mkdir -p '/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse42' && curl -L --fail --continue-at - -o '/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151117_behavior+ecephys.nwb' 'https://api.dandiarchive.org/api/assets/fdd53e90-a1e4-4879-ba62-267740f9c402/download/'
9	5e9e92e1-f044-4aa0-ab47-1cfcb8899348	sub-YutaMouse20/sub-YutaMouse20_ses-YutaMouse20-140327_behavior+ecephys.nwb	YutaMouse20	YutaMouse20-140327	8417855886	8.417855886	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse20/sub-YutaMouse20_ses-YutaMouse20-140327_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/5e9e92e1-f044-4aa0-ab47-1cfcb8899348/download/	mkdir -p '/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse20' && curl -L --fail --continue-at - -o '/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse20/sub-YutaMouse20_ses-YutaMouse20-140327_behavior+ecephys.nwb' 'https://api.dandiarchive.org/api/assets/5e9e92e1-f044-4aa0-ab47-1cfcb8899348/download/'
10	f7eb8e0e-5be5-4a5c-833a-036fc788d075	sub-YutaMouse40/sub-YutaMouse40_ses-YutaMouse40-150814_behavior+ecephys.nwb	YutaMouse40	YutaMouse40-150814	8422321677	8.422321677	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse40/sub-YutaMouse40_ses-YutaMouse40-150814_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/f7eb8e0e-5be5-4a5c-833a-036fc788d075/download/	mkdir -p '/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse40' && curl -L --fail --continue-at - -o '/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse40/sub-YutaMouse40_ses-YutaMouse40-150814_behavior+ecephys.nwb' 'https://api.dandiarchive.org/api/assets/f7eb8e0e-5be5-4a5c-833a-036fc788d075/download/'
