cell_type	n_units	median_spatial_information_bits_per_spike	median_spatial_sparsity	median_active_spatial_bin_fraction	median_awake_moving_rate_hz	median_selectivity_max_over_mean
pyramidal cell	36	0.4205588633599818	0.579065094890238	0.7560975609756098	0.4106214012109161	10.331786550676737
granule cell	26	0.7800233536711016	0.45366475636441067	0.5489137678262028	0.06267310831305481	11.638246492252597
narrow waveform cell	23	0.17927557581080134	0.7968715883596129	0.9902439024390244	2.5727252465496866	4.560899416493046
unknown	16	0.4480116215152964	0.5916475293731573	0.8395061728395061	0.2771146343738985	8.956070224818934
missing	6	0.7521943501110164	0.4638370795293213	0.7549800796812749	0.12958971152088142	12.50566185089675
mossy cell	6	0.5883713815199394	0.5398159807517005	0.8688783958814946	0.7113463824405482	11.501324065843118
wide waveform cell (narrower, exclude opto tagged SST cell)	5	0.43478441945148216	0.6399391013806555	0.8765432098765432	0.6792621272549076	4.035871494497693
wide waveform cell (wider)	4	0.15518398384891113	0.8207691852906549	0.9024390243902438	3.598156106566524	3.6665704524609932
positive waveform unit (bursty)	1	1.0894824162260193	0.19351239055643946	0.6341463414634146	0.4946635469127536	54.290373563218395
positive negative waveform unit	1	0.6349367836513975	0.3182770390200738	0.5853658536585366	0.2994514958322416	47.43521288837745
