state_id	state_label	start_time_s	stop_time_s	duration_s
0	awake	0.0	436.0	436.0
1	awake	4437.0	4544.0	107.0
2	nrem	4544.0	5047.0	503.0
3	transit	5047.0	5061.0	14.0
4	rem	5061.0	5145.0	84.0
5	nrem	5145.0	5647.0	502.0
6	transit	5647.0	5666.0	19.0
7	rem	5666.0	5713.0	47.0
8	nrem	5713.0	6583.0	870.0
9	transit	6583.0	6599.0	16.0
10	rem	6599.0	6765.0	166.0
11	nrem	6765.0	7650.0	885.0
12	transit	7650.0	7664.0	14.0
13	rem	7664.0	7798.0	134.0
14	nrem	7798.0	8366.0	568.0
15	awake	8366.0	9874.0	1508.0
16	nrem	9874.0	11004.0	1130.0
17	transit	11004.0	11012.0	8.0
18	rem	11012.0	11079.0	67.0
19	nrem	11079.0	11760.0	681.0
20	transit	11760.0	11770.0	10.0
21	rem	11770.0	11805.0	35.0
22	nrem	11805.0	12571.0	766.0
23	transit	12571.0	12579.0	8.0
24	rem	12579.0	12631.0	52.0
25	awake	12631.0	12919.0	288.0
26	nrem	12919.0	13327.0	408.0
27	transit	13327.0	13337.0	10.0
28	rem	13337.0	13537.0	200.0
29	nrem	13537.0	14348.0	811.0
30	transit	14348.0	14356.0	8.0
31	rem	14356.0	14397.0	41.0
32	nrem	14397.0	14591.0	194.0
33	awake	14591.0	15569.0	978.0
34	nrem	15569.0	16545.0	976.0
35	transit	16545.0	16551.0	6.0
36	rem	16551.0	16580.0	29.0
37	nrem	16580.0	16615.0	35.0
38	transit	16615.0	16627.0	12.0
39	rem	16627.0	16685.0	58.0
