state_label	cell_type	n_units	n_state_intervals	total_state_duration_s	total_spikes	pooled_unit_rate_hz	median_unit_state_rate_hz	fraction_unit_intervals_active
awake	pyramidal cell	10	5	3317.0	35599	1.0732288212239975	0.7301730221692259	1.0
awake	narrow waveform cell	3	5	3317.0	92869	9.332629886443573	5.096153846153846	1.0
awake	granule cell	3	5	3317.0	5646	0.5673801627977088	0.610079575596817	1.0
awake	wide waveform cell (wider)	2	5	3317.0	23480	3.5393427796201387	2.9947916666666665	1.0
awake	mossy cell	1	5	3317.0	2964	0.893578534820621	0.9237400530503979	1.0
awake	wide waveform cell (narrower, exclude opto tagged SST cell)	1	5	3317.0	2265	0.6828459451311426	0.65625	1.0
awake	unknown	1	5	3317.0	1719	0.518239372927344	0.39570552147239263	1.0
awake	positive waveform unit (bursty)	1	5	3317.0	1647	0.4965330117576123	0.5972222222222222	1.0
awake	positive negative waveform unit	1	5	3317.0	1044	0.3147422369611094	0.26525198938992045	1.0
nrem	pyramidal cell	10	13	8329.0	85357	1.0248169047904911	0.8028169014084507	1.0
nrem	narrow waveform cell	3	13	8329.0	287979	11.525153079601393	7.4754901960784315	1.0
nrem	granule cell	3	13	8329.0	33224	1.3296514187377437	1.0327868852459017	1.0
nrem	wide waveform cell (wider)	2	13	8329.0	58362	3.503541841757714	3.486424849120404	1.0
nrem	wide waveform cell (narrower, exclude opto tagged SST cell)	1	13	8329.0	10991	1.3196061952215152	1.3627450980392157	1.0
nrem	positive waveform unit (bursty)	1	13	8329.0	7552	0.9067114899747869	1.499265785609398	1.0
nrem	positive negative waveform unit	1	13	8329.0	3404	0.4086925201104574	0.4008849557522124	1.0
nrem	mossy cell	1	13	8329.0	2720	0.32656981630447834	0.3402061855670103	1.0
nrem	unknown	1	13	8329.0	2007	0.24096530195701765	0.2130281690140845	1.0
rem	pyramidal cell	10	11	913.0	8144	0.8920043811610077	0.6417910447761194	1.0
rem	narrow waveform cell	3	11	913.0	37895	13.835341365461847	7.673076923076923	1.0
rem	granule cell	3	11	913.0	1364	0.4979919678714859	0.4423076923076923	1.0
rem	wide waveform cell (wider)	2	11	913.0	3946	2.1610076670317633	2.28272921108742	1.0
rem	wide waveform cell (narrower, exclude opto tagged SST cell)	1	11	913.0	2769	3.032858707557503	3.011904761904762	1.0
rem	positive waveform unit (bursty)	1	11	913.0	1066	1.167579408543264	1.7884615384615385	1.0
rem	positive negative waveform unit	1	11	913.0	165	0.18072289156626506	0.1346153846153846	1.0
rem	unknown	1	11	913.0	88	0.0963855421686747	0.07692307692307693	1.0
rem	mossy cell	1	11	913.0	26	0.028477546549835708	0.019230769230769232	0.8181818181818182
transit	pyramidal cell	10	11	125.0	1224	0.9792	0.75	0.9545454545454546
transit	narrow waveform cell	3	11	125.0	5337	14.232	7.125	1.0
transit	granule cell	3	11	125.0	412	1.0986666666666667	0.9473684210526315	0.9393939393939394
transit	wide waveform cell (wider)	2	11	125.0	651	2.604	2.982142857142857	1.0
transit	wide waveform cell (narrower, exclude opto tagged SST cell)	1	11	125.0	294	2.352	1.9285714285714286	1.0
transit	positive waveform unit (bursty)	1	11	125.0	185	1.48	1.7	1.0
transit	positive negative waveform unit	1	11	125.0	33	0.264	0.16666666666666666	0.6363636363636364
transit	mossy cell	1	11	125.0	12	0.096	0.07142857142857142	0.6363636363636364
transit	unknown	1	11	125.0	11	0.088	0.0	0.45454545454545453
