targeted_rank	recommended_action	recommended_track	asset_id	path	subject	session	size_gb	priority_score	priority_per_gb	local_subject_sessions	local_subject_units	local_subject_granule_units	local_subject_max_granule_units	local_subject_mean_granule_units	nearest_local_day_gap	new_subject	same_subject_with_granule_evidence	same_subject_granule_score	adjacent_session_score	new_subject_breadth_score	small_file_score	large_file_penalty	priority_reason	local_path	download_url_api
1	download_next_single_file	yield_first	5124caca-1174-44e2-8529-f306bd383a2e	sub-YutaMouse55/sub-YutaMouse55_ses-YutaMouse55-160911_behavior+ecephys.nwb	YutaMouse55	YutaMouse55-160911	9.010512132	15.274275371478138	1.6951617341741279	3.0	67.0	16.0	7.0	5.333333333333333	2.0	False	True	11.0	2.3	0.0	1.974275371478138	0.0	same subject has 16 local granule units; 2-day gap from local session; 9.01 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse55/sub-YutaMouse55_ses-YutaMouse55-160911_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/5124caca-1174-44e2-8529-f306bd383a2e/download/
2	hold	yield_first	d7c947c3-be9c-48a9-82a0-a9dba040566c	sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151103_behavior+ecephys.nwb	YutaMouse42	YutaMouse42-151103	7.772039166	13.089024077978817	1.684117102142099	1.0	19.0	2.0	2.0	2.0	1.0	False	True	8.09861228866811	3.0	0.0	1.9904117893107074	0.0	same subject has 2 local granule units; 1-day gap from local session; 7.77 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151103_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/d7c947c3-be9c-48a9-82a0-a9dba040566c/download/
3	hold	yield_first	9f8c7f28-7c0b-41a5-b62f-5d41cdd79ef7	sub-YutaMouse37/sub-YutaMouse37_ses-YutaMouse37-150610_behavior+ecephys.nwb	YutaMouse37	YutaMouse37-150610	10.094364924	15.733040028461549	1.5585963205129663	1.0	15.0	5.0	5.0	5.0	1.0	False	True	10.791759469228055	3.0	0.0	1.9601535440334938	0.018872984800000128	same subject has 5 local granule units; 1-day gap from local session; 10.09 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse37/sub-YutaMouse37_ses-YutaMouse37-150610_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/9f8c7f28-7c0b-41a5-b62f-5d41cdd79ef7/download/
4	hold	yield_first	8dd74d67-cbec-4213-8617-7e3af483944d	sub-YutaMouse55/sub-YutaMouse55_ses-YutaMouse55b160907_behavior+ecephys.nwb	YutaMouse55	YutaMouse55b160907	11.775078905	15.583239260765776	1.323408478744778	3.0	67.0	16.0	7.0	5.333333333333333	0.0	False	True	11.0	3.0	0.0	1.938255041765777	0.3550157810000002	same subject has 16 local granule units; 0-day gap from local session; 11.78 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse55/sub-YutaMouse55_ses-YutaMouse55b160907_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/8dd74d67-cbec-4213-8617-7e3af483944d/download/
5	hold	yield_first	a959e8e7-bef4-4ac0-a976-4d8642b3f6c1	sub-YutaMouse55/sub-YutaMouse55_ses-YutaMouse55-160910_behavior+ecephys.nwb	YutaMouse55	YutaMouse55-160910	11.776810203	15.582870443589886	1.3231826084469238	3.0	67.0	16.0	7.0	5.333333333333333	1.0	False	True	11.0	3.0	0.0	1.9382324841898848	0.35536204060000004	same subject has 16 local granule units; 1-day gap from local session; 11.78 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse55/sub-YutaMouse55_ses-YutaMouse55-160910_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/a959e8e7-bef4-4ac0-a976-4d8642b3f6c1/download/
6	hold	yield_first	671ad4d6-7167-49ce-b78c-84d4629d9434	sub-YutaMouse55/sub-YutaMouse55_ses-YutaMouse55-160906_ecephys.nwb	YutaMouse55	YutaMouse55-160906	12.099866556	15.514049979540705	1.282167031160166	3.0	67.0	16.0	7.0	5.333333333333333	1.0	False	True	11.0	3.0	0.0	1.9340232907407047	0.4199733112000001	same subject has 16 local granule units; 1-day gap from local session; 12.10 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse55/sub-YutaMouse55_ses-YutaMouse55-160906_ecephys.nwb	https://api.dandiarchive.org/api/assets/671ad4d6-7167-49ce-b78c-84d4629d9434/download/
7	hold	yield_first	fdd53e90-a1e4-4879-ba62-267740f9c402	sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151117_behavior+ecephys.nwb	YutaMouse42	YutaMouse42-151117	8.376089269	10.581153736742952	1.2632570400012235	1.0	19.0	2.0	2.0	2.0	15.0	False	True	8.09861228866811	0.5	0.0	1.9825414480748418	0.0	same subject has 2 local granule units; 15-day gap from local session; 8.38 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151117_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/fdd53e90-a1e4-4879-ba62-267740f9c402/download/
8	hold	yield_first	7fc9459a-7e66-47f7-b2d6-172c001844e5	sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151114_behavior+ecephys.nwb	YutaMouse42	YutaMouse42-151114	9.259655522	11.069641499792624	1.1954701201888431	1.0	19.0	2.0	2.0	2.0	12.0	False	True	8.09861228866811	1.0	0.0	1.9710292111245153	0.0	same subject has 2 local granule units; 12-day gap from local session; 9.26 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151114_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/7fc9459a-7e66-47f7-b2d6-172c001844e5/download/
9	hold	yield_first	413d0cd7-0446-4f1d-bbd2-62d88894a2a7	sub-YutaMouse41/sub-YutaMouse41_ses-YutaMouse41-150901_behavior+ecephys.nwb	YutaMouse41	YutaMouse41-150901	11.759496977	13.2728530288739	1.1286922437952764	1.0	23.0	3.0	3.0	3.0	3.0	False	True	9.38629436111989	2.3	0.0	1.9384580631540087	0.3518993953999999	same subject has 3 local granule units; 3-day gap from local session; 11.76 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse41/sub-YutaMouse41_ses-YutaMouse41-150901_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/413d0cd7-0446-4f1d-bbd2-62d88894a2a7/download/
10	hold	yield_first	929ad950-22bd-4657-bf92-ee76a1c4673f	sub-YutaMouse55/sub-YutaMouse55_ses-YutaMouse55-160902_behavior+ecephys.nwb	YutaMouse55	YutaMouse55-160902	12.54064904	13.920150401922337	1.1100023896308908	3.0	67.0	16.0	7.0	5.333333333333333	5.0	False	True	11.0	1.5	0.0	1.9282802099223366	0.508129808	same subject has 16 local granule units; 5-day gap from local session; 12.54 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse55/sub-YutaMouse55_ses-YutaMouse55-160902_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/929ad950-22bd-4657-bf92-ee76a1c4673f/download/
