accession_or_source	path	kind	bytes	human_size
Allen_Institute	External_Data/Allen_Institute/WMB-taxonomy_access_page.html	html	38160	37.3KB
Allen_Institute	External_Data/Allen_Institute/WMB_granule_relevant_cluster_annotation.tsv	other	11501	11.2KB
Allen_Institute	External_Data/Allen_Institute/WMB_granule_relevant_subclass_annotation.tsv	other	680	680B
Allen_Institute	External_Data/Allen_Institute/WMB_granule_relevant_supertype_annotation.tsv	other	1910	1.9KB
Allen_Institute	External_Data/Allen_Institute/WMB_taxonomy_cluster_annotation_CCN202307220.xlsx	spreadsheet	1705442	1.6MB
GSE104323	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	compressed_table	47690117	45.5MB
GSE104323	External_Data/GEO/GSE104323/GSE104323_metadata_barcodes_24185cells.txt.gz	compressed_table	474825	463.7KB
GSE104323	External_Data/GEO/GSE104323/conserved properties of dentate gyrus neurogenesis across postnatal development revealed .pdf	other	5129803	4.9MB
GSE122357	External_Data/GEO/GSE122357/GSE122357_Dataset_S_02_cell_number.xlsx	spreadsheet	9937	9.7KB
GSE122357	External_Data/GEO/GSE122357/GSE122357_RAW.tar	tar_archive	56913920	54.3MB
GSE122357	External_Data/GEO/GSE122357/GSE122357_cell_number.xlsx	spreadsheet	616649	602.2KB
GSE122357	External_Data/GEO/GSE122357/Single-cell transcriptomes reveal molecular specializations of neuronal cell types in the developing cerebellum.pdf	other	2470997	2.4MB
GSE150153	External_Data/GEO/GSE150153/GSE150153_geo_soft.txt	text	2382	2.3KB
GSE150153	External_Data/GEO/GSE150153/GSM4524697_NAY6153A1_125.rds.gz	compressed_rds	33643662	32.1MB
GSE150153	External_Data/GEO/GSE150153/GSM4524697_NAY6153A1_125_barcodes.tsv.gz	compressed_table	5670	5.5KB
GSE150153	External_Data/GEO/GSE150153/GSM4524697_NAY6153A1_125_genes.tsv.gz	compressed_table	129683	126.6KB
GSE150153	External_Data/GEO/GSE150153/GSM4524697_NAY6153A1_125_matrix.mtx.gz	matrix_market	14455098	13.8MB
GSE150153	External_Data/GEO/GSE150153/GSM4524697_NAY6153A1_125_metadata.tsv.gz	compressed_table	11280	11.0KB
GSE150153	External_Data/GEO/GSE150153/GSM4524699_NAY6153A2_678.rds.gz	compressed_rds	37220097	35.5MB
GSE150153	External_Data/GEO/GSE150153/GSM4524699_NAY6153A2_678_barcodes.tsv.gz	compressed_table	6182	6.0KB
GSE150153	External_Data/GEO/GSE150153/GSM4524699_NAY6153A2_678_genes.tsv.gz	compressed_table	129683	126.6KB
GSE150153	External_Data/GEO/GSE150153/GSM4524699_NAY6153A2_678_matrix.mtx.gz	matrix_market	15947509	15.2MB
GSE150153	External_Data/GEO/GSE150153/GSM4524699_NAY6153A2_678_metadata.tsv.gz	compressed_table	19159	18.7KB
GSE150153	External_Data/GEO/GSE150153/filelist.txt	text	838	838B
GSE150153	External_Data/GEO/GSE150153/supplementary_listing.html	html	771	771B
GSE165657	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_barcodes.tsv.gz	compressed_table	300785	293.7KB
GSE165657	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_genes.tsv.gz	compressed_table	257287	251.3KB
GSE165657	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz	matrix_market	345965622	329.9MB
GSE165657	External_Data/GEO/GSE165657/GSE165657_RAW.tar	tar_archive	241858560	230.7MB
GSE165657	External_Data/GEO/GSE165657/Single-cell epigenomics and spatiotemporal transcriptomics reveal human cerebellar development.pdf	other	8688372	8.3MB
GSE214309	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz	compressed_table	6455791	6.2MB
GSE214309	External_Data/GEO/GSE214309/GSE214309_series_matrix.txt.gz	compressed_table	21570	21.1KB
GSE214309	External_Data/GEO/GSE214309/GSE214309_tpm.txt.gz	compressed_table	16095490	15.3MB
GSE214309	External_Data/GEO/GSE214309/supplementary_listing.html	html	687	687B
GSE214905	External_Data/GEO/GSE214905/GSE214905_Data-counts.tsv.gz	compressed_table	1299724	1.2MB
GSE214905	External_Data/GEO/GSE214905/GSE214905_Data-no_QC-counts.tsv.gz	compressed_table	1396861	1.3MB
GSE214905	External_Data/GEO/GSE214905/GSE214905_Data-normed.tsv.gz	compressed_table	5240155	5.0MB
GSE214905	External_Data/GEO/GSE214905/GSE214905_series_matrix.txt.gz	compressed_table	6225	6.1KB
GSE214905	External_Data/GEO/GSE214905/supplementary_listing.html	html	817	817B
GSE246785	External_Data/GEO/GSE246785/lifelong restructuring of 3d genome source science so 2023.pdf.pdf	other	4227374	4.0MB
GSE292260	External_Data/GEO/GSE292260/GSE292260_geo_soft.txt	text	3490	3.4KB
GSE292260	External_Data/GEO/GSE292260/supplementary_listing.html	html	647	647B
GSE292261	External_Data/GEO/GSE292261/GSE292261_SS2_filtered_raw.loom.gz	other	5905697	5.6MB
GSE292261	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz	compressed_table	4665809	4.4MB
GSE292261	External_Data/GEO/GSE292261/GSE292261_counts_SS2_unfiltered_raw.csv.gz	compressed_table	5420856	5.2MB
GSE292261	External_Data/GEO/GSE292261/GSE292261_geo_soft.txt	text	22409	21.9KB
GSE292261	External_Data/GEO/GSE292261/GSE292261_sample_data_SS2_filtered.csv.gz	compressed_table	5986	5.8KB
GSE292261	External_Data/GEO/GSE292261/GSE292261_sample_data_SS2_unfiltered.csv.gz	compressed_table	8867	8.7KB
GSE292261	External_Data/GEO/GSE292261/supplementary_listing.html	html	1140	1.1KB
GSE310490	External_Data/GEO/GSE310490/filelist.txt	text	799	799B
GSE310490	External_Data/GEO/GSE310490/supplementary_listing.html	html	673	673B
GSE312658	External_Data/GEO/GSE312658/GSE312658_geo_soft.txt	text	3891	3.8KB
GSE312658	External_Data/GEO/GSE312658/GSM9350909_Ctrl_barcodes.tsv.gz	compressed_table	25677	25.1KB
GSE312658	External_Data/GEO/GSE312658/GSM9350909_Ctrl_features.tsv.gz	compressed_table	290896	284.1KB
GSE312658	External_Data/GEO/GSE312658/GSM9350909_Ctrl_matrix.mtx.gz	matrix_market	38125904	36.4MB
GSE312658	External_Data/GEO/GSE312658/GSM9350910_cKO_barcodes.tsv.gz	compressed_table	35995	35.2KB
GSE312658	External_Data/GEO/GSE312658/GSM9350910_cKO_features.tsv.gz	compressed_table	290896	284.1KB
GSE312658	External_Data/GEO/GSE312658/GSM9350910_cKO_matrix.mtx.gz	matrix_market	57753014	55.1MB
GSE312658	External_Data/GEO/GSE312658/filelist.txt	text	566	566B
GSE312658	External_Data/GEO/GSE312658/supplementary_listing.html	html	673	673B
GSE312741	External_Data/GEO/GSE312741/filelist.txt	text	163	163B
GSE312741	External_Data/GEO/GSE312741/supplementary_listing.html	html	876	876B
GSE95752	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz	compressed_table	6363823	6.1MB
GSE95752	External_Data/GEO/GSE95752/GSE95752_datasetB_cellid_to_sampleid.txt.gz	compressed_table	6417	6.3KB
GSE242688	External_Data/Proteomics/GSE242688/GSE242688_RAW.tar	tar_archive	110888960	105.8MB
GSE242688	External_Data/Proteomics/GSE242688/GSE242688_series_matrix.txt.gz	compressed_table	2628	2.6KB
