module_id	module_label	module_family	interpretation_role	gene	canonical_gene	default_mouse_symbol	gene_order
deep_neural_progenitor	Deep neural progenitor	deep_origin	shared neural ectoderm/neuroepithelium competence, not a direct clonal marker	SOX1	SOX1	Sox1	1
deep_neural_progenitor	Deep neural progenitor	deep_origin	shared neural ectoderm/neuroepithelium competence, not a direct clonal marker	SOX2	SOX2	Sox2	2
deep_neural_progenitor	Deep neural progenitor	deep_origin	shared neural ectoderm/neuroepithelium competence, not a direct clonal marker	SOX3	SOX3	Sox3	3
deep_neural_progenitor	Deep neural progenitor	deep_origin	shared neural ectoderm/neuroepithelium competence, not a direct clonal marker	NES	NES	Nes	4
deep_neural_progenitor	Deep neural progenitor	deep_origin	shared neural ectoderm/neuroepithelium competence, not a direct clonal marker	VIM	VIM	Vim	5
deep_neural_progenitor	Deep neural progenitor	deep_origin	shared neural ectoderm/neuroepithelium competence, not a direct clonal marker	HES1	HES1	Hes1	6
deep_neural_progenitor	Deep neural progenitor	deep_origin	shared neural ectoderm/neuroepithelium competence, not a direct clonal marker	HES5	HES5	Hes5	7
deep_neural_progenitor	Deep neural progenitor	deep_origin	shared neural ectoderm/neuroepithelium competence, not a direct clonal marker	PAX6	PAX6	Pax6	8
deep_neural_progenitor	Deep neural progenitor	deep_origin	shared neural ectoderm/neuroepithelium competence, not a direct clonal marker	HMGA2	HMGA2	Hmga2	9
deep_neural_progenitor	Deep neural progenitor	deep_origin	shared neural ectoderm/neuroepithelium competence, not a direct clonal marker	MSI1	MSI1	Msi1	10
deep_neural_progenitor	Deep neural progenitor	deep_origin	shared neural ectoderm/neuroepithelium competence, not a direct clonal marker	PROM1	PROM1	Prom1	11
deep_neural_progenitor	Deep neural progenitor	deep_origin	shared neural ectoderm/neuroepithelium competence, not a direct clonal marker	NOTCH1	NOTCH1	Notch1	12
deep_neural_progenitor	Deep neural progenitor	deep_origin	shared neural ectoderm/neuroepithelium competence, not a direct clonal marker	ASCL1	ASCL1	Ascl1	13
anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	forebrain/telencephalic regional identity upstream of hippocampal/dentate lineage	FOXG1	FOXG1	Foxg1	1
