dataset	sample	branch	source_group	module_id	module_label	module_family	n_defined_genes	n_present_genes	present_genes	missing_genes	n_cells	median_module_score	mean_module_score	within_sample_module_rank	focus_state	state_order	state_bin	state_label
GSE104323	10X_all_cells	dentate	RGL	deep_neural_progenitor	Deep neural progenitor	deep_origin	13	13	Sox1,Sox2,Sox3,Nes,Vim,Hes1,Hes5,Pax6,Hmga2,Msi1,Prom1,Notch1,Ascl1		199	0.21327605555690624	0.22628152273687072	0.7916666666666666	True	1.0	early_progenitor	RGL
GSE104323	10X_all_cells	dentate	Astro-adult	deep_neural_progenitor	Deep neural progenitor	deep_origin	13	13	Sox1,Sox2,Sox3,Nes,Vim,Hes1,Hes5,Pax6,Hmga2,Msi1,Prom1,Notch1,Ascl1		1232	0.13782765147908116	0.13666857505141025	0.6041666666666666	False		other	Astro-adult
GSE104323	10X_all_cells	dentate	Astro-juv	deep_neural_progenitor	Deep neural progenitor	deep_origin	13	13	Sox1,Sox2,Sox3,Nes,Vim,Hes1,Hes5,Pax6,Hmga2,Msi1,Prom1,Notch1,Ascl1		821	0.1771219302303112	0.18479446658306253	0.7083333333333334	False		other	Astro-juv
GSE104323	10X_all_cells	dentate	Immature-Astro	deep_neural_progenitor	Deep neural progenitor	deep_origin	13	13	Sox1,Sox2,Sox3,Nes,Vim,Hes1,Hes5,Pax6,Hmga2,Msi1,Prom1,Notch1,Ascl1		651	0.35110370703598737	0.3574699888757172	0.9166666666666666	False		other	Immature-Astro
GSE104323	10X_all_cells	dentate	RGL_young	deep_neural_progenitor	Deep neural progenitor	deep_origin	13	13	Sox1,Sox2,Sox3,Nes,Vim,Hes1,Hes5,Pax6,Hmga2,Msi1,Prom1,Notch1,Ascl1		686	0.3903979857872174	0.41404535284244065	0.9583333333333334	True	0.0	early_progenitor	RGL_young
GSE104323	10X_all_cells	dentate	Ependymal	deep_neural_progenitor	Deep neural progenitor	deep_origin	13	13	Sox1,Sox2,Sox3,Nes,Vim,Hes1,Hes5,Pax6,Hmga2,Msi1,Prom1,Notch1,Ascl1		182	0.3068449266587904	0.32060145152707975	0.875	False		other	Ependymal
GSE104323	10X_all_cells	dentate	PVM	deep_neural_progenitor	Deep neural progenitor	deep_origin	13	13	Sox1,Sox2,Sox3,Nes,Vim,Hes1,Hes5,Pax6,Hmga2,Msi1,Prom1,Notch1,Ascl1		79	0.0	0.038586466252145145	0.16666666666666666	False		other	PVM
GSE104323	10X_all_cells	dentate	MiCajal-Retziusoglia	deep_neural_progenitor	Deep neural progenitor	deep_origin	13	13	Sox1,Sox2,Sox3,Nes,Vim,Hes1,Hes5,Pax6,Hmga2,Msi1,Prom1,Notch1,Ascl1		428	0.0	0.033107793861550903	0.16666666666666666	False		other	MiCajal-Retziusoglia
GSE104323	10X_all_cells	dentate	Endothelial	deep_neural_progenitor	Deep neural progenitor	deep_origin	13	13	Sox1,Sox2,Sox3,Nes,Vim,Hes1,Hes5,Pax6,Hmga2,Msi1,Prom1,Notch1,Ascl1		543	0.1911466653683077	0.2185739927802876	0.75	False		other	Endothelial
GSE104323	10X_all_cells	dentate	VLMC	deep_neural_progenitor	Deep neural progenitor	deep_origin	13	13	Sox1,Sox2,Sox3,Nes,Vim,Hes1,Hes5,Pax6,Hmga2,Msi1,Prom1,Notch1,Ascl1		160	0.15995704166767968	0.17722610027685617	0.6666666666666666	False		other	VLMC
