selected_feature_index	feature_index	gene	selection_reason	max_feature_score	GSE185277	GSE185553	GSE186538	is_marker_panel_gene	present_in_gse268609	gse268609_feature_id	gse268609_feature_name	source_matrix_row_1based	n_matching_gene_rows
0	0	SYT1	marker_panel	13.979453807347728	0.588287201483368	0.4998311657747444	0.999625783515764	True	True	ENSG00000067715	SYT1	22186.0	1
1	1	GRIN2A	marker_panel	13.027331196642605	0.3497308044590398	0.4049360988038351	0.9956341410172452	True	True	ENSG00000183454	GRIN2A	26771.0	1
2	2	SNAP25	marker_panel	12.985557040835753	0.3547572772155575	0.2220528195315617	0.9938877974241432	True	True	ENSG00000132639	SNAP25	33038.0	1
3	3	MAP2	marker_panel	12.861134873843785	0.4538458101557089	0.4923001360906179	0.9913306514485296	True	True	ENSG00000078018	MAP2	5510.0	1
4	4	PLXNA4	marker_panel	12.708615624259185	0.2739874449880481	0.3229235948387889	0.9875884866061684	True	True	ENSG00000221866	PLXNA4	14301.0	1
5	5	CNTN5	marker_panel	12.639161647668988	0.2212653307419073	0.3267914334537343	0.9751146037982972	True	True	ENSG00000149972	CNTN5	20497.0	1
6	6	RIMS1	marker_panel	12.111372396111165	0.2850233451734691	0.4033500803241617	0.9641064022203512	True	True	ENSG00000079841	RIMS1	12181.0	1
7	7	NRP1	marker_panel	12.045062099685046	0.1984451444273172	0.2427836159174861	0.9578070914023764	True	True	ENSG00000099250	NRP1	17857.0	1
8	8	NCAM1	marker_panel	11.96075378207668	0.4270714652726582	0.6087445896305088	0.9602706832569308	True	True	ENSG00000149294	NCAM1	20627.0	1
9	9	CAMK2A	marker_panel	11.793464247886911	0.3232133681835444	0.3111870580892059	0.9500732840614964	True	True	ENSG00000070808	CAMK2A	10799.0	1
10	10	RBFOX3	marker_panel	11.078355236227502	0.2241806849406876	0.3070429452874786	0.8946892443945489	True	True	ENSG00000167281	RBFOX3	29914.0	1
11	11	ROBO2	marker_panel	11.04035896962568	0.292507204610951	0.4093871829242088	0.875042878972152	True	True	ENSG00000185008	ROBO2	6741.0	1
12	12	MAPT	marker_panel	10.933912087134772	0.0926099680539731	0.0	0.8883587488695543	True	True	ENSG00000186868	MAPT	29284.0	1
13	13	SLC1A2	marker_panel	10.801509880564849	0.2622031588588789	0.3388758710311166	0.869336077587551	True	True	ENSG00000110436	SLC1A2	19492.0	1
14	14	EPHA4	marker_panel	10.69773214707508	0.2147197462189755	0.2558708264691136	0.859481710169333	True	True	ENSG00000116106	EPHA4	5675.0	1
15	15	ROBO1	marker_panel	10.22252596232338	0.230178942430132	0.3767356669975135	0.785792247481835	True	True	ENSG00000169855	ROBO1	6746.0	1
16	16	BCL11B	marker_panel	10.221712749182052	0.1298840560284163	0.1404496106580441	0.8138584837995447	True	True	ENSG00000127152	BCL11B	24833.0	1
17	17	PROX1	marker_panel	9.891341444719997	0.0726269463619507	0.0857063921660919	0.7754077400442823	True	True	ENSG00000117707	PROX1	2965.0	1
18	18	GRIN1	marker_panel	9.769140978930986	0.1612604159685454	0.190711047897758	0.7700751551439174	True	True	ENSG00000176884	GRIN1	17480.0	1
19	19	DPYSL2	marker_panel	9.618638879627351	0.28178406273038	0.3791300432829559	0.7553559734306297	True	True	ENSG00000092964	DPYSL2	15057.0	1
20	20	ST18	marker_panel	9.581545016509104	0.1702745571119004	0.2749132806024824	0.7377366139645118	True	True	ENSG00000147488	ST18	15306.0	1
21	21	SLC17A7	marker_panel	9.436999224499951	0.1607689386323526	0.1436625771265438	0.7348988056257212	True	True	ENSG00000104888	SLC17A7	32442.0	1
22	22	SLIT2	marker_panel	8.61038617998417	0.1407859169403301	0.1939137819889695	0.6157420401035332	True	True	ENSG00000145147	SLIT2	8099.0	1
23	23	GAP43	marker_panel	8.577798987303613	0.1717713289993968	0.150988959264906	0.6344216796083201	True	True	ENSG00000172020	GAP43	6955.0	1
24	24	PLXNA2	marker_panel	8.433023622509427	0.1085941514196993	0.216363617759314	0.6266255028534007	True	True	ENSG00000076356	PLXNA2	2883.0	1
