sample_accession	file_name	donor_id	species_prefix	species_inferred_from_prefix	library_file_class	file_type	size_bytes	size_mb	file_time	sample_file_url	raw_tar_member
GSM9558414	GSM9558414_C796CBm_atac_fragments.tsv.gz	C796	C	Callithrix jacchus	ATAC	TSV	1473217117	1473.217117	03/02/2026 10:26:17	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9558nnn/GSM9558414/suppl/GSM9558414_C796CBm_atac_fragments.tsv.gz	GSE322785_RAW/GSM9558414_C796CBm_atac_fragments.tsv.gz
GSM9558415	GSM9558415_C796CBm_feature_bc_matrix.h5	C796	C	Callithrix jacchus	RNA_multiome_h5	H5	104013380	104.01338	03/02/2026 10:26:17	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9558nnn/GSM9558415/suppl/GSM9558415_C796CBm_feature_bc_matrix.h5	GSE322785_RAW/GSM9558415_C796CBm_feature_bc_matrix.h5
GSM9558416	GSM9558416_C797CBm_atac_fragments.tsv.gz	C797	C	Callithrix jacchus	ATAC	TSV	1418581685	1418.581685	03/02/2026 10:26:19	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9558nnn/GSM9558416/suppl/GSM9558416_C797CBm_atac_fragments.tsv.gz	GSE322785_RAW/GSM9558416_C797CBm_atac_fragments.tsv.gz
GSM9558417	GSM9558417_C797CBm_feature_bc_matrix.h5	C797	C	Callithrix jacchus	RNA_multiome_h5	H5	108874681	108.874681	03/02/2026 10:26:19	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9558nnn/GSM9558417/suppl/GSM9558417_C797CBm_feature_bc_matrix.h5	GSE322785_RAW/GSM9558417_C797CBm_feature_bc_matrix.h5
GSM9558418	GSM9558418_C798CBm_atac_fragments.tsv.gz	C798	C	Callithrix jacchus	ATAC	TSV	1407247751	1407.247751	03/02/2026 10:26:20	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9558nnn/GSM9558418/suppl/GSM9558418_C798CBm_atac_fragments.tsv.gz	GSE322785_RAW/GSM9558418_C798CBm_atac_fragments.tsv.gz
GSM9558419	GSM9558419_C798CBm_feature_bc_matrix.h5	C798	C	Callithrix jacchus	RNA_multiome_h5	H5	110586709	110.586709	03/02/2026 10:26:20	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9558nnn/GSM9558419/suppl/GSM9558419_C798CBm_feature_bc_matrix.h5	GSE322785_RAW/GSM9558419_C798CBm_feature_bc_matrix.h5
GSM9558420	GSM9558420_C799CBm_atac_fragments.tsv.gz	C799	C	Callithrix jacchus	ATAC	TSV	1015733590	1015.73359	03/02/2026 10:26:21	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9558nnn/GSM9558420/suppl/GSM9558420_C799CBm_atac_fragments.tsv.gz	GSE322785_RAW/GSM9558420_C799CBm_atac_fragments.tsv.gz
GSM9558421	GSM9558421_C799CBm_feature_bc_matrix.h5	C799	C	Callithrix jacchus	RNA_multiome_h5	H5	89144195	89.144195	03/02/2026 10:26:21	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9558nnn/GSM9558421/suppl/GSM9558421_C799CBm_feature_bc_matrix.h5	GSE322785_RAW/GSM9558421_C799CBm_feature_bc_matrix.h5
GSM9558422	GSM9558422_H187CBm_atac_fragments.tsv.gz	H187	H	Homo sapiens	ATAC	TSV	1285127178	1285.127178	03/02/2026 10:26:22	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9558nnn/GSM9558422/suppl/GSM9558422_H187CBm_atac_fragments.tsv.gz	GSE322785_RAW/GSM9558422_H187CBm_atac_fragments.tsv.gz
GSM9558423	GSM9558423_H187CBm_feature_bc_matrix.h5	H187	H	Homo sapiens	RNA_multiome_h5	H5	108249812	108.249812	03/02/2026 10:26:22	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9558nnn/GSM9558423/suppl/GSM9558423_H187CBm_feature_bc_matrix.h5	GSE322785_RAW/GSM9558423_H187CBm_feature_bc_matrix.h5
