sample_accession	sample_title	source_name	organism	tissue	developmental_stage	library_type	biosample	sra	supplementary_file	donor_id	species_prefix	species_inferred_from_prefix
GSM9558414	C796CBm_ATAC	cerebellum	Callithrix jacchus	cerebellum	adult	ATAC	https://www.ncbi.nlm.nih.gov/biosample/SAMN56312073	https://www.ncbi.nlm.nih.gov/sra?term=SRX32359840	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9558nnn/GSM9558414/suppl/GSM9558414_C796CBm_atac_fragments.tsv.gz	C796	C	Callithrix jacchus
GSM9558415	C796CBm_RNA	cerebellum	Callithrix jacchus	cerebellum	adult	mRNA	https://www.ncbi.nlm.nih.gov/biosample/SAMN56312072	https://www.ncbi.nlm.nih.gov/sra?term=SRX32359841	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9558nnn/GSM9558415/suppl/GSM9558415_C796CBm_feature_bc_matrix.h5	C796	C	Callithrix jacchus
GSM9558416	C797CBm_ATAC	cerebellum	Callithrix jacchus	cerebellum	adult	ATAC	https://www.ncbi.nlm.nih.gov/biosample/SAMN56312071	https://www.ncbi.nlm.nih.gov/sra?term=SRX32359842	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9558nnn/GSM9558416/suppl/GSM9558416_C797CBm_atac_fragments.tsv.gz	C797	C	Callithrix jacchus
GSM9558417	C797CBm_RNA	cerebellum	Callithrix jacchus	cerebellum	adult	mRNA	https://www.ncbi.nlm.nih.gov/biosample/SAMN56312070	https://www.ncbi.nlm.nih.gov/sra?term=SRX32359843	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9558nnn/GSM9558417/suppl/GSM9558417_C797CBm_feature_bc_matrix.h5	C797	C	Callithrix jacchus
GSM9558418	C798CBm_ATAC	cerebellum	Callithrix jacchus	cerebellum	adult	ATAC	https://www.ncbi.nlm.nih.gov/biosample/SAMN56312069	https://www.ncbi.nlm.nih.gov/sra?term=SRX32359844	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9558nnn/GSM9558418/suppl/GSM9558418_C798CBm_atac_fragments.tsv.gz	C798	C	Callithrix jacchus
GSM9558419	C798CBm_RNA	cerebellum	Callithrix jacchus	cerebellum	adult	mRNA	https://www.ncbi.nlm.nih.gov/biosample/SAMN56312068	https://www.ncbi.nlm.nih.gov/sra?term=SRX32359845	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9558nnn/GSM9558419/suppl/GSM9558419_C798CBm_feature_bc_matrix.h5	C798	C	Callithrix jacchus
GSM9558420	C799CBm_ATAC	cerebellum	Callithrix jacchus	cerebellum	adult	ATAC	https://www.ncbi.nlm.nih.gov/biosample/SAMN56312067	https://www.ncbi.nlm.nih.gov/sra?term=SRX32359846	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9558nnn/GSM9558420/suppl/GSM9558420_C799CBm_atac_fragments.tsv.gz	C799	C	Callithrix jacchus
GSM9558421	C799CBm_RNA	cerebellum	Callithrix jacchus	cerebellum	adult	mRNA	https://www.ncbi.nlm.nih.gov/biosample/SAMN56312066	https://www.ncbi.nlm.nih.gov/sra?term=SRX32359847	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9558nnn/GSM9558421/suppl/GSM9558421_C799CBm_feature_bc_matrix.h5	C799	C	Callithrix jacchus
GSM9558422	H187CBm_ATAC	cerebellum	Homo sapiens	cerebellum	adult	ATAC	https://www.ncbi.nlm.nih.gov/biosample/SAMN56312065	https://www.ncbi.nlm.nih.gov/sra?term=SRX32359848	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9558nnn/GSM9558422/suppl/GSM9558422_H187CBm_atac_fragments.tsv.gz	H187	H	Homo sapiens
GSM9558423	H187CBm_RNA	cerebellum	Homo sapiens	cerebellum	adult	mRNA	https://www.ncbi.nlm.nih.gov/biosample/SAMN56312064	https://www.ncbi.nlm.nih.gov/sra?term=SRX32359849	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9558nnn/GSM9558423/suppl/GSM9558423_H187CBm_feature_bc_matrix.h5	H187	H	Homo sapiens
