sample_accession	donor_id	marker_call	cluster_support_scope	feature_type	model_term_supported	target_set	peak_category	n_barcodes	n_features	n_linked_gene_strings	mean_count	mean_detection_fraction	mean_feature_score	median_feature_score
GSM9558423	H187	astrocyte_bergmann_candidate	cluster_enriched_all	Gene Expression	ConstructionBalance	Tier 1 core convergent program	gene_expression_or_marker	82	6	6	10.839430894308942	0.8272357723577235	2.9348238050532047	2.9866456751753256
GSM9558423	H187	astrocyte_bergmann_candidate	cluster_enriched_all	Gene Expression	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor	gene_expression_or_marker	82	9	9	4.105691056910569	0.44986449864498645	1.6708055017271297	1.4769994274019937
GSM9558423	H187	astrocyte_bergmann_candidate	cluster_enriched_all	Gene Expression	ConstructionBalance	Tier 3 broad both-screen mechanism support	gene_expression_or_marker	82	5	5	0.7585365853658537	0.3926829268292683	0.9416606405544716	0.9595588281368541
GSM9558423	H187	astrocyte_bergmann_candidate	cluster_enriched_all	Gene Expression	ConstructionBalance	Tier 4 screen-specific mechanism support	gene_expression_or_marker	82	16	16	1.4496951219512195	0.3910060975609756	1.0540593319182725	0.9721586549150116
GSM9558423	H187	astrocyte_bergmann_candidate	cluster_enriched_all	Gene Expression	ConstructionBalance	Tier 5 exploratory non-identical ortholog	gene_expression_or_marker	82	29	29	0.7106812447434819	0.30277544154751895	0.7468950186266349	0.5285310739892808
GSM9558423	H187	astrocyte_bergmann_candidate	cluster_enriched_all	Gene Expression	ConstructionBalance	downstream_neurite_morphology	gene_expression_or_marker	82	21	21	3.138792102206737	0.3658536585365854	1.1963133520851383	0.8644091897107617
GSM9558423	H187	astrocyte_bergmann_candidate	cluster_enriched_all	Gene Expression	ConstructionBalance	downstream_neurite_synapse_construction	gene_expression_or_marker	82	21	21	3.031939605110337	0.3629500580720093	1.219272199991519	0.8644091897107617
GSM9558423	H187	astrocyte_bergmann_candidate	cluster_enriched_all	Gene Expression	ConstructionBalance	downstream_synaptic_excitability	gene_expression_or_marker	82	20	20	2.9804878048780488	0.4176829268292683	1.450208455626501	1.2981612598135133
GSM9558423	H187	astrocyte_bergmann_candidate	cluster_enriched_all	Gene Expression	ConstructionBalance	shared_postmitotic_granule_maturation	gene_expression_or_marker	82	5	5	9.360975609756098	0.4902439024390244	1.9083110547575284	0.5680335047860766
GSM9558423	H187	astrocyte_bergmann_candidate	cluster_enriched_all	Gene Expression	EpigenomicCompatibility	Tier 1 core convergent program	gene_expression_or_marker	82	4	4	13.0	0.7560975609756098	2.908912869992144	3.2391733791071053
GSM9558423	H187	astrocyte_bergmann_candidate	cluster_enriched_all	Gene Expression	EpigenomicCompatibility	Tier 2 high-confidence wiring/synaptic executor	gene_expression_or_marker	82	3	3	0.7154471544715447	0.23577235772357721	0.723899030382635	1.0280575164393082
GSM9558423	H187	astrocyte_bergmann_candidate	cluster_enriched_all	Gene Expression	EpigenomicCompatibility	Tier 3 broad both-screen mechanism support	gene_expression_or_marker	82	1	1	0.3170731707317073	0.13414634146341464	0.4095583213233812	0.4095583213233812
GSM9558423	H187	astrocyte_bergmann_candidate	cluster_enriched_all	Gene Expression	EpigenomicCompatibility	Tier 4 screen-specific mechanism support	gene_expression_or_marker	82	5	5	0.9292682926829269	0.28048780487804875	0.8554753700658363	0.6817542251617562
GSM9558423	H187	astrocyte_bergmann_candidate	cluster_enriched_all	Gene Expression	EpigenomicCompatibility	dentate_fate_wnt_prox1	gene_expression_or_marker	82	1	1	0.12195121951219512	0.12195121951219512	0.2370205492969823	0.2370205492969823
