sample_accession	donor_id	cluster_id	marker_call	n_marker_call_barcodes_in_cluster	n_cluster_barcodes	fraction_of_cluster	n_marker_call_barcodes_in_donor	n_donor_basic_qc_barcodes	donor_marker_call_fraction	fold_enrichment_over_donor	cluster_support_tier	cluster_support_rule
GSM9558423	H187	H187_C00	ambiguous_neuronal	445	524	0.8492366412213741	4609	6034	0.7638382499171362	1.1118016691537798	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C00	cerebellar_granule_candidate	8	524	0.015267175572519	104	6034	0.01723566456745111	0.8857897827363427	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C00	purkinje_candidate	70	524	0.1335877862595419	1089	6034	0.18047729532648327	0.7401916458127418	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C00	vascular_candidate	1	524	0.0019083969465648	12	6034	0.0019887305270135896	0.9596055979643336	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C01	purkinje_candidate	276	671	0.4113263785394933	1089	6034	0.18047729532648327	2.2791031846715355	cluster_enriched_high	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C01	ambiguous_neuronal	372	671	0.5543964232488823	4609	6034	0.7638382499171362	0.7258034319556858	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C01	astrocyte_bergmann_candidate	1	671	0.0014903129657228	93	6034	0.01541266158435532	0.09669406919539113	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C01	cerebellar_granule_candidate	16	671	0.0238450074515648	104	6034	0.01723566456745111	1.3834689900263653	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C01	inhibitory_interneuron_candidate	1	671	0.0014903129657228	4	6034	0.0006629101756711965	2.248137108792844	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C01	oligodendrocyte_candidate	1	671	0.0014903129657228	58	6034	0.00961219754723235	0.1550439385374375	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C01	opc_candidate	3	671	0.0044709388971684	30	6034	0.004971826317533974	0.8992548435171375	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C01	vascular_candidate	1	671	0.0014903129657228	12	6034	0.0019887305270135896	0.7493790362642813	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C02	ambiguous_neuronal	468	581	0.8055077452667814	4609	6034	0.7638382499171362	1.0545527739075198	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C02	astrocyte_bergmann_candidate	1	581	0.0017211703958691	93	6034	0.01541266158435532	0.11167249643735644	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C02	cerebellar_granule_candidate	15	581	0.0258175559380378	104	6034	0.01723566456745111	1.4979147358665392	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C02	oligodendrocyte_candidate	2	581	0.0034423407917383	58	6034	0.00961219754723235	0.3581221437473948	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C02	opc_candidate	2	581	0.0034423407917383	30	6034	0.004971826317533974	0.6923694779116301	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C02	purkinje_candidate	93	581	0.1600688468158347	1089	6034	0.18047729532648327	0.8869195791430179	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C03	ambiguous_neuronal	435	477	0.9119496855345912	4609	6034	0.7638382499171362	1.193904188005147	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C03	cerebellar_granule_candidate	3	477	0.0062893081761006	104	6034	0.01723566456745111	0.36490082244799055	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C03	purkinje_candidate	38	477	0.0796645702306079	1089	6034	0.18047729532648327	0.44141048372037467	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C03	vascular_candidate	1	477	0.0020964360587002	12	6034	0.0019887305270135896	1.0541579315164173	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C04	oligodendrocyte_candidate	52	344	0.1511627906976744	58	6034	0.00961219754723235	15.726142742582194	cluster_enriched_high	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558423	H187	H187_C04	ambiguous_neuronal	179	344	0.5203488372093024	4609	6034	0.7638382499171362	0.6812290917164093	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
