sample_accession	donor_id	marker_call	marker_confidence	feature_type	model_term_supported	target_set	peak_category	n_barcodes	n_features	n_linked_gene_strings	mean_count	mean_detection_fraction	mean_feature_score	median_feature_score
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	ConstructionBalance	Tier 1 core convergent program	gene_expression_or_marker	4609	6	6	5.164243870687785	0.7495479858248354	2.3157961590806866	2.5126250550099622
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor	gene_expression_or_marker	4609	9	9	8.128275596056026	0.7088305489260143	2.402147449251499	1.966254700294046
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	ConstructionBalance	Tier 3 broad both-screen mechanism support	gene_expression_or_marker	4609	5	5	0.8769364287264049	0.4462139292688219	1.0561941330696873	0.8950366690864917
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	ConstructionBalance	Tier 4 screen-specific mechanism support	gene_expression_or_marker	4609	16	16	1.5122043827294425	0.42549902364938164	1.0961170765107682	0.958579683069287
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	ConstructionBalance	Tier 5 exploratory non-identical ortholog	gene_expression_or_marker	4609	29	29	0.6461046977053889	0.28163787492237824	0.6877185710685884	0.3881169637628473
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	ConstructionBalance	downstream_neurite_morphology	gene_expression_or_marker	4609	21	21	3.6179937802849502	0.5188502825734329	1.4647383299448384	1.4512361304754273
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	ConstructionBalance	downstream_neurite_synapse_construction	gene_expression_or_marker	4609	21	21	2.955645786194712	0.5187572968002562	1.4755344935580412	1.748600797570512
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	ConstructionBalance	downstream_synaptic_excitability	gene_expression_or_marker	4609	20	20	6.092406161857236	0.6476567585159471	2.062174155487229	2.04557584041277
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	ConstructionBalance	shared_postmitotic_granule_maturation	gene_expression_or_marker	4609	5	5	4.80433933608158	0.7320026036016489	2.164442999985193	2.081266203176355
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	EpigenomicCompatibility	Tier 1 core convergent program	gene_expression_or_marker	4609	4	4	5.651117379041007	0.6906053373833804	2.217381711116049	2.653607928477851
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	EpigenomicCompatibility	Tier 2 high-confidence wiring/synaptic executor	gene_expression_or_marker	4609	3	3	1.4361755984667681	0.41230925001808055	1.179469280349635	1.7557235935565827
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	EpigenomicCompatibility	Tier 3 broad both-screen mechanism support	gene_expression_or_marker	4609	1	1	1.206552397483185	0.5879800390540247	1.3794113353761221	1.3794113353761221
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	EpigenomicCompatibility	Tier 4 screen-specific mechanism support	gene_expression_or_marker	4609	5	5	1.6389238446517684	0.4603601648947711	1.1939201110782287	1.190655437851515
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	EpigenomicCompatibility	dentate_fate_wnt_prox1	gene_expression_or_marker	4609	1	1	0.6821436320243003	0.46257322629637665	0.9826421777948274	0.9826421777948274
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	EpigenomicCompatibility	downstream_neurite_morphology	gene_expression_or_marker	4609	13	13	2.0652068695028123	0.554650599996662	1.4679758222024692	1.748600797570512
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	EpigenomicCompatibility	downstream_neurite_synapse_construction	gene_expression_or_marker	4609	21	21	2.955645786194712	0.5187572968002562	1.4755344935580412	1.748600797570512
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	EpigenomicCompatibility	downstream_synaptic_excitability	gene_expression_or_marker	4609	8	8	4.402609025819049	0.46043067910609675	1.4878173345108456	1.1217657309522844
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	EpigenomicCompatibility	medial_pallium_dentate_lineage	gene_expression_or_marker	4609	1	1	0.6821436320243003	0.46257322629637665	0.9826421777948274	0.9826421777948274
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	EpigenomicCompatibility	shared_neurogenic_niche_state	gene_expression_or_marker	4609	2	2	0.06595790844000868	0.061184638750271206	0.12317818397096128	0.12317818397096128
