sample_accession	donor_id	marker_call	marker_confidence	n_barcodes	n_basic_qc_barcodes
GSM9558423	H187	ambiguous_neuronal	low	4609	4609
GSM9558423	H187	ambiguous_non_neuronal_or_niche	low	25	25
GSM9558423	H187	astrocyte_bergmann_candidate	high	85	85
GSM9558423	H187	astrocyte_bergmann_candidate	medium	8	8
GSM9558423	H187	cerebellar_granule_candidate	high	63	63
GSM9558423	H187	cerebellar_granule_candidate	medium	41	41
GSM9558423	H187	inhibitory_interneuron_candidate	high	4	4
GSM9558423	H187	low_information_or_low_qc	low	696447	6
GSM9558423	H187	microglia_candidate	high	4	4
GSM9558423	H187	oligodendrocyte_candidate	high	58	58
GSM9558423	H187	opc_candidate	high	28	28
GSM9558423	H187	opc_candidate	medium	2	2
GSM9558423	H187	purkinje_candidate	high	1079	1079
GSM9558423	H187	purkinje_candidate	medium	10	10
GSM9558423	H187	vascular_candidate	high	12	12
GSM9558427	H628	ambiguous_neuronal	low	6466	6466
GSM9558427	H628	ambiguous_non_neuronal_or_niche	low	29	29
GSM9558427	H628	astrocyte_bergmann_candidate	high	112	112
GSM9558427	H628	astrocyte_bergmann_candidate	medium	14	14
GSM9558427	H628	cerebellar_granule_candidate	high	96	96
GSM9558427	H628	cerebellar_granule_candidate	medium	64	64
GSM9558427	H628	inhibitory_interneuron_candidate	high	7	7
GSM9558427	H628	low_information_or_low_qc	low	685792	13
GSM9558427	H628	microglia_candidate	high	5	5
GSM9558427	H628	microglia_candidate	medium	1	1
GSM9558427	H628	oligodendrocyte_candidate	high	73	73
GSM9558427	H628	oligodendrocyte_candidate	medium	1	1
GSM9558427	H628	opc_candidate	high	23	23
GSM9558427	H628	opc_candidate	medium	4	4
GSM9558427	H628	purkinje_candidate	high	1544	1544
GSM9558427	H628	purkinje_candidate	medium	26	26
GSM9558427	H628	vascular_candidate	high	27	27
GSM9558427	H628	vascular_candidate	medium	1	1
GSM9558425	H390	ambiguous_neuronal	low	6981	6981
GSM9558425	H390	ambiguous_non_neuronal_or_niche	low	21	21
GSM9558425	H390	astrocyte_bergmann_candidate	high	206	206
GSM9558425	H390	astrocyte_bergmann_candidate	medium	38	38
GSM9558425	H390	cerebellar_granule_candidate	high	357	357
GSM9558425	H390	cerebellar_granule_candidate	medium	155	155
GSM9558425	H390	inhibitory_interneuron_candidate	high	6	6
GSM9558425	H390	inhibitory_interneuron_candidate	medium	2	2
GSM9558425	H390	low_information_or_low_qc	low	689186	9
GSM9558425	H390	microglia_candidate	high	26	26
GSM9558425	H390	microglia_candidate	medium	1	1
GSM9558425	H390	oligodendrocyte_candidate	high	402	402
GSM9558425	H390	oligodendrocyte_candidate	medium	3	3
GSM9558425	H390	opc_candidate	high	44	44
GSM9558425	H390	opc_candidate	medium	4	4
GSM9558425	H390	purkinje_candidate	high	1300	1300
GSM9558425	H390	purkinje_candidate	medium	95	95
GSM9558425	H390	vascular_candidate	high	15	15
GSM9558425	H390	vascular_candidate	medium	1	1
