gene	present	matched_feature
PROX1	TRUE	PROX1
DCX	TRUE	DCX
NEUROD1	TRUE	NEUROD1
NEUROD2	TRUE	NEUROD2
SOX11	TRUE	SOX11
SOX4	TRUE	SOX4
MEX3A	TRUE	MEX3A
CALB2	TRUE	CALB2
STMN2	TRUE	STMN2
TUBB3	TRUE	TUBB3
BCL11B	TRUE	BCL11B
CALB1	TRUE	CALB1
SLC17A7	TRUE	SLC17A7
GRIN1	TRUE	GRIN1
GRIN2A	TRUE	GRIN2A
CAMK2A	TRUE	CAMK2A
RIMS1	TRUE	RIMS1
SYT1	TRUE	SYT1
SNAP25	TRUE	SNAP25
RBFOX3	TRUE	RBFOX3
ATOH1	TRUE	ATOH1
PAX6	TRUE	PAX6
ZIC1	TRUE	ZIC1
ZIC2	TRUE	ZIC2
ZIC3	TRUE	ZIC3
BARHL1	TRUE	BARHL1
PDE1C	TRUE	PDE1C
GABRA6	TRUE	GABRA6
GABRA1	TRUE	GABRA1
GRID2	TRUE	GRID2
AQP4	TRUE	AQP4
GFAP	TRUE	GFAP
ALDH1L1	TRUE	ALDH1L1
SLC1A2	TRUE	SLC1A2
MBP	TRUE	MBP
PLP1	TRUE	PLP1
MOG	TRUE	MOG
MOBP	TRUE	MOBP
PDGFRA	TRUE	PDGFRA
CSPG4	TRUE	CSPG4
P2RY12	TRUE	P2RY12
AIF1	TRUE	AIF1
C1QA	TRUE	C1QA
TYROBP	TRUE	TYROBP
CLDN5	TRUE	CLDN5
PECAM1	TRUE	PECAM1
VWF	TRUE	VWF
TTR	TRUE	TTR
AQP1	TRUE	AQP1
