sample	group	cell_type	source_anchor_label	n_cells	median_counts	median_dentate_identity	median_human_dg_immature	median_human_dg_mature	median_cerebellar_identity	median_shared_granule_neuronal	median_morphogenesis_cytoskeleton	median_axon_guidance_synapse	median_background_max
S1R1	SAD	DiffN	adult_dg_background_warning	56	1824.0	0.0	0.15318036	0.9279003	0.0	0.6139413	0.43919653	0.4115108	1.5824437
S1R1	SAD	DiffN	adult_human_dg_differentiating_anchor	1043	2817.0	0.19234964	0.19686435	1.3282725	0.0	0.8001247	0.4595705	0.57372904	0.40526533
S1R1	SAD	DiffN_OTOF	adult_dg_background_warning	4	1845.5	0.5412978	0.5019443	0.91967356	0.0	0.71849406	0.16446806	0.4749837	1.284897
S1R1	SAD	DiffN_OTOF	adult_human_dg_differentiating_anchor	178	3710.0	0.26302922	0.32276845	1.3498344	0.0	0.805892	0.43748787	0.46211177	0.32727548
S1R1	SAD	MatN_OTOF	adult_human_dg_mature_anchor	181	23348.0	0.3532523	0.4562588	1.6865826	0.0	0.90905404	0.5682023	0.75761175	0.2098345
S1R1	SAD	MatN_SGCZ_CHRM3	adult_dg_background_warning	1	2299.0	0.0	0.0	0.79434204	0.0	0.48202896	0.27950728	0.48687994	1.3183346
S1R1	SAD	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	1663	12670.0	0.22316247	0.24484444	1.6286175	0.0	0.888192	0.5413889	0.90124345	0.23101771
S1R1	SAD	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	1714	15740.5	0.26546192	0.26766348	1.6696572	0.035814248	0.90277386	0.55807126	0.9204628	0.22953737
S1R2	SAD	DiffN	adult_dg_background_warning	1	3622.0	0.3999765	0.5875013	1.112362	0.0	0.9152144	0.7593194	0.30163145	1.2281568
S1R2	SAD	DiffN	adult_human_dg_differentiating_anchor	178	6273.5	0.19651902	0.23313582	1.4927824	0.0	0.8378508	0.54422057	0.6617251	0.32818544
S1R2	SAD	DiffN_OTOF	adult_human_dg_differentiating_anchor	5	5667.0	0.25422418	0.2478199	1.2911003	0.0	0.8778311	0.51347244	0.39810926	0.2257952
S1R2	SAD	MatN_OTOF	adult_human_dg_mature_anchor	22	43721.0	0.32161352	0.4272378	1.6665006	0.0	0.88132846	0.6637539	0.6916958	0.28876394
S1R2	SAD	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	477	34179.0	0.2526438	0.24914907	1.7057899	0.036848348	0.88141096	0.59562075	0.94644773	0.26373455
S1R2	SAD	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	628	35649.5	0.28592384	0.26844335	1.7127135	0.043723337	0.8937879	0.6015669	0.91535294	0.27045828
S1R3	SAD	DiffN	adult_dg_background_warning	21	1949.0	0.11932827	0.16567321	1.0570694	0.0	0.6470797	0.48249173	0.47984165	1.4338953
S1R3	SAD	DiffN	adult_human_dg_differentiating_anchor	553	3590.0	0.21966359	0.22972208	1.596453	0.0	0.8638521	0.5213535	0.65900826	0.38863447
S1R3	SAD	DiffN_OTOF	adult_dg_background_warning	5	2063.0	0.0	0.3453011	1.0527004	0.0	0.52917415	0.34464353	0.6892108	1.1782523
