unit_id	hierarchy_level	term_symbol	term	branch_group	branch	dataset_or_source	contrast_or_scope	evidence_family	metric	raw_value	normalized_score	support_direction	weight	weighted_score	unit_support_class	quality_class	source_table	notes
EU00001	sample_contrast	Y	GranuleDesign	cerebellum	cerebellum	GSE122357	full_mgi_ortholog_matrix|GSE122357|GSM3464549_P0|cerebellar_candidate	primary_configuration	delta_configuration_score	1.5	1.0	positive candidate-background delta supports granule-like configuration	1.0	1.0	strong_support	direct_primary_core	primary_core_transcriptomic_configuration_primary_contrasts.tsv	Combined construction balance plus branch-matched regional fate polarity.
EU00002	sample_contrast	F	FatePolarity	cerebellum	cerebellum	GSE122357	full_mgi_ortholog_matrix|GSE122357|GSM3464549_P0|cerebellar_candidate	regional_fate	delta_regional_fate_balance	0.6666666666666667	0.6666666666666667	positive candidate-background delta supports branch-matched fate polarity	0.9	0.6000000000000001	strong_support	direct_primary_core	primary_core_transcriptomic_configuration_primary_contrasts.tsv	Dentate and cerebellar branches are expected to differ in regional fate polarity.
EU00003	sample_contrast	C	ConstructionBalance	cerebellum	cerebellum	GSE122357	full_mgi_ortholog_matrix|GSE122357|GSM3464549_P0|cerebellar_candidate	downstream_construction	delta_downstream_construction_balance	0.8333333333333334	0.8333333333333334	positive candidate-background delta supports downstream construction bias	0.9	0.75	strong_support	direct_primary_core	primary_core_transcriptomic_configuration_primary_contrasts.tsv	Construction balance is shared toolkit usage, not by itself granule specificity.
EU00004	sample_contrast	Y	GranuleDesign	cerebellum	cerebellum	GSE122357	full_mgi_ortholog_matrix|GSE122357|GSM3464550_P8a|cerebellar_candidate	primary_configuration	delta_configuration_score	1.6666666666666663	1.0	positive candidate-background delta supports granule-like configuration	1.0	1.0	strong_support	direct_primary_core	primary_core_transcriptomic_configuration_primary_contrasts.tsv	Combined construction balance plus branch-matched regional fate polarity.
EU00005	sample_contrast	F	FatePolarity	cerebellum	cerebellum	GSE122357	full_mgi_ortholog_matrix|GSE122357|GSM3464550_P8a|cerebellar_candidate	regional_fate	delta_regional_fate_balance	0.6666666666666667	0.6666666666666667	positive candidate-background delta supports branch-matched fate polarity	0.9	0.6000000000000001	strong_support	direct_primary_core	primary_core_transcriptomic_configuration_primary_contrasts.tsv	Dentate and cerebellar branches are expected to differ in regional fate polarity.
EU00006	sample_contrast	C	ConstructionBalance	cerebellum	cerebellum	GSE122357	full_mgi_ortholog_matrix|GSE122357|GSM3464550_P8a|cerebellar_candidate	downstream_construction	delta_downstream_construction_balance	1.0	1.0	positive candidate-background delta supports downstream construction bias	0.9	0.9	strong_support	direct_primary_core	primary_core_transcriptomic_configuration_primary_contrasts.tsv	Construction balance is shared toolkit usage, not by itself granule specificity.
EU00007	sample_contrast	Y	GranuleDesign	cerebellum	cerebellum	GSE122357	full_mgi_ortholog_matrix|GSE122357|GSM3464551_P8b|cerebellar_candidate	primary_configuration	delta_configuration_score	1.6666666666666663	1.0	positive candidate-background delta supports granule-like configuration	1.0	1.0	strong_support	direct_primary_core	primary_core_transcriptomic_configuration_primary_contrasts.tsv	Combined construction balance plus branch-matched regional fate polarity.
EU00008	sample_contrast	F	FatePolarity	cerebellum	cerebellum	GSE122357	full_mgi_ortholog_matrix|GSE122357|GSM3464551_P8b|cerebellar_candidate	regional_fate	delta_regional_fate_balance	0.6666666666666667	0.6666666666666667	positive candidate-background delta supports branch-matched fate polarity	0.9	0.6000000000000001	strong_support	direct_primary_core	primary_core_transcriptomic_configuration_primary_contrasts.tsv	Dentate and cerebellar branches are expected to differ in regional fate polarity.
EU00009	sample_contrast	C	ConstructionBalance	cerebellum	cerebellum	GSE122357	full_mgi_ortholog_matrix|GSE122357|GSM3464551_P8b|cerebellar_candidate	downstream_construction	delta_downstream_construction_balance	1.0	1.0	positive candidate-background delta supports downstream construction bias	0.9	0.9	strong_support	direct_primary_core	primary_core_transcriptomic_configuration_primary_contrasts.tsv	Construction balance is shared toolkit usage, not by itself granule specificity.
EU00010	sample_contrast	Y	GranuleDesign	cerebellum	cerebellum	GSE165657	full_mgi_ortholog_matrix|GSE165657|Cerebellum_aggr|cerebellar_candidate	primary_configuration	delta_configuration_score	1.5	1.0	positive candidate-background delta supports granule-like configuration	1.0	1.0	strong_support	direct_primary_core	primary_core_transcriptomic_configuration_primary_contrasts.tsv	Combined construction balance plus branch-matched regional fate polarity.
