analysis_class	axon_guidance_synapse_mean	axon_guidance_synapse_median	axon_guidance_synapse_q25	axon_guidance_synapse_q75	background_max_mean	background_max_median	background_max_q25	background_max_q75	broad_class	cerebellar_identity_mean	cerebellar_identity_median	cerebellar_identity_q25	cerebellar_identity_q75	cerebellar_rank_mean	cerebellar_rank_median	cerebellar_rank_q25	cerebellar_rank_q75	dataset	dentate_identity_mean	dentate_identity_median	dentate_identity_q25	dentate_identity_q75	dentate_rank_mean	dentate_rank_median	dentate_rank_q25	dentate_rank_q75	identity_rank_contrast_mean	identity_rank_contrast_median	identity_rank_contrast_q25	identity_rank_contrast_q75	label	morphogenesis_cytoskeleton_mean	morphogenesis_cytoskeleton_median	morphogenesis_cytoskeleton_q25	morphogenesis_cytoskeleton_q75	n_cells_or_spots	platform	region	sample	sample_context	shared_granule_neuronal_mean	shared_granule_neuronal_median	shared_granule_neuronal_q25	shared_granule_neuronal_q75	shared_rank_mean	shared_rank_median	shared_rank_q25	shared_rank_q75	source_layer	species	structural_program_mean_mean	structural_program_mean_median	structural_program_mean_q25	structural_program_mean_q75	structural_rank_mean	structural_rank_median	structural_rank_q25	structural_rank_q75	unit_id
backbone_non_dentate_reference		0							non_dentate_background		0.0630134				0.844676			GSE104323		0				0.144449			-0.700227	-0.700227			Astro-adult		0.149313			1232	10x	dentate_gyrus	10X_all_cells	dentate_gyrus		0.053319				0.131776			backbone_refined	mouse		0.0741846				0.0705396			backbone_refined|GSE104323|10X_all_cells|Astro-adult|backbone_non_dentate_reference
backbone_non_dentate_reference		0.0462098							non_dentate_background		0.0630134				0.844676			GSE104323		0				0.144449			-0.700227	-0.700227			Astro-juv		0.149313			821	10x	dentate_gyrus	10X_all_cells	dentate_gyrus		0.053319				0.131776			backbone_refined	mouse		0.0894576				0.0962373			backbone_refined|GSE104323|10X_all_cells|Astro-juv|backbone_non_dentate_reference
backbone_non_dentate_reference		0.323469							non_dentate_background		0				0.387761			GSE104323		0.0866434				0.376949			-0.010812	-0.010812			CA3-Pyr		0.907034			532	10x	dentate_gyrus	10X_all_cells	dentate_gyrus		0.847612				0.915578			backbone_refined	mouse		0.694126				0.783853			backbone_refined|GSE104323|10X_all_cells|CA3-Pyr|backbone_non_dentate_reference
backbone_non_dentate_reference		0.0924196							non_dentate_background		0.0630134				0.844676			GSE104323		0.173287				0.563386			-0.28129	-0.28129			Cajal-Retzius		1.15771			535	10x	dentate_gyrus	10X_all_cells	dentate_gyrus		0.394151				0.545876			backbone_refined	mouse		0.550316				0.69233			backbone_refined|GSE104323|10X_all_cells|Cajal-Retzius|backbone_non_dentate_reference
backbone_non_dentate_reference		0.0732408							non_dentate_background		0				0.387761			GSE104323		0				0.144449			-0.243312	-0.243312			Endothelial		0.173287			543	10x	dentate_gyrus	10X_all_cells	dentate_gyrus		0				0.0438081			backbone_refined	mouse		0.0885689				0.0951623			backbone_refined|GSE104323|10X_all_cells|Endothelial|backbone_non_dentate_reference
backbone_non_dentate_reference		0.0462098							non_dentate_background		0				0.387761			GSE104323		0.0866434				0.376949			-0.010812	-0.010812			Ependymal		0.264838			182	10x	dentate_gyrus	10X_all_cells	dentate_gyrus		0.0845086				0.185921			backbone_refined	mouse		0.136859				0.185818			backbone_refined|GSE104323|10X_all_cells|Ependymal|backbone_non_dentate_reference
backbone_non_dentate_reference		0.119451							non_dentate_background		0				0.387761			GSE104323		0.0866434				0.376949			-0.010812	-0.010812			GABA		0.783386			209	10x	dentate_gyrus	10X_all_cells	dentate_gyrus		0.512253				0.677445			backbone_refined	mouse		0.46136				0.621997			backbone_refined|GSE104323|10X_all_cells|GABA|backbone_non_dentate_reference
backbone_dentate_candidate		0.0924196							dentate_candidate		0				0.387761			GSE104323		0.25993				0.697209			0.309448	0.309448			GC-adult		0.264838			2613	10x	dentate_gyrus	10X_all_cells	dentate_gyrus		0.28376				0.423982			backbone_refined	mouse		0.217169				0.348894			backbone_refined|GSE104323|10X_all_cells|GC-adult|backbone_dentate_candidate
backbone_dentate_candidate		0.16566							dentate_candidate		0				0.387761			GSE104323		0.397257				0.845421			0.45766	0.45766			GC-juv		0.371173			3420	10x	dentate_gyrus	10X_all_cells	dentate_gyrus		0.413483				0.566508			backbone_refined	mouse		0.306486				0.486355			backbone_refined|GSE104323|10X_all_cells|GC-juv|backbone_dentate_candidate
backbone_non_dentate_reference		0.0732408							non_dentate_background		0				0.387761			GSE104323		0				0.144449			-0.243312	-0.243312			Immature-Astro		0.365169			651	10x	dentate_gyrus	10X_all_cells	dentate_gyrus		0.106638				0.221274			backbone_refined	mouse		0.178625				0.270395			backbone_refined|GSE104323|10X_all_cells|Immature-Astro|backbone_non_dentate_reference
